nID,Name,catID,RAJ2000,DEJ2000,CHB,12+logOHPG16S,12+logOHPG16R,12+logOHN2,12+logOHO3N2,12+logOHIZI,IZIchi2,12+logOHKK04,12+logOHT04,logNOPG16,r/r25,r/app,Ref
8417,NGC5584,NGC5584_3-83,215.5860995,-0.3868418,0.073837,8.220476,,8.468725,8.628618,8.47556,0.666593,,8.885766,,0.606556843982338,0.318357995150871,MUSE
8418,NGC5584,NGC5584_3-84,215.5860995,-0.3851755,0.16342,8.181109,,8.465474,8.587822,8.50792,1.30367,,8.839672,,0.596352247374516,0.31300200098541,MUSE
8419,NGC5584,NGC5584_3-87,215.5844333,-0.4001718,0.11261,8.224268,,8.353359,8.411043,8.37846,0.693987,,8.635097,,0.969288960602057,0.508741914761295,MUSE
8420,NGC5584,NGC5584_3-88,215.5844333,-0.3985055,0.140934,8.19099,,8.449201,8.652017,8.45937,0.505128,,8.912438,,0.920240036058567,0.482998050131145,MUSE
8421,NGC5584,NGC5584_3-89,215.5844332,-0.3968393,0.13219,8.185578,,8.416798,8.581209,8.42701,0.713021,,8.832223,,0.873994968324533,0.458725820420962,MUSE
8422,NGC5584,NGC5584_3-9,215.5960985,-0.3901745,0.188563,8.369194,,8.586193,8.664535,8.50792,0.365859,,8.926817,,0.19705262833513,0.103425227690298,MUSE
8423,NGC5584,NGC5584_3-90,215.5844332,-0.395173,0.154332,8.248083,,8.398614,8.448127,8.44319,1.27552,,8.679756,,0.831022040049177,0.436171008902088,MUSE
8424,NGC5584,NGC5584_3-91,215.5844332,-0.3935068,0.098491,8.251269,,8.401465,8.426916,8.45937,1.8108,,8.654389,,0.791854078654865,0.415613275876158,MUSE
8425,NGC5584,NGC5584_3-92,215.5844331,-0.3918405,0.098745,8.264817,,8.534651,8.565966,8.49174,3.15415,,8.815054,,0.757081936440699,0.397362736636137,MUSE
8426,NGC5584,NGC5584_3-93,215.5844331,-0.3901743,0.206294,8.318289,,8.573488,8.56047,8.49174,2.78073,,8.808859,,0.727336364720623,0.381750447909418,MUSE
