Name,mtot,re,n,q,PA,Her,map,logLum,logMass,i,T,e_T,SimbadName
NGC3364,12.63,17.93,1.03,0.8,64.7,*,12.7,9.17,10.38,28.5,5.0,0.7,NGC3364
NGC3395,12.18,19.04,1.31,0.54,25.6,,12.2,8.94,10.16,58.0,5.8,0.8,NGC3395
NGC3396,12.42,18.73,2.89,0.41,-88.7,,12.46,8.81,10.02,74.5,9.3,1.5,NGC3396
UGC05958,13.91,17.12,1.24,0.16,-0.9,*,13.98,8.15,9.36,90.0,4.0,0.3,UGC05958
NGC3414,10.26,31.08,5.6,0.75,11.1,,10.42,9.63,10.84,33.9,-2.0,0.6,NGC3414
NGC3413,12.98,13.96,2.01,0.5,-3.5,,13.05,8.2,9.41,60.0,-1.1,2.4,NGC3413
NGC3424,11.43,21.38,1.71,0.22,-66.6,*,11.45,9.35,10.56,78.3,3.1,0.5,NGC3424
UGC05955,12.97,8.94,3.79,0.94,-64.9,,13.07,8.48,9.7,20.5,-4.9,0.4,UGC05955
NGC3430,11.28,32.64,1.17,0.5,33.9,*,11.34,9.43,10.64,59.3,5.1,0.7,NGC3430
NGC3437,11.28,18.95,1.07,0.34,-60.6,*,11.3,9.45,10.66,66.9,5.2,0.5,NGC3437
UGC05990,14.04,12.43,1.58,0.24,15.2,*,14.1,8.18,9.39,90.0,2.1,0.8,UGC05990
NGC3440,13.74,24.5,3.59,0.3,51.6,*,13.94,8.62,9.84,70.0,3.6,1.9,NGC3440
NGC3403,12.1,26.34,1.27,0.34,74.0,*,12.15,8.99,10.2,67.4,4.0,0.3,NGC3403
UGC06016,15.32,30.83,1.12,0.42,59.0,,15.37,7.7,8.91,68.7,9.9,0.4,UGC06016
UGC06023,12.69,18.58,0.92,0.45,53.7,*,12.75,8.79,10.0,60.3,6.5,0.9,UGC06023
NGC3454,12.86,28.74,0.5,0.14,-63.9,*,12.85,8.49,9.7,90.0,5.4,0.8,NGC3454
NGC3455,12.85,18.51,0.93,0.58,66.5,*,12.87,8.72,9.93,59.3,3.1,0.8,NGC3455
NGC3445,12.89,19.41,0.98,0.77,-59.2,*,12.92,8.48,9.69,28.6,8.8,0.9,NGC3445
NGC3448,11.75,26.36,2.88,0.32,65.7,*,11.9,9.02,10.23,67.8,3.8,4.2,NGC3448
NGC3458,11.87,7.47,3.53,0.69,2.7,,11.95,9.16,10.37,47.5,-2.0,0.4,NGC3458
NGC3485,11.96,27.75,1.25,0.82,52.0,*,12.0,9.04,10.25,20.7,3.2,0.6,NGC3485
NGC3488,12.95,20.27,0.83,0.65,-6.2,*,13.01,8.95,10.17,52.7,5.2,0.5,NGC3488
NGC3501,11.71,35.83,1.07,0.11,27.8,*,11.81,8.98,10.2,90.0,5.8,0.5,NGC3501
NGC3504,10.35,26.74,9.43,0.51,-29.8,*,10.57,9.81,11.03,13.0,2.1,0.4,NGC3504
NGC3512,12.08,16.28,1.46,0.83,-46.0,*,12.13,8.94,10.16,31.6,5.1,0.5,NGC3512
NGC3521,8.15,70.48,2.82,0.58,-18.5,*,8.21,9.9,11.12,64.1,4.0,0.2,NGC3521
NGC3516,10.48,4.55,20.0,0.82,13.4,,10.73,10.2,11.42,35.6,-1.9,0.5,NGC3516
NGC3526,13.12,30.35,1.03,0.19,56.0,*,13.2,8.29,9.5,82.2,5.3,0.8,NGC3526
NGC3547,12.78,17.79,0.79,0.42,5.9,*,12.82,8.43,9.64,60.5,3.4,1.1,NGC3547
NGC3564,11.47,14.78,2.52,0.28,17.4,,11.5,9.51,10.73,77.9,-2.1,0.7,NGC3564
NGC3592,13.23,24.89,1.06,0.18,-61.5,*,13.28,8.31,9.53,90.0,5.2,0.6,NGC3592
NGC3596,11.05,32.12,1.65,0.98,-35.9,*,11.12,9.43,10.65,21.6,5.2,0.5,NGC3596
NGC3620,9.66,47.27,11.53,0.35,76.5,,10.06,9.49,10.7,71.3,2.0,0.5,NGC3620
PGC034407,14.68,13.42,1.12,0.35,-5.0,,14.75,7.77,8.98,72.3,-1.3,1.8,PGC034407
NGC3608,10.12,40.52,6.04,0.8,78.0,,10.32,9.59,10.8,38.0,-4.8,0.4,NGC3608
NGC3621,9.09,81.1,1.05,0.45,-17.3,*,9.09,9.01,10.23,64.0,6.9,0.5,NGC3621
UGC06324,14.1,16.84,2.66,0.36,-13.2,,14.2,7.86,9.07,71.8,-1.9,0.5,UGC06324
NGC3610,10.33,14.57,5.42,0.69,-44.6,,10.4,9.86,11.08,47.8,-3.9,1.6,NGC3610
NGC3613,10.36,27.9,4.12,0.51,-83.0,,10.43,9.75,10.96,61.9,-4.5,0.9,NGC3613
NGC3619,10.55,59.65,8.85,0.86,52.5,,10.95,9.63,10.84,21.8,-1.0,0.6,NGC3619
ESO377-039,15.24,11.22,0.92,0.48,76.3,,15.39,7.96,9.18,62.3,3.3,1.9,ESO377-039
UGC06341,15.61,19.61,1.49,0.23,-27.5,,15.61,7.7,8.91,75.7,7.9,0.8,UGC06341
NGC3626,10.47,25.68,5.33,0.56,-12.3,*,10.64,9.34,10.55,47.3,-0.8,1.1,NGC3626
NGC3622,13.08,14.35,1.36,0.53,6.3,*,13.12,8.38,9.59,48.6,7.3,2.2,NGC3622
NGC3627,8.17,98.81,3.02,0.52,-11.0,*,8.28,9.81,11.02,55.1,3.1,0.4,NGC3627
NGC3628,8.48,121.22,1.97,0.2,-76.3,*,8.65,9.61,10.82,90.0,3.1,0.3,NGC3628
NGC3629,12.82,26.18,1.35,0.79,33.2,*,12.89,8.94,10.16,39.2,5.9,0.6,NGC3629
NGC3631,9.87,125.41,7.07,0.95,-5.9,*,10.41,8.72,9.93,33.3,5.1,0.5,NGC3631
NGC3640,9.75,34.87,4.29,0.83,88.9,,9.86,9.91,11.13,34.9,-4.7,0.7,NGC3640
NGC3655,11.19,13.56,1.48,0.64,32.5,*,11.21,9.24,10.46,23.7,5.0,0.4,NGC3655
NGC3659,12.6,17.23,0.92,0.46,57.2,*,12.59,8.63,9.84,53.7,7.7,2.2,NGC3659
NGC3666,11.58,25.38,1.25,0.28,-82.0,*,11.63,8.81,10.02,74.0,5.1,0.6,NGC3666
NGC3665,9.75,46.82,5.47,0.76,27.1,,9.9,9.88,11.09,41.5,-2.1,0.6,NGC3665
NGC3674,11.93,9.01,3.77,0.33,32.2,,12.01,9.27,10.48,74.0,-1.9,0.4,NGC3674
NGC3681,11.45,18.45,2.51,0.88,-20.1,*,11.51,9.21,10.43,26.7,4.0,0.2,NGC3681
IC0691,12.77,2.08,7.29,0.6,-18.4,*,12.85,8.61,9.82,54.6,-2.0,2.0,IC0691
IC2828,14.49,12.84,1.45,0.43,65.4,,14.5,7.52,8.73,54.9,10.0,2.0,IC2828
NGC3684,11.67,23.17,1.46,0.66,-54.6,*,11.71,8.94,10.16,47.9,4.0,0.3,NGC3684
NGC3683,10.99,16.9,0.76,0.26,-52.4,*,10.97,9.63,10.84,76.8,4.8,0.7,NGC3683
NGC3686,10.92,37.44,1.15,0.82,21.1,*,10.98,9.01,10.23,35.6,4.1,0.4,NGC3686
NGC3691,13.0,18.98,0.5,0.65,26.6,*,13.04,8.69,9.9,41.3,3.0,0.4,NGC3691
NGC3692,11.72,22.83,1.3,0.21,-86.6,*,11.79,9.5,10.71,78.0,3.0,0.4,NGC3692
NGC3718,9.52,129.32,9.03,0.81,5.6,,10.05,10.14,11.35,69.2,1.1,0.6,NGC3718
NGC3729,11.24,35.68,0.92,0.59,-17.8,*,11.27,9.14,10.35,45.4,1.2,0.8,NGC3729
UGC06566,,,,,,,,,,,8.8,0.5,UGC06566
UGC06575,13.85,23.84,0.87,0.24,-7.7,*,13.81,8.55,9.76,90.0,5.9,0.8,UGC06575
NGC3755,12.89,27.75,1.78,0.43,-59.2,*,13.0,8.87,10.09,69.9,5.3,0.6,NGC3755
NGC3756,11.13,47.12,0.68,0.49,-0.5,*,11.19,9.15,10.36,60.1,4.1,0.3,NGC3756
NGC3757,12.15,5.33,4.42,0.82,-53.0,,12.21,8.85,10.07,35.9,-2.1,0.6,NGC3757
NGC3773,13.1,11.81,2.99,0.88,-24.7,*,13.22,8.18,9.39,36.4,-2.1,0.7,NGC3773
NGC3786,11.62,24.05,5.21,0.51,63.2,,12.01,9.48,10.69,58.0,1.1,0.5,NGC3786
NGC3788,11.78,19.83,1.66,0.24,-4.9,,11.83,9.67,10.88,79.1,2.3,0.8,NGC3788
NGC3795,13.08,21.62,0.93,0.22,55.4,*,13.09,8.54,9.75,75.7,4.0,1.3,NGC3795
NGC3796,12.38,10.09,5.01,0.58,-52.3,,12.5,8.74,9.95,56.3,-3.0,1.7,NGC3796
NGC3794,12.92,29.42,1.59,0.53,-63.2,*,13.0,8.43,9.64,54.7,6.4,0.8,NGC3794
NGC3813,11.19,24.58,0.84,0.4,84.3,*,11.2,9.19,10.4,69.6,3.3,0.8,NGC3813
NGC3838,11.88,9.28,3.18,0.34,-40.7,,11.93,9.0,10.21,72.7,-0.3,0.8,NGC3838
NGC3846A,13.31,34.09,1.64,0.49,48.1,*,13.42,8.44,9.65,63.1,9.6,0.7,NGC3846A
UGC06728,12.72,4.85,6.08,0.61,-65.5,,12.82,8.88,10.09,53.5,-0.1,0.4,UGC06728
NGC3870,13.13,8.73,2.16,0.52,29.0,*,13.17,8.12,9.33,44.9,-1.2,2.7,NGC3870
NGC3898,9.94,43.48,6.99,0.58,-72.2,*,10.18,10.04,11.26,56.4,1.7,0.8,NGC3898
NGC3938,10.17,52.06,1.81,0.95,18.5,*,10.26,9.47,10.69,21.1,5.2,0.5,NGC3938
NGC3941,9.83,23.03,3.57,0.61,4.5,,9.92,9.2,10.41,52.1,-2.0,0.4,NGC3941
NGC3945,10.02,22.27,4.74,0.97,-38.5,,10.11,9.69,10.9,14.3,-1.2,0.6,NGC3945
NGC3952,13.34,19.57,1.08,0.35,87.1,*,13.32,8.53,9.75,72.5,9.3,2.3,NGC3952
NGC3953,9.4,74.7,2.05,0.53,17.0,*,9.49,9.4,10.61,59.2,4.0,0.2,NGC3953
UGC06879,13.55,19.68,0.97,0.33,-12.2,*,13.61,8.57,9.78,72.9,6.9,1.2,UGC06879
NGC3972,11.88,44.4,0.92,0.27,-62.2,,12.04,8.79,10.0,74.6,4.0,0.3,NGC3972
NGC3982,11.28,16.14,0.9,0.84,17.7,*,11.3,9.22,10.43,28.8,3.2,0.6,NGC3982
UGC06919,14.01,19.32,1.03,0.26,87.5,,14.04,8.15,9.37,76.5,7.3,1.8,UGC06919
NGC3990,12.17,8.17,2.79,0.49,40.6,,12.23,8.13,9.34,62.8,-2.7,0.7,NGC3990
NGC3998,9.75,19.13,6.58,0.82,-41.4,,9.88,9.34,10.55,36.8,-2.1,0.7,NGC3998
NGC4013,10.07,46.08,1.24,0.13,65.1,*,10.09,9.51,10.73,90.0,3.1,0.5,NGC4013
NGC4030,9.76,27.46,1.74,0.81,39.2,*,9.79,9.95,11.17,39.4,4.0,0.2,NGC4030
NGC4032,12.65,18.51,1.38,0.81,-6.1,*,12.7,8.83,10.04,17.1,9.6,1.1,NGC4032
UGC06998,14.94,38.83,1.38,0.52,30.9,,15.12,7.94,9.15,60.1,8.8,0.6,UGC06998
IC0755,13.81,16.99,1.8,0.17,-34.0,*,13.89,7.95,9.17,81.3,3.9,1.8,IC0755
NGC4037,11.94,63.41,2.21,0.62,8.4,,12.18,8.41,9.62,31.7,3.3,1.1,NGC4037
NGC4036,10.07,25.96,2.35,0.38,80.8,,10.12,9.59,10.8,70.6,-2.4,0.8,NGC4036
NGC4038,10.65,34.57,0.21,0.65,-88.4,,10.62,9.53,10.75,50.5,8.9,0.5,NGC4038
NGC4039,10.35,51.4,1.03,0.43,42.5,,10.33,9.11,10.33,66.5,8.9,0.2,NGC4039
NGC4045,11.05,17.74,3.9,0.87,24.5,*,11.14,9.57,10.78,49.2,1.3,0.9,NGC4045
NGC4051,8.05,5606.11,19.97,0.62,-50.6,,9.9,9.14,10.35,30.8,4.0,0.1,NGC4051
UGC07035,13.97,16.77,1.31,0.3,-27.8,,14.0,8.18,9.39,73.6,1.8,2.5,UGC07035
NGC4067,12.34,12.42,1.75,0.69,45.0,*,12.42,9.29,10.5,42.4,3.1,0.6,NGC4067
UGC07086,12.56,20.25,1.14,0.16,70.8,,12.57,8.9,10.11,90.0,3.1,0.5,UGC07086
UGC07089,13.25,49.66,1.03,0.22,34.3,,13.46,7.75,8.97,90.0,7.9,0.8,UGC07089
NGC4100,10.41,52.04,1.0,0.27,-16.9,*,10.49,9.4,10.62,72.4,4.1,0.6,NGC4100
UGC07094,14.17,27.09,1.14,0.33,38.9,,14.24,7.37,8.58,73.2,8.1,0.5,UGC07094
NGC4102,9.94,16.46,8.99,0.61,45.9,,10.14,9.47,10.68,57.5,3.1,0.5,NGC4102
NGC4111,10.07,14.62,4.96,0.23,-30.4,,10.18,9.27,10.49,90.0,-1.3,1.0,NGC4111
NGC4116,11.95,54.51,1.64,0.44,-30.8,*,12.04,8.65,9.87,56.8,7.3,1.2,NGC4116
NGC4117,12.58,11.67,2.51,0.41,20.9,,12.63,8.56,9.77,65.2,-2.0,0.5,NGC4117
NGC4125,9.06,62.6,5.07,0.57,82.2,,9.2,10.07,11.28,57.5,-4.8,0.6,NGC4125
NGC4119,10.87,53.19,2.86,0.38,-68.1,,11.01,8.85,10.06,70.1,-1.2,0.7,NGC4119
NGC4123,10.73,120.74,5.09,0.48,-69.3,*,11.15,9.15,10.36,47.4,5.0,0.7,NGC4123
IC3019,13.34,34.76,1.35,0.88,-49.3,,13.49,8.06,9.27,29.2,-5.0,0.5,IC3019
NGC4138,10.66,21.39,2.25,0.61,-28.3,,10.72,8.98,10.2,57.0,-0.8,1.1,NGC4138
IC3021,14.81,23.24,1.4,0.68,10.6,,15.45,8.32,9.54,40.3,8.6,1.2,IC3021
NGC4144,11.72,72.3,1.44,0.24,-78.0,*,12.02,7.87,9.08,78.4,6.1,0.9,NGC4144
IC3023,16.15,15.0,0.69,0.79,-20.3,,16.3,6.25,7.47,53.3,9.7,0.6,IC3023
NGC4151,10.04,6.68,4.96,0.91,-33.1,,9.62,8.33,9.55,41.9,1.9,0.5,NGC4151
NGC4152,11.96,14.19,1.34,0.79,-25.5,,12.0,9.26,10.47,40.0,4.9,1.3,NGC4152
UGC07178,15.59,20.94,1.04,0.92,6.6,,15.68,7.53,8.75,23.6,9.6,1.0,UGC07178
IC3033,14.74,25.05,2.18,0.45,-3.6,,14.88,7.56,8.77,52.9,7.8,1.1,IC3033
UGC07184,14.45,18.66,0.74,0.39,-26.7,,14.5,8.25,9.46,60.5,6.4,1.2,UGC07184
NGC4165,13.28,18.81,0.81,0.59,-17.5,*,13.33,9.18,10.39,49.1,2.0,1.2,NGC4165
NGC4168,10.52,41.59,4.33,0.85,-50.3,,10.65,9.81,11.02,32.7,-4.9,0.4,NGC4168
NGC4178,11.29,80.18,1.43,0.24,33.2,*,11.59,9.16,10.37,75.0,6.9,1.2,NGC4178
IC3044,14.12,26.45,1.42,0.47,66.8,,14.26,7.79,9.0,73.8,6.1,0.8,IC3044
NGC4179,10.38,22.25,4.03,0.29,-36.8,,10.5,9.33,10.54,77.0,-1.9,0.9,NGC4179
NGC4180,11.6,11.99,1.26,0.36,25.8,*,11.63,9.44,10.65,68.6,2.0,0.6,NGC4180
NGC4183,12.2,50.06,1.73,0.18,-13.6,*,12.43,8.47,9.68,90.0,5.9,0.6,NGC4183
NGC4189,11.47,32.79,0.94,0.76,87.3,*,11.5,9.11,10.33,39.0,5.9,0.9,NGC4189
NGC4192,9.28,117.96,5.62,0.42,-27.5,*,9.81,9.28,10.5,74.0,2.6,0.8,NGC4192
NGC4191,12.25,11.26,4.26,0.66,6.3,,12.34,9.37,10.58,49.9,-1.8,1.3,NGC4191
NGC4193,11.82,23.86,1.34,0.46,-88.3,*,11.87,9.36,10.58,63.7,4.1,1.8,NGC4193
PGC039052,14.37,12.91,1.2,0.28,27.6,,14.41,8.43,9.64,75.3,5.2,3.3,PGC039052
NGC4194,11.58,2.19,8.11,0.62,-9.3,*,11.64,9.53,10.74,53.0,9.1,2.8,NGC4194
UGC07249,15.64,25.15,0.53,0.27,58.5,,15.69,7.6,8.81,80.7,9.6,1.3,UGC07249
NGC4197,12.51,28.04,1.15,0.19,35.8,*,12.57,8.77,9.98,71.7,6.7,1.2,NGC4197
NGC4200,12.73,15.07,3.18,0.65,-86.0,,12.85,8.63,9.84,50.7,-2.0,0.5,NGC4200
IC3059,14.66,31.53,0.82,0.6,12.7,,14.78,7.84,9.05,45.9,9.7,0.7,IC3059
IC3061,13.09,20.38,1.21,0.18,-59.3,*,13.14,8.97,10.19,90.0,5.2,0.6,IC3061
NGC4203,9.65,44.32,7.68,0.85,8.8,*,9.96,9.37,10.58,27.7,-2.7,0.7,NGC4203
IC3065,13.49,10.11,1.5,0.7,-2.2,,13.55,8.0,9.21,46.7,-2.2,1.2,IC3065
NGC4206,11.85,52.87,1.48,0.17,0.6,*,12.11,8.71,9.92,90.0,4.0,0.3,NGC4206
NGC4207,11.88,15.33,1.06,0.31,-58.6,,11.88,8.76,9.97,90.0,7.7,3.4,NGC4207
NGC4214,10.16,75.84,1.64,0.83,-57.2,*,10.22,7.86,9.07,23.2,9.8,0.5,NGC4214
NGC4212,10.7,35.13,0.76,0.57,71.1,*,10.72,9.17,10.38,49.7,4.9,0.8,NGC4212
NGC4217,9.92,61.81,1.43,0.15,48.9,*,9.94,9.56,10.77,90.0,3.0,0.4,NGC4217
NGC4216,8.88,88.37,4.83,0.23,19.9,*,9.26,9.58,10.79,83.4,3.0,0.5,NGC4216
NGC4215,11.54,16.91,2.95,0.3,-4.9,,11.65,9.05,10.27,75.8,-0.9,1.0,NGC4215
IC3077,13.9,27.6,1.9,0.67,1.8,,14.02,7.31,8.52,48.4,6.0,2.9,IC3077
NGC4222,12.42,39.56,1.05,0.11,56.7,*,12.52,8.59,9.8,90.0,6.6,1.1,NGC4222
NGC4224,10.99,29.98,3.07,0.43,55.1,*,11.16,10.06,11.27,67.8,1.0,0.3,NGC4224
NGC4236,10.43,283.52,1.24,0.23,-21.0,*,10.85,7.95,9.16,75.8,8.0,0.3,NGC4236
IC3096,14.44,15.69,1.16,0.33,-85.6,,14.45,7.51,8.73,73.0,0.7,3.3,IC3096
IC3100,14.15,27.25,2.09,0.31,55.6,,14.26,6.46,7.67,75.5,-2.0,1.4,IC3100
NGC4233,11.19,16.14,5.55,0.55,-1.3,,11.37,9.49,10.7,58.3,-2.0,0.5,NGC4233
NGC4234,12.75,18.64,0.67,0.8,71.3,*,12.79,8.92,10.13,37.1,8.6,1.4,NGC4234
IC3099,14.05,22.43,1.5,0.14,-6.4,,14.13,8.42,9.64,85.5,6.2,1.2,IC3099
NGC4235,10.67,41.9,5.86,0.29,49.0,,11.03,9.13,10.35,74.4,1.0,0.4,NGC4235
NGC4237,11.13,23.76,0.91,0.6,-73.6,*,11.14,9.13,10.34,52.3,4.0,0.5,NGC4237
NGC4239,12.71,13.15,2.85,0.53,-64.2,,12.78,8.37,9.58,60.4,-4.5,1.5,NGC4239
IC3102,11.37,36.15,3.22,0.54,-50.8,*,11.54,9.28,10.49,52.9,-0.7,1.0,IC3102
SDSSJ121727.85+071937.6,16.62,23.22,0.02,0.13,-21.9,,,,,90.0,5.0,2.0,SDSSJ121727.85+071937.5
NGC4244,10.18,155.24,1.0,0.14,46.9,*,10.73,7.98,9.2,90.0,6.0,0.6,NGC4244
IC3105,15.29,24.13,0.76,0.26,29.2,,15.41,7.14,8.35,90.0,9.8,0.9,IC3105
UGC07321,13.08,57.16,1.4,0.08,81.7,*,13.36,8.39,9.61,90.0,6.5,0.7,UGC07321
IC3115,13.32,36.66,1.25,0.62,-8.1,*,13.4,8.42,9.63,39.7,5.5,0.7,IC3115
NGC4251,10.24,19.96,3.71,0.45,-82.9,,10.28,9.47,10.68,65.4,-1.8,0.7,NGC4251
NGC4252,14.27,17.37,1.23,0.28,47.9,,14.28,7.96,9.18,90.0,3.6,1.3,NGC4252
IC3104,11.73,78.2,0.88,0.47,35.0,,11.93,6.97,8.18,65.0,9.9,0.5,IC3104
NGC4254,9.38,48.66,1.85,0.83,70.3,*,9.41,9.46,10.67,38.3,5.2,0.7,NGC4254
IC3131,13.31,19.2,1.61,0.95,44.2,,13.41,7.91,9.13,18.6,-3.0,1.8,IC3131
NGC4255,12.02,9.39,3.26,0.51,-68.2,,12.1,9.08,10.29,61.2,-2.0,0.5,NGC4255
NGC4258,7.95,126.5,2.43,0.52,-21.3,,8.08,9.53,10.75,59.5,4.0,0.2,NGC4258
NGC4259,13.15,7.0,3.13,0.37,-35.3,,13.21,9.23,10.44,71.1,-2.0,0.4,NGC4259
NGC4260,10.96,32.95,2.45,0.46,48.8,*,11.13,9.67,10.88,69.0,1.0,0.5,NGC4260
NGC4261,9.44,48.62,5.38,0.81,-19.5,,9.59,10.17,11.38,37.0,-4.8,0.4,NGC4261
NGC4262,10.88,8.36,5.99,0.83,5.4,,10.98,8.98,10.19,25.0,-2.6,0.7,NGC4262
NGC4266,12.05,23.65,1.7,0.21,74.5,,12.08,8.44,9.65,82.0,1.0,0.9,NGC4266
NGC4267,9.77,91.05,12.41,0.93,15.6,,10.34,9.25,10.47,12.0,-2.7,0.7,NGC4267
NGC4268,12.04,13.65,2.88,0.42,48.1,,12.13,9.11,10.32,62.5,-0.3,0.7,NGC4268
NGC4269,11.96,17.66,8.02,0.81,-50.8,,12.18,8.4,9.61,36.6,-1.1,0.8,NGC4269
NGC4270,11.57,18.76,2.24,0.44,-71.5,,11.62,9.15,10.36,66.1,-2.0,0.4,NGC4270
NGC4273,11.36,17.19,1.72,0.65,7.4,*,11.44,9.32,10.53,52.8,5.2,0.6,NGC4273
IC0781,13.17,19.51,2.64,0.74,40.9,,13.29,7.98,9.19,43.3,-2.7,1.8,IC0781
NGC4276,12.89,21.66,1.52,0.87,81.7,*,12.97,8.69,9.91,35.8,6.4,2.0,NGC4276
UGC07387,13.4,23.68,1.03,0.1,16.5,*,13.49,8.77,9.98,90.0,6.6,1.1,UGC07387
IC3167,14.15,13.86,1.09,0.73,83.0,,14.2,7.6,8.81,44.1,-2.0,1.4,IC3167
PGC039799,16.21,16.17,0.61,0.34,36.9,,16.43,6.03,7.24,70.6,9.0,0.7,PGC039799
NGC4281,10.37,27.65,4.51,0.47,86.0,,10.48,9.59,10.8,63.9,-1.5,0.7,NGC4281
UGC07396,14.68,19.9,1.28,0.32,-80.2,,14.76,8.16,9.37,75.8,7.6,0.8,UGC07396
NGC4287,13.73,13.21,2.06,0.29,72.8,*,13.78,8.4,9.61,68.7,4.3,2.0,NGC4287
NGC4289,12.31,14.3,2.97,0.15,1.8,*,12.38,9.36,10.57,90.0,5.6,0.7,NGC4289
NGC4292,11.71,30.13,3.55,0.63,7.2,,11.93,8.18,9.39,52.3,-1.9,0.7,NGC4292
NGC4294,12.18,32.96,1.14,0.38,-23.8,*,12.26,8.48,9.69,64.8,5.9,0.5,NGC4294
NGC4298,10.75,44.0,1.16,0.54,-45.8,,10.81,9.12,10.33,55.5,5.1,0.6,NGC4298
UGC07411,13.47,16.49,2.19,0.34,-45.3,,13.51,7.86,9.08,72.5,0.1,1.6,UGC07411
IC0782,13.18,14.16,2.55,0.6,63.9,,13.28,8.87,10.09,54.2,0.4,2.2,IC0782
IC0783,13.29,23.05,1.21,0.85,-74.0,,13.32,8.2,9.41,32.3,-0.2,0.8,IC0783
NGC4299,12.72,23.38,0.89,0.96,14.9,*,12.71,8.51,9.72,19.9,8.4,1.3,NGC4299
NGC4300,11.87,23.8,2.46,0.33,40.6,*,11.98,9.36,10.57,73.0,1.0,0.4,NGC4300
NGC4302,10.16,56.02,1.29,0.1,-1.0,*,10.39,9.16,10.37,90.0,5.3,0.8,NGC4302
UGC07422,12.91,8.5,1.63,0.01,-13.0,,13.53,7.86,9.07,90.0,2.5,0.8,UGC07422
NGC4305,12.19,32.74,1.76,0.52,29.6,,12.41,9.28,10.49,59.9,1.2,0.9,NGC4305
NGC4306,12.78,23.32,1.92,0.74,-33.0,,12.87,8.14,9.35,43.2,-2.0,0.7,NGC4306
NGC4307,11.15,37.14,1.07,0.17,23.6,*,11.24,9.24,10.46,90.0,3.2,0.7,NGC4307
PGC040045,14.7,77.78,1.89,0.6,48.4,,,,,54.7,9.4,1.5,PGC040045
NGC4309,12.23,29.63,2.64,0.51,85.4,,12.39,8.89,10.11,58.5,-0.7,0.7,NGC4309
UGC07436,13.66,21.13,2.14,0.56,-61.7,,13.98,7.79,9.0,57.6,-2.1,2.2,UGC07436
PGC040074,15.54,17.81,0.82,0.41,3.0,,15.58,7.05,8.26,69.5,-5.0,1.2,PGC040074
NGC4303A,13.48,19.58,1.82,0.82,2.5,*,13.59,7.83,9.04,39.6,6.3,1.1,NGC4303A
NGC4312,11.23,37.22,2.22,0.24,-9.0,*,11.38,8.45,9.66,77.0,2.1,0.9,NGC4312
NGC4313,10.91,42.08,2.26,0.23,-37.5,*,11.05,8.75,9.97,79.6,2.1,0.4,NGC4313
NGC4316,11.73,24.74,0.76,0.15,-67.9,*,11.75,9.14,10.36,90.0,5.5,0.9,NGC4316
IC3229,14.77,15.99,1.16,0.29,44.5,*,14.9,7.81,9.03,67.7,4.2,1.0,IC3229
NGC4321,8.56,192.2,4.54,0.83,-57.9,*,8.95,9.83,11.04,35.0,4.0,0.3,NGC4321
NGC4322,14.25,16.61,1.23,0.71,-40.1,,14.32,7.57,8.78,45.9,-2.4,1.1,NGC4322
NGC4324,11.05,17.89,1.8,0.51,51.5,*,11.12,9.03,10.24,66.1,-0.8,1.2,NGC4324
NGC4330,11.9,53.97,1.6,0.11,58.4,*,12.12,8.7,9.91,90.0,6.1,0.6,NGC4330
NGC4328,13.02,29.52,2.39,0.83,82.0,,13.09,8.38,9.59,34.7,-3.1,0.6,NGC4328
NGC4339,10.83,26.79,4.36,0.91,4.5,,11.0,9.03,10.24,25.2,-4.6,1.0,NGC4339
NGC4340,10.42,51.97,6.32,0.82,78.4,,10.75,9.03,10.24,35.6,-1.2,0.6,NGC4340
NGC4343,11.42,16.47,2.91,0.34,-48.8,*,11.48,9.09,10.3,71.8,3.0,0.7,NGC4343
NGC4342,11.63,5.28,2.41,0.26,-11.3,,11.66,8.79,10.0,80.5,-3.2,1.0,NGC4342
IC3258,13.79,28.27,1.33,0.75,79.4,*,13.86,7.67,8.89,47.4,9.6,1.0,IC3258
IC3259,13.25,25.37,1.2,0.51,16.2,*,13.33,8.14,9.35,59.3,8.0,1.0,IC3259
NGC4341,13.23,14.13,2.53,0.3,-85.2,,13.34,7.94,9.15,76.3,-2.0,0.4,NGC4341
NGC4350,10.33,18.44,3.71,0.28,28.2,,10.35,9.2,10.42,77.8,-1.8,0.9,NGC4350
NGC4353,13.33,16.39,0.46,0.55,69.8,,13.33,8.58,9.79,52.9,9.8,0.8,NGC4353
NGC4351,12.54,29.71,1.72,0.67,63.5,*,12.62,8.15,9.36,48.4,2.8,1.7,NGC4351
NGC4352,12.28,19.06,3.07,0.41,-81.2,,12.4,8.57,9.78,68.3,-2.0,0.4,NGC4352
IC3267,13.36,20.68,0.73,0.95,17.9,*,13.4,8.78,10.0,23.5,5.9,0.5,IC3267
IC3268,13.49,12.53,1.43,0.79,39.1,*,13.48,8.68,9.9,32.2,10.0,1.2,IC3268
NGC4359,12.78,36.15,1.21,0.26,-72.1,*,12.82,8.47,9.68,90.0,5.1,0.8,NGC4359
NGC4356,12.0,36.22,1.1,0.14,39.3,*,12.08,8.57,9.79,90.0,5.7,0.5,NGC4356
NGC4365,8.61,119.69,6.56,0.74,40.6,,8.92,10.16,11.37,43.6,-4.8,0.4,NGC4365
