Name,F100,re100,n100,q100,PA100,F160,re160,n160,q160,PA160,F250,re250,n250,q250,PA250,F350,re350,n350,q350,PA350,F500,re500,n500,q500,PA500,chi2nu
NGC3547,4.95678407,17.2,0.46,0.48,6.2,4.49699626,18.16,0.37,0.48,6.2,2.11222417,19.46,0.21,0.48,6.2,0.93338869,20.69,0.3,0.48,6.2,0.34824109,22.11,0.45,0.48,6.2,1.37
NGC3592,1.13762729,20.6,0.7,0.26,-62.0,1.5853404,23.24,0.59,0.26,-62.0,1.12496758,26.54,0.38,0.26,-62.0,0.58838628,29.31,0.47,0.26,-62.0,0.23959625,31.66,0.63,0.26,-62.0,0.915
NGC3596,13.09784962,31.97,0.73,0.87,-23.7,16.8625219,34.56,0.69,0.87,-23.7,8.73252844,38.62,0.5,0.87,-23.7,4.0184867,43.39,0.65,0.87,-23.7,1.63034688,51.03,0.78,0.87,-23.7,1.711
NGC3621,84.25583753,77.03,0.67,0.51,-19.7,108.47321863,86.05,0.67,0.51,-19.7,57.53604544,98.71,0.74,0.51,-19.7,28.11010938,111.57,0.71,0.51,-19.7,11.57390777,128.47,0.79,0.51,-19.7,3.844
NGC3626,5.57185749,9.15,1.29,0.72,-16.2,4.88565197,10.78,1.27,0.72,-16.2,2.16341586,14.02,1.25,0.72,-16.2,1.00291133,18.77,1.9,0.72,-16.2,0.41293341,28.14,3.14,0.72,-16.2,2.021
NGC3622,2.92146037,15.09,1.1,0.48,3.7,3.05156431,16.84,0.96,0.48,3.7,1.59345575,19.25,0.91,0.48,3.7,0.80105537,21.64,0.67,0.48,3.7,0.33073489,24.67,0.6,0.48,3.7,1.865
NGC3627,112.30523475,77.99,0.3,0.57,4.3,130.05364445,82.3,0.23,0.57,4.3,59.42100717,86.95,0.14,0.57,4.3,26.54987835,89.56,0.15,0.57,4.3,10.98196404,88.44,0.23,0.57,4.3,20.993
NGC3628,117.70637908,65.86,2.73,0.12,-76.3,164.02971367,86.18,2.26,0.12,-76.3,93.57072806,115.6,1.79,0.12,-76.3,43.45727952,146.77,1.93,0.12,-76.3,18.54727099,190.54,2.86,0.12,-76.3,12.031
NGC3629,1.68112497,17.83,0.52,0.82,1.8,2.61410198,21.77,0.64,0.82,1.8,1.76986446,26.27,0.54,0.82,1.8,0.97647816,29.3,0.76,0.82,1.8,0.41752263,29.94,0.58,0.82,1.8,1.052
NGC3631,24.05470305,27.07,2.41,0.89,3.2,38.41691855,47.82,2.39,0.89,3.2,22.36351209,69.76,2.4,0.89,3.2,11.03729208,81.2,1.91,0.89,3.2,3.62309747,72.84,1.11,0.89,3.2,6.607
