Name,RAJ2000,DEJ2000,MType,D25,Dist,Mdust,e_Mdust,Uav,e_Uav,QPAH,e_QPAH,SFR,e_SFR,log10M*,e_log10M*,SED,ModSED,SimbadName
NGC1436,55.9044,-35.85304,2.0,2.951,15.55965,3.11,0.44,2.37,0.47,0.113,0.011,0.256,0.23,9.881,0.209,SED,ModSED,NGC1436
NGC1437B,56.47875,-36.35695,8.3,2.884,10.28016,1.04,0.26,0.98,0.3,0.11,0.015,0.043,0.037,8.72,0.208,SED,ModSED,NGC1437B
NGC1460,56.5572,-36.6964,-1.9,1.905,19.67885,0.19,0.22,1.63,1.61,0.136,0.032,0.002,0.004,9.634,0.209,SED,ModSED,NGC1460
NGC1481,58.62075,-20.42722,-3.0,1.023,23.81212,1.44,1.15,3.38,2.69,0.094,0.021,0.259,0.231,,,SED,ModSED,NGC1481
NGC1482,58.66215,-20.50232,-0.8,2.455,19.6,5.5,0.1,31.31,0.76,0.08,0.001,8.202,8.019,10.383,0.209,SED,ModSED,NGC1482
NGC1510,60.88605,-43.40009,-1.8,1.318,11.0,0.11,0.06,16.71,9.5,0.079,0.016,0.149,0.131,8.882,0.208,SED,ModSED,NGC1510
NGC1566,65.0016,-54.93781,4.0,7.244,6.13762,2.96,0.24,6.55,0.92,0.12,0.01,0.834,0.77,9.899,0.209,SED,ModSED,NGC1566
NGC1569,67.7049,64.84816,9.6,3.89,3.20627,0.06,0.01,114.0,17.5,0.029,0.003,0.638,0.583,8.911,0.208,SED,ModSED,NGC1569
NGC1617,67.9149,-54.60201,1.1,5.248,13.4,3.8,0.75,1.38,0.4,0.157,0.019,0.146,0.135,10.455,0.209,SED,ModSED,NGC1617
NGC1705,73.5564,-53.36097,-2.7,1.862,5.72797,0.14,0.07,2.48,1.7,0.085,0.023,0.026,0.022,8.322,0.207,SED,ModSED,NGC1705
NGC1800,76.6071,-31.95411,8.0,1.549,7.71,0.22,0.06,3.11,0.99,0.078,0.008,0.034,0.029,8.594,0.208,SED,ModSED,NGC1800
NGC1808,76.9263,-37.51296,1.2,5.37,12.30269,9.72,0.95,24.95,4.28,0.069,0.005,13.627,13.499,10.693,0.21,SED,ModSED,NGC1808
NGC1924,82.0083,-5.31064,4.0,1.585,30.47893,8.45,0.97,6.59,0.97,0.094,0.007,2.763,2.63,10.316,0.209,SED,ModSED,NGC1924
NGC2110,88.04745,-7.45607,-3.0,1.82,35.6,0.02,0.06,2178.0,6370.0,0.435,0.041,7.03,6.871,11.216,0.21,SED,ModSED,NGC2110
NGC2146,94.6569,78.35693,2.3,5.37,26.66859,38.26,0.5,37.37,0.59,0.076,0.001,57.277,58.802,11.4,0.21,SED,ModSED,NGC2146
NGC2273,102.53655,60.84584,0.9,2.291,30.47893,16.19,3.19,3.73,0.94,0.102,0.005,7.133,6.958,10.733,0.21,SED,ModSED,NGC2273
NGC2403,114.2142,65.60242,6.0,19.953,3.20627,7.65,0.49,1.74,0.11,0.086,0.005,,,9.658,0.209,SED,ModSED,NGC2403
NGC2549,124.74315,57.80308,-2.0,3.631,12.53141,0.26,0.18,1.64,1.63,0.149,0.032,0.014,0.016,10.004,0.209,SED,ModSED,NGC2549
NGC2577,125.6811,22.55303,-2.9,1.549,36.9,0.24,0.29,3.61,4.04,0.149,0.036,,,10.605,0.21,SED,ModSED,NGC2577
NGC2592,126.7836,25.97033,-4.8,1.479,25.46828,0.07,0.09,2.91,3.38,0.15,0.037,0.003,0.009,10.155,0.209,SED,ModSED,NGC2592
NGC2655,133.9101,78.22342,0.1,3.89,9.4189,1.61,0.55,3.41,1.65,0.131,0.023,0.209,0.191,10.231,0.209,SED,ModSED,NGC2655
NGC2679,132.88725,30.86535,-1.9,1.862,30.5,0.11,0.13,4.06,4.95,0.142,0.036,0.125,0.114,10.192,0.209,SED,ModSED,NGC2679
NGC2685,133.89465,58.7341,-1.0,4.365,13.27,2.62,0.5,1.46,0.37,0.194,0.023,0.169,0.152,9.906,0.209,SED,ModSED,NGC2685
NGC2764,137.0727,21.44324,-1.7,1.148,37.4,8.37,1.17,9.49,2.31,0.107,0.012,3.36,3.214,10.369,0.209,SED,ModSED,NGC2764
NGC2768,137.9061,60.03725,-4.4,5.623,22.18195,13.52,16.59,1.01,1.26,0.228,0.039,,,11.074,0.21,SED,ModSED,NGC2768
NGC2778,138.1017,35.02742,-4.7,1.288,22.69865,0.08,0.07,3.84,3.86,0.141,0.033,0.015,0.016,9.894,0.209,SED,ModSED,NGC2778
NGC2787,139.82685,69.20331,-1.0,3.236,7.4131,0.12,0.11,3.1,2.88,0.141,0.031,0.021,0.02,9.816,0.209,SED,ModSED,NGC2787
NGC2841,140.51025,50.97683,2.9,6.918,16.36816,32.28,2.62,2.47,0.37,0.189,0.022,2.313,2.221,11.159,0.21,SED,ModSED,NGC2841
NGC2853,140.82225,40.20008,-0.7,1.66,28.2,2.52,0.76,1.91,0.8,0.114,0.02,0.171,0.151,9.424,0.208,SED,ModSED,NGC2853
NGC2859,141.07725,34.51336,-1.2,3.162,21.76,2.24,1.25,2.27,1.61,0.151,0.031,0.145,0.138,10.642,0.21,SED,ModSED,NGC2859
NGC2907,142.9026,-16.73466,1.0,2.818,28.2,3.91,1.46,2.57,1.43,0.129,0.027,0.493,0.467,10.77,0.21,SED,ModSED,NGC2907
NGC2915,141.5493,-76.62644,1.6,1.82,4.28548,0.06,0.03,3.67,2.17,0.08,0.024,0.012,0.01,8.3,0.207,SED,ModSED,NGC2915
NGC2974,145.6386,-3.69876,-4.3,3.467,21.28139,2.65,1.09,3.82,2.83,0.164,0.034,,,,,SED,ModSED,NGC2974
NGC2976,146.8146,67.91626,5.2,5.754,3.58096,0.82,0.1,4.02,0.49,0.091,0.005,0.163,0.144,9.034,0.208,SED,ModSED,NGC2976
NGC2992,146.4252,-14.32638,0.9,2.951,31.6,9.07,0.48,11.81,0.7,0.095,0.002,6.494,6.319,10.746,0.21,SED,ModSED,NGC2992
NGC2993,146.4513,-14.36838,1.2,1.349,30.5,4.16,0.26,31.63,1.94,0.069,0.001,7.643,7.458,10.118,0.209,SED,ModSED,NGC2993
NGC3031,148.88805,69.06544,2.4,21.38,3.5975,3.8,0.34,4.28,0.46,0.137,0.009,,,10.698,0.21,SED,ModSED,NGC3031
NGC3034,148.968,69.67977,7.2,10.965,3.6141,3.91,0.06,68.51,0.95,0.055,0.0,12.494,12.346,10.427,0.209,SED,ModSED,NGC3034
NGC3049,148.70685,9.27136,2.6,2.089,17.86487,5.23,1.68,2.84,0.83,0.073,0.007,1.094,1.014,9.547,0.209,SED,ModSED,NGC3049
NGC3073,150.2169,55.61892,-2.7,1.202,33.41948,0.92,0.46,2.69,1.71,0.128,0.024,0.07,0.062,9.811,0.209,SED,ModSED,NGC3073
NGC3077,150.82845,68.734,6.1,5.248,3.85478,0.65,0.17,5.52,2.02,0.102,0.015,0.235,0.21,9.348,0.208,SED,ModSED,NGC3077
NGC3079,150.49095,55.67982,6.4,8.128,16.51962,24.15,1.73,7.66,1.05,0.092,0.008,5.232,5.065,,,SED,ModSED,NGC3079
NGC3081,149.87295,-22.82636,0.0,2.692,26.5,6.45,1.35,5.56,1.45,0.084,0.004,4.81,4.643,10.396,0.209,SED,ModSED,NGC3081
NGC3147,154.2237,73.40073,3.9,4.074,49.65924,158.3,8.41,3.21,0.23,0.153,0.005,14.841,14.787,11.707,0.21,SED,ModSED,NGC3147
NGC3155,154.41615,74.34739,3.5,1.202,48.52884,12.86,3.2,2.02,0.66,0.129,0.017,0.858,0.792,10.15,0.209,SED,ModSED,NGC3155
NGC3182,154.8876,58.20579,0.3,1.905,34.38012,1.62,0.77,5.27,3.02,0.119,0.023,0.435,0.401,10.39,0.209,SED,ModSED,NGC3182
NGC3184,154.5708,41.42436,5.9,7.413,11.64126,13.94,1.01,2.68,0.29,0.138,0.009,1.411,1.322,10.329,0.209,SED,ModSED,NGC3184
NGC3185,154.41075,21.68832,1.2,2.138,24.21028,4.64,0.98,3.97,1.3,0.098,0.014,0.78,0.72,10.186,0.209,SED,ModSED,NGC3185
NGC3187,154.4493,21.87333,5.0,2.239,35.17,20.58,3.95,1.1,0.23,0.098,0.015,0.858,0.791,9.925,0.209,SED,ModSED,NGC3187
NGC3190,154.52625,21.83272,0.9,3.631,24.32205,11.88,1.58,3.33,0.54,0.108,0.007,1.122,1.062,10.892,0.21,SED,ModSED,NGC3190
NGC3198,154.9788,45.54971,5.2,6.457,13.99587,18.26,2.18,1.66,0.27,0.129,0.013,1.423,1.335,10.228,0.209,SED,ModSED,NGC3198
NGC3245A,156.7548,28.63939,3.3,2.344,26.54604,2.4,1.34,1.07,0.77,0.104,0.027,0.102,0.089,9.334,0.208,SED,ModSED,NGC3245A
NGC3252,158.59635,73.76502,7.4,1.862,20.2302,3.17,0.87,2.52,0.84,0.109,0.016,0.306,0.275,9.583,0.209,SED,ModSED,NGC3252
NGC3254,157.33425,29.49219,4.0,2.344,36.3078,42.71,4.7,0.71,0.1,0.133,0.017,0.902,0.843,10.649,0.21,SED,ModSED,NGC3254
NGC3256,156.96375,-43.90376,4.0,3.311,37.4,39.82,1.02,46.71,1.4,0.055,0.001,91.883,95.391,11.209,0.21,SED,ModSED,NGC3256
NGC3277,158.2311,28.51167,1.8,2.089,25.0,2.47,0.81,3.52,1.54,0.137,0.021,0.318,0.292,10.364,0.209,SED,ModSED,NGC3277
NGC3283,157.79835,-46.2513,-1.9,2.884,37.8,9.34,2.67,3.63,1.5,0.128,0.026,0.789,0.763,11.173,0.21,SED,ModSED,NGC3283
NGC3287,158.697,21.64829,7.6,1.778,13.99587,2.62,0.29,2.35,0.34,0.114,0.012,0.296,0.265,9.368,0.208,SED,ModSED,NGC3287
NGC3294,159.06765,37.32462,5.1,3.09,30.06074,22.08,1.65,6.15,0.83,0.107,0.008,4.279,4.125,10.759,0.21,SED,ModSED,NGC3294
NGC3301,159.2334,21.88214,-0.4,3.631,25.15,0.35,0.16,8.13,5.15,0.141,0.027,0.275,0.253,10.458,0.209,SED,ModSED,NGC3301
NGC3338,160.5315,13.7469,5.0,1.23,23.33458,30.4,3.23,1.82,0.3,0.162,0.016,1.719,1.612,10.554,0.209,SED,ModSED,NGC3338
NGC3346,160.91205,14.87179,5.9,2.63,22.4,10.02,1.46,2.47,0.52,0.128,0.014,0.952,0.882,,,SED,ModSED,NGC3346
NGC3348,161.79165,72.83967,-4.8,2.138,32.39,0.29,0.47,2.93,3.73,0.16,0.042,,,11.078,0.21,SED,ModSED,NGC3348
NGC3351,160.99035,11.70355,3.1,7.244,9.90832,7.28,0.67,5.09,0.78,0.097,0.011,1.738,1.638,10.392,0.209,SED,ModSED,NGC3351
NGC3353,161.3433,55.96036,4.1,1.349,18.94,1.0,0.12,20.7,3.42,0.049,0.002,2.215,2.093,9.396,0.208,SED,ModSED,NGC3353
NGC3364,162.1242,72.42506,5.0,1.38,42.17641,9.82,1.46,3.73,0.72,0.111,0.01,1.357,1.27,10.239,0.209,SED,ModSED,NGC3364
NGC3370,161.76675,17.27369,5.1,2.455,29.78516,15.71,1.44,4.07,0.46,0.131,0.008,2.456,2.331,10.31,0.209,SED,ModSED,NGC3370
NGC3380,162.0507,28.60181,1.0,1.549,6.98232,0.2,0.06,2.83,1.0,0.116,0.016,0.034,0.029,8.64,0.208,SED,ModSED,NGC3380
NGC3381,162.10335,34.7114,3.6,1.995,28.74113,6.72,1.35,3.24,0.88,0.128,0.013,0.958,0.887,9.935,0.209,SED,ModSED,NGC3381
NGC3403,163.47855,73.69036,4.0,2.754,26.42408,10.64,2.57,1.84,0.54,0.124,0.016,0.723,0.667,10.036,0.209,SED,ModSED,NGC3403
NGC3413,162.8364,32.76639,-1.1,1.995,16.2181,1.41,0.46,2.13,0.97,0.075,0.014,0.185,0.163,9.154,0.208,SED,ModSED,NGC3413
NGC3414,162.81735,27.97483,-2.0,2.692,25.00344,0.94,0.63,6.21,4.8,0.143,0.028,0.244,0.233,10.735,0.21,SED,ModSED,NGC3414
NGC3424,162.94335,32.90041,3.1,2.512,29.23,13.52,0.7,8.52,0.58,0.092,0.004,4.195,4.036,10.524,0.209,SED,ModSED,NGC3424
NGC3430,163.04775,32.95066,5.1,3.981,30.19955,17.89,1.38,4.33,0.48,0.107,0.007,2.583,2.458,10.508,0.209,SED,ModSED,NGC3430
NGC3437,163.14885,22.93414,5.2,2.344,30.3389,11.64,0.64,12.81,0.86,0.092,0.005,6.034,5.857,10.545,0.209,SED,ModSED,NGC3437
NGC3440,163.45605,57.11866,3.6,2.042,39.81071,8.37,3.22,0.84,0.47,0.079,0.021,0.351,0.317,9.619,0.209,SED,ModSED,NGC3440
NGC3448,163.66425,54.30515,3.8,2.951,24.5,10.43,2.53,5.25,1.0,0.059,0.007,2.364,2.239,10.063,0.209,SED,ModSED,NGC3448
NGC3454,163.62165,17.34446,5.4,2.399,20.60631,2.7,0.61,2.64,0.8,0.101,0.016,0.28,0.25,9.506,0.209,SED,ModSED,NGC3454
NGC3455,163.62945,17.28472,3.1,2.291,27.16,9.92,2.6,1.57,0.44,0.099,0.014,0.587,0.536,9.748,0.209,SED,ModSED,NGC3455
NGC3458,164.00625,57.11693,-2.0,1.38,29.5,0.09,0.09,5.49,5.99,0.147,0.033,0.059,0.057,10.21,0.209,SED,ModSED,NGC3458
NGC3485,165.01005,14.84132,3.2,2.188,26.17422,6.2,1.41,4.75,1.66,0.116,0.017,1.064,0.997,10.149,0.209,SED,ModSED,NGC3485
NGC3488,165.34815,57.67763,5.2,1.514,37.84426,10.02,2.14,1.86,0.53,0.141,0.016,0.641,0.588,,,SED,ModSED,NGC3488
NGC3501,165.69705,17.98949,5.8,4.266,22.59436,8.62,0.99,2.35,0.33,0.107,0.01,0.638,0.586,10.06,0.209,SED,ModSED,NGC3501
NGC3504,165.79635,27.97246,2.1,2.455,33.11307,15.87,0.56,20.37,1.18,0.076,0.002,19.529,19.523,10.946,0.21,SED,ModSED,NGC3504
NGC3512,166.0134,28.03625,5.1,1.585,25.0,4.55,0.6,3.89,0.73,0.143,0.011,0.718,0.661,9.986,0.209,SED,ModSED,NGC3512
NGC3521,166.45245,-0.03578,4.0,8.318,12.41652,34.62,1.85,5.23,0.46,0.145,0.006,5.992,5.836,11.084,0.21,SED,ModSED,NGC3521
NGC3526,166.7361,7.1739,5.3,2.399,19.31969,3.44,0.75,1.13,0.34,0.103,0.017,0.193,0.171,,,SED,ModSED,NGC3526
NGC3547,167.48295,10.72052,3.4,1.738,18.96705,1.33,0.16,8.59,1.54,0.085,0.008,0.462,0.419,9.411,0.208,SED,ModSED,NGC3547
NGC3564,167.65155,-37.54751,-2.1,1.995,36.05,0.11,0.11,58.26,62.11,0.109,0.036,0.713,0.667,10.624,0.21,SED,ModSED,NGC3564
NGC3592,168.61395,17.25999,5.2,2.138,20.51161,2.76,0.71,1.25,0.43,0.108,0.017,0.12,0.105,9.311,0.208,SED,ModSED,NGC3592
NGC3596,168.77595,14.78694,5.2,3.548,27.66941,21.0,2.4,3.23,0.54,0.13,0.011,2.432,2.312,10.522,0.209,SED,ModSED,NGC3596
NGC3608,169.2456,18.14854,-4.8,3.162,22.69865,0.27,0.34,3.59,4.07,0.156,0.037,,,10.715,0.21,SED,ModSED,NGC3608
NGC3610,169.6053,58.78622,-3.9,2.399,32.50874,0.58,0.38,13.87,9.82,0.147,0.029,0.385,0.375,11.003,0.21,SED,ModSED,NGC3610
NGC3613,169.6506,57.99992,-4.5,3.548,28.84032,1.08,1.01,2.23,2.28,0.155,0.035,0.009,0.032,10.877,0.21,SED,ModSED,NGC3613
NGC3619,169.8399,57.7578,-1.0,3.89,31.97,6.85,2.87,2.91,1.87,0.113,0.031,0.912,0.86,10.752,0.21,SED,ModSED,NGC3619
NGC3620,169.01955,-76.21625,2.0,3.162,17.97,8.62,1.14,22.51,2.81,0.047,0.002,7.208,7.03,10.632,0.21,SED,ModSED,NGC3620
NGC3621,169.5687,-32.81398,6.9,9.772,6.69884,9.44,0.71,3.13,0.43,0.143,0.014,,,,,SED,ModSED,NGC3621
NGC3622,170.05155,67.24166,7.3,1.259,20.60631,2.62,0.58,2.94,0.7,0.079,0.007,0.267,0.239,9.373,0.208,SED,ModSED,NGC3622
NGC3626,170.0157,18.35704,-0.8,2.951,19.86094,1.98,0.28,7.46,1.4,0.101,0.01,0.52,0.48,10.402,0.209,SED,ModSED,NGC3626
NGC3627,170.0625,12.99099,3.1,10.233,11.48153,16.85,1.18,11.7,1.46,0.058,0.004,6.616,6.448,10.949,0.21,SED,ModSED,NGC3627
NGC3628,170.0706,13.58876,3.1,10.965,10.81434,26.7,1.05,5.06,0.41,0.094,0.006,3.906,3.757,10.8,0.21,SED,ModSED,NGC3628
NGC3629,170.1324,26.96329,5.9,1.778,35.48135,12.12,2.65,1.36,0.4,0.112,0.015,0.677,0.623,9.964,0.209,SED,ModSED,NGC3629
NGC3631,170.262,53.16994,5.1,3.715,8.74984,3.58,0.26,4.46,0.49,0.131,0.009,0.693,0.637,9.724,0.209,SED,ModSED,NGC3631
NGC3640,170.2788,3.23479,-4.7,4.365,26.79168,0.33,0.43,4.91,6.1,0.154,0.04,,,11.068,0.21,SED,ModSED,NGC3640
NGC3655,170.7279,16.59003,5.0,1.514,23.12064,7.28,0.18,11.05,0.51,0.114,0.003,2.997,2.858,10.315,0.209,SED,ModSED,NGC3655
NGC3659,170.9391,17.81839,7.7,1.95,21.57745,5.13,1.21,2.66,0.55,0.127,0.012,0.535,0.487,9.65,0.209,SED,ModSED,NGC3659
NGC3665,171.1818,38.76279,-2.1,4.074,26.26,3.91,1.31,6.2,2.86,0.143,0.025,0.829,0.798,11.021,0.21,SED,ModSED,NGC3665
NGC3666,171.10875,11.34198,5.1,3.467,16.9044,5.08,0.54,3.16,0.41,0.116,0.012,0.547,0.5,9.844,0.209,SED,ModSED,NGC3666
NGC3674,171.6108,57.04828,-1.9,1.585,34.25724,0.09,0.11,3.06,3.45,0.151,0.037,,,10.331,0.209,SED,ModSED,NGC3674
NGC3681,171.62415,16.8633,4.0,1.738,25.6,9.07,2.4,1.44,0.52,0.144,0.02,0.448,0.412,10.272,0.209,SED,ModSED,NGC3681
NGC3683,171.8826,56.87699,4.8,1.738,32.21072,17.72,0.63,12.53,0.68,0.12,0.004,7.863,7.686,10.757,0.21,SED,ModSED,NGC3683
NGC3684,171.79665,17.03018,4.0,2.291,20.60631,6.85,0.74,3.4,0.54,0.133,0.011,0.862,0.798,9.977,0.209,SED,ModSED,NGC3684
NGC3686,171.933,17.22409,4.1,2.884,15.92209,5.72,0.39,4.56,0.46,0.124,0.007,1.07,0.995,10.053,0.209,SED,ModSED,NGC3686
NGC3691,172.0392,16.92044,3.0,1.479,28.28,3.84,0.77,2.71,0.76,0.108,0.013,0.392,0.354,9.717,0.209,SED,ModSED,NGC3691
NGC3692,172.10115,9.40754,3.0,3.236,40.36453,21.42,3.44,2.05,0.43,0.121,0.012,1.292,1.213,10.616,0.21,SED,ModSED,NGC3692
NGC3718,173.14515,53.06787,1.1,4.677,38.01897,45.35,15.22,1.19,0.56,0.152,0.028,1.537,1.495,11.321,0.21,SED,ModSED,NGC3718
NGC3729,173.45535,53.12568,1.2,2.884,21.0863,5.55,0.59,5.33,0.78,0.108,0.007,1.55,1.456,10.372,0.209,SED,ModSED,NGC3729
NGC3755,174.13905,36.41031,5.3,2.884,34.35581,14.22,3.79,1.28,0.4,0.093,0.017,0.589,0.539,9.961,0.209,SED,ModSED,NGC3755
NGC3756,174.2007,54.29333,4.1,1.905,20.51161,12.74,0.99,1.78,0.19,0.127,0.01,0.83,0.768,10.217,0.209,SED,ModSED,NGC3756
NGC3757,174.26205,58.41542,-2.1,1.148,23.40251,0.07,0.09,2.11,2.3,0.142,0.036,3.606,3.452,9.872,0.209,SED,ModSED,NGC3757
NGC3773,174.55425,12.11216,-2.1,1.23,17.0,0.46,0.1,10.43,2.79,0.08,0.007,0.338,0.303,9.158,0.208,SED,ModSED,NGC3773
NGC3794,175.2252,56.20218,6.4,2.042,20.70141,4.03,0.89,1.03,0.32,0.111,0.015,0.188,0.167,9.508,0.209,SED,ModSED,NGC3794
NGC3795,175.02825,58.61319,4.0,2.089,24.43431,7.42,1.8,0.55,0.17,0.138,0.02,0.143,0.126,9.548,0.209,SED,ModSED,NGC3795
NGC3796,175.1298,60.29894,-3.0,1.445,23.42982,0.51,0.33,1.51,1.24,0.137,0.028,3.615,3.46,9.757,0.209,SED,ModSED,NGC3796
NGC3813,175.32765,36.54669,3.3,2.138,21.47829,9.82,0.48,7.03,0.47,0.115,0.005,2.569,2.439,10.254,0.209,SED,ModSED,NGC3813
NGC3838,176.0571,57.94808,-0.3,1.413,24.37193,0.14,0.16,1.83,1.85,0.144,0.035,,,10.033,0.209,SED,ModSED,NGC3838
NGC3846A,176.06175,55.035,9.6,1.95,25.3,5.03,1.84,0.73,0.35,0.095,0.019,0.209,0.186,9.425,0.208,SED,ModSED,NGC3846A
NGC3870,176.4858,50.19983,-1.2,1.023,15.63,0.41,0.07,9.55,2.05,0.083,0.008,0.217,0.193,9.053,0.208,SED,ModSED,NGC3870
NGC3898,177.31365,56.08403,1.7,3.467,36.14099,23.21,6.76,1.59,0.66,0.165,0.026,1.025,0.991,11.211,0.21,SED,ModSED,NGC3898
NGC3938,178.2057,44.1208,5.2,3.548,19.40886,22.98,1.55,3.39,0.31,0.128,0.006,2.935,2.802,10.586,0.209,SED,ModSED,NGC3938
NGC3941,178.2306,36.98636,-2.0,3.467,12.07813,0.17,0.09,9.73,6.45,0.184,0.033,0.057,0.055,10.249,0.209,SED,ModSED,NGC3941
NGC3945,178.3071,60.67556,-1.2,5.495,23.18,4.93,2.38,1.39,0.82,0.173,0.029,0.315,0.3,10.825,0.21,SED,ModSED,NGC3945
NGC3952,178.41915,-3.99634,9.3,1.622,27.0,1.17,0.38,11.66,4.83,0.061,0.01,1.104,1.024,9.537,0.209,SED,ModSED,NGC3952
NGC3953,178.45425,52.32653,4.0,6.166,12.47383,16.19,1.1,3.14,0.41,0.127,0.012,1.659,1.563,10.483,0.209,SED,ModSED,NGC3953
NGC3972,178.93785,55.32072,4.0,3.631,20.04472,15.56,4.15,0.85,0.32,0.121,0.02,0.446,0.405,9.862,0.209,SED,ModSED,NGC3972
NGC3982,179.11725,55.12493,3.2,2.138,23.44228,6.92,0.44,9.21,0.81,0.121,0.005,2.876,2.74,10.285,0.209,SED,ModSED,NGC3982
NGC3990,179.3985,55.45854,-2.7,1.38,10.18592,0.03,0.03,2.64,2.96,0.132,0.033,0.01,0.009,9.097,0.208,SED,ModSED,NGC3990
NGC4013,179.6307,43.94673,3.1,4.898,18.79318,17.02,1.24,3.63,0.44,0.114,0.007,1.713,1.618,10.633,0.21,SED,ModSED,NGC4013
NGC4030,180.09825,-1.1,4.0,3.802,27.16436,46.73,2.05,6.39,0.47,0.101,0.005,9.02,8.866,11.122,0.21,SED,ModSED,NGC4030
NGC4032,180.1368,20.07392,9.6,1.349,28.41344,6.78,1.53,1.47,0.44,0.123,0.016,0.483,0.44,9.85,0.209,SED,ModSED,NGC4032
NGC4036,180.3621,61.89569,-2.4,4.898,20.89297,0.98,0.34,6.34,3.2,0.144,0.026,0.242,0.232,10.702,0.21,SED,ModSED,NGC4036
NGC4037,180.34875,13.40086,3.3,2.399,13.80385,2.11,0.52,1.6,0.53,0.117,0.016,0.181,0.161,9.408,0.208,SED,ModSED,NGC4037
NGC4051,180.79035,44.53121,4.0,4.898,11.22019,7.2,1.44,5.5,1.72,0.129,0.019,2.089,1.974,10.189,0.209,SED,ModSED,NGC4051
NGC4067,181.04805,10.85433,3.1,1.122,42.46194,8.29,1.44,2.99,0.73,0.136,0.015,0.91,0.847,10.368,0.209,SED,ModSED,NGC4067
NGC4100,181.53585,49.5828,4.1,4.571,19.95263,14.8,0.71,4.41,0.24,0.12,0.005,2.552,2.424,10.523,0.209,SED,ModSED,NGC4100
NGC4102,181.5978,52.71097,3.1,2.951,18.28101,5.84,1.27,43.42,18.94,0.049,0.009,11.622,11.467,10.562,0.209,SED,ModSED,NGC4102
NGC4111,181.7628,43.06556,-1.3,1.778,14.85935,0.45,0.19,7.61,3.83,0.132,0.023,0.157,0.146,10.355,0.209,SED,ModSED,NGC4111
NGC4116,181.9038,2.69142,7.3,2.57,17.13958,10.75,1.76,1.11,0.23,0.117,0.015,0.568,0.518,9.707,0.209,SED,ModSED,NGC4116
NGC4117,181.94205,43.12632,-2.0,1.585,20.2,0.52,0.26,5.31,4.0,0.054,0.019,0.157,0.139,9.554,0.209,SED,ModSED,NGC4117
NGC4119,182.04,10.37897,-1.2,1.585,13.39,0.62,0.31,4.08,2.66,0.135,0.027,0.116,0.102,9.863,0.209,SED,ModSED,NGC4119
NGC4123,182.0463,2.87825,5.0,3.162,20.13724,22.52,2.34,2.02,0.27,0.093,0.011,3.429,3.281,10.193,0.209,SED,ModSED,NGC4123
NGC4125,182.025,65.1741,-4.8,5.888,23.6592,0.42,0.35,15.99,15.39,0.163,0.035,0.303,0.31,11.229,0.21,SED,ModSED,NGC4125
NGC4138,182.37405,43.68527,-0.8,2.951,13.67729,2.33,0.37,3.42,0.84,0.137,0.015,0.303,0.275,10.028,0.209,SED,ModSED,NGC4138
NGC4144,182.49375,46.45731,6.1,5.248,6.88653,1.13,0.26,1.2,0.29,0.059,0.013,0.053,0.046,8.892,0.208,SED,ModSED,NGC4144
NGC4152,182.6562,16.03282,4.9,1.38,33.88443,11.18,1.53,7.82,1.73,0.105,0.01,4.086,3.926,10.339,0.209,SED,ModSED,NGC4152
NGC4165,183.04905,13.24642,2.0,1.23,56.75448,7.35,1.8,2.64,0.87,0.133,0.02,0.456,0.415,10.296,0.209,SED,ModSED,NGC4165
NGC4178,183.1932,10.86585,6.9,4.677,25.00344,44.46,7.84,1.36,0.21,0.074,0.007,1.61,1.512,10.307,0.209,SED,ModSED,NGC4178
NGC4179,183.21705,1.29967,-1.9,4.467,18.4,0.29,0.2,5.66,4.71,0.15,0.03,0.02,0.026,10.424,0.209,SED,ModSED,NGC4179
NGC4180,183.2625,7.03875,2.0,1.445,34.99453,7.88,0.51,10.27,1.1,0.097,0.006,2.716,2.586,10.532,0.209,SED,ModSED,NGC4180
NGC4183,183.3204,43.69854,5.9,4.266,16.67248,9.53,1.69,0.73,0.13,0.093,0.011,0.224,0.199,9.582,0.209,SED,ModSED,NGC4183
NGC4189,183.447,13.42476,5.9,2.188,22.69865,8.71,0.69,4.49,0.46,0.11,0.006,1.674,1.573,10.19,0.209,SED,ModSED,NGC4189
NGC4191,183.4599,7.20089,-1.8,1.514,45.1,2.24,1.07,2.35,1.48,0.139,0.026,0.045,0.05,10.471,0.209,SED,ModSED,NGC4191
NGC4192,183.4512,14.89996,2.6,10.965,12.70574,17.19,1.2,1.98,0.13,0.138,0.006,1.282,1.203,10.528,0.209,SED,ModSED,NGC4192
NGC4193,183.47325,13.17282,4.1,2.239,35.97491,17.37,1.91,2.04,0.29,0.119,0.011,1.454,1.364,10.455,0.209,SED,ModSED,NGC4193
NGC4194,183.54,54.52654,9.1,1.66,39.1,5.44,0.24,77.01,4.85,0.059,0.003,29.952,30.253,10.638,0.21,SED,ModSED,NGC4194
NGC4197,183.66045,5.80529,6.7,2.818,25.00344,9.92,2.15,2.56,0.52,0.072,0.01,0.953,0.882,9.809,0.209,SED,ModSED,NGC4197
NGC4200,183.68415,12.18073,-2.0,1.445,24.21028,0.05,0.07,1.95,2.1,0.14,0.036,,,9.628,0.209,SED,ModSED,NGC4200
NGC4203,183.77085,33.19722,-2.7,3.388,14.99684,1.92,0.47,2.6,0.84,0.147,0.019,0.193,0.179,10.434,0.209,SED,ModSED,NGC4203
