Name,RAJ2000,DEJ2000,z,SF,AGN,Comp,12+logOHPG16S,MzPG16S,12+logOHPG16R,MzPG16R,12+logOHN2,MzN2,12+logOHO3N2,MzO3N2,12+logOHIZI,MzIZI,12+logOHKK04,MzK04,12+logOHT04,MzT04,logNOPG16
NGC1436,55.9044,-35.85304,0.00349,71,0,2,8.561,7.07698,,,8.685,7.154539,8.826,7.252339,8.932,7.331905,,,9.124,7.487165,
NGC1437B,56.47875,-36.35695,0.00231,1,0,0,,,,,8.726,,8.678,,8.604,,,,8.947,,
NGC1482,58.66215,-20.50232,0.0044,3,0,1,,,,,8.779,,8.737,,8.798,,,,9.02,,
NGC1510,60.88605,-43.40009,0.00247,1,0,0,8.340899,7.472396,8.404009,7.535299,8.391808,7.523136,8.297413,7.429072,8.39464,7.525959,,,8.486687,7.617747,-1.129704
NGC1512,60.97605,-43.3488,0.0027,110,0,2,8.557,8.17943,8.529,8.15277,8.579,8.200432,8.787,8.401058,8.939,8.549468,9.094,8.701878,9.038,8.646711,-0.805
NGC1566,65.0016,-54.93781,0.00138,64,2,19,8.588,7.973523,,,8.783,8.160756,8.801,8.178194,8.871,8.246213,,,9.093,8.463643,
NGC1569,67.7049,64.84816,0.00072,4,0,0,7.854741,5.807078,7.719609,5.693524,8.008401,5.942292,8.064464,5.992945,7.650652,5.637905,8.20046,6.118187,8.38126,6.288786,-1.800736
NGC1705,73.5564,-53.36097,0.00129,78,0,0,8.089,5.865973,7.955389,5.747001,8.175725,5.945151,8.153883,5.925082,8.33854,6.097061,,,8.282277,6.044144,-1.704134
NGC1800,76.6071,-31.95411,0.00173,3,0,0,8.245629,6.22881,8.309512,6.28563,8.33,6.304043,8.306,6.282483,8.329,6.303142,8.41083,6.377497,8.51,6.469179,-1.226635
NGC1808,76.9263,-37.51296,0.00276,0,0,1,,,,,,,,,,,,,,,
NGC1924,82.0083,-5.31064,0.00684,0,0,1,,,,,,,,,,,,,,,
NGC2146,94.6569,78.35693,0.00599,1,0,1,,,,,8.782,,,,8.227,,,,,,
NGC2273,102.53655,60.84584,0.00684,0,0,0,,,,,,,,,,,,,,,
NGC2403,114.2142,65.60242,0.00072,96,5,2,8.297,7.385889,8.195,7.304279,8.329,7.412251,8.409,7.479584,8.683,7.722781,8.805,7.835798,8.648,7.690817,-1.305
NGC2577,125.6811,22.55303,0.00828,2,1,1,,,,,8.836,,8.951,,9.089,,,,9.267,,
NGC2655,133.9101,78.22342,0.00211,0,0,0,,,,,,,,,,,,,,,
NGC2764,137.0727,21.44324,0.0084,1,0,0,,,,,,,,,,,,,,,
NGC2768,137.9061,60.03725,0.00498,0,0,0,,,,,,,,,,,,,,,
NGC2787,139.82685,69.20331,0.00166,0,1,0,,,,,,,,,,,,,,,
NGC2798,139.34505,41.99907,0.00592,1,0,3,,,,,,,,,,,,,,,
NGC2841,140.51025,50.97683,0.00367,7,2,1,8.695,8.732537,8.662,8.702681,8.772,8.802995,8.941,8.960901,8.972,8.99027,9.214,9.222734,9.212,9.220794,-0.487
NGC2853,140.82225,40.20008,0.00633,1,0,0,8.511,6.872395,,,8.75,7.015945,8.658,6.956981,8.617,6.932173,,,8.927,7.141297,
NGC2859,141.07725,34.51336,0.00488,0,0,1,,,,,,,,,,,,,,,
NGC2907,142.9026,-16.73466,0.00633,0,1,0,,,,,,,,,,,,,,,
NGC2915,141.5493,-76.62644,0.00096,61,2,0,8.120836,6.322897,8.08524,6.287955,8.251289,6.45136,8.291011,6.490584,8.366291,6.565035,,,8.470063,6.667875,-1.493667
NGC2976,146.8146,67.91626,0.0008,9,0,0,8.39,6.382536,8.418,6.398942,8.446,6.415784,8.544,6.478069,8.562,6.490058,8.907,6.748583,8.79,6.65531,-1.078
NGC2992,146.4252,-14.32638,0.00709,0,51,5,,,,,,,,,,,,,,,
NGC2993,146.4513,-14.36838,0.00685,1,0,0,,,,,8.603,,8.576,,8.733,,,,8.823,,
