Name,RAJ2000,DEJ2000,z,SF,AGN,Comp,12+logOHPG16S,MzPG16S,12+logOHPG16R,MzPG16R,12+logOHN2,MzN2,12+logOHO3N2,MzO3N2,12+logOHIZI,MzIZI,12+logOHKK04,MzK04,12+logOHT04,MzT04,logNOPG16
UGC07396,185.14065,0.78815,0.00763,1,1,0,8.208,7.059789,,,8.358,7.177993,8.39,7.204276,8.344,7.166605,,,8.617,7.399501,
UGC07422,185.50545,5.10031,0.00305,2,0,0,8.535,6.20452,,,8.729,6.37457,8.742,6.386279,8.82,6.457225,,,9.027,6.650301,
UGC07522,186.49395,3.42937,0.00797,1,1,0,,,,,,,,,,,,,,,
UGC07579,186.9807,5.7212,0.00919,2,0,0,8.372,7.227705,8.173874,7.100501,8.588,7.388063,8.614,7.408676,8.442,7.277398,8.39464,7.243522,8.87,7.623671,-1.461455
UGC07596,187.14165,8.63947,0.00103,0,1,0,,,,,,,,,,,,,,,
UGC07636,187.503,7.93005,0.00117,1,0,0,,,,,,,,,,,,,,,
UGC07700,188.13675,63.87735,0.01044,1,0,0,8.311,7.727258,,,8.53,7.922698,8.526,7.919039,8.449,7.849202,,,8.768,8.144835,
UGC07795,189.4389,7.10399,0.00289,2,0,0,7.932,6.137527,,,8.276,6.362614,8.3,6.380483,8.367,6.431663,,,8.498,6.536754,
UGC07802,189.5871,7.89157,0.0046,3,0,0,8.265,6.684864,7.950765,6.520518,8.437,6.797902,8.519,6.856945,8.336,6.729662,,,8.76,7.046728,-1.606179
UGC07982,192.4593,2.85209,0.00432,2,0,0,8.47,7.222479,,,8.732,7.42748,8.619,7.335805,8.512,7.25347,8.45937,7.214761,8.873,7.547595,
UGC08042,193.79295,7.91785,0.00963,2,0,0,8.362,7.215882,,,8.435,7.255923,8.479,7.281514,8.315,7.191717,,,8.719,7.439329,
UGC08181,196.3527,32.90002,0.00371,1,0,0,8.008,6.114849,,,8.18,6.280568,8.231,6.330123,8.266,6.364223,,,8.41,6.505181,
UGC08201,196.6038,67.70693,0.00108,4,0,0,,,,,,,,,,,8.47556,,,,
UGC08246,197.52045,34.18095,0.00473,1,0,0,8.101,7.059896,,,8.225,7.148676,8.237,7.15764,8.323,7.223649,,,8.412,7.294984,
UGC08333,198.97485,25.43582,0.00482,2,0,0,7.938,6.791146,,,8.186,6.975432,7.981,6.821112,8.291,7.06086,,,8.317,7.082585,
UGC08412,200.7177,35.15493,0.0029,1,1,0,7.841,5.690798,,,8.163,5.966962,8.205,6.004888,8.185,5.986784,,,8.371,6.157891,
UGC08630,204.6033,33.11772,0.0065,3,0,0,8.172,7.208972,8.205,7.236249,8.299,7.315809,8.303,7.319251,8.329,7.341734,8.654,7.635479,8.507,7.500047,-1.338
UGC08662,205.32195,33.7726,0.00797,12,0,0,8.152,6.918431,8.217,6.964082,8.263,6.997586,8.281,7.010955,8.362,7.07282,8.778,7.425638,8.462,7.15274,-1.422
UGC08693,206.118,35.1927,0.00927,3,0,0,8.301,7.554359,8.287,7.54357,8.492,7.708859,8.69,7.880857,8.359,7.599882,8.731,7.917658,8.96,8.128831,-1.286
UGC08756,207.6495,42.54143,0.00684,1,0,0,,,,,9.32,,,,8.538,,,,,,
UGC09242,216.3378,39.53941,0.00546,2,1,0,8.164,7.25117,8.218179,7.301614,8.214,7.297708,8.183,7.268811,8.231,7.313613,8.28137,7.360965,8.336,7.412674,-1.281985
UGC09299,217.39425,-0.01807,0.00656,771,0,3,8.186,7.762603,8.251,7.823967,8.408,7.974052,8.5,8.062985,8.352,7.920249,8.832,8.387958,8.752,8.309205,-1.239
UGC09310,217.50465,3.22049,0.00678,0,0,0,,,,,,,,,,,,,,,
UGC09392,218.952,3.0384,0.00676,2,0,0,7.859,6.061633,,,8.171,6.332292,8.238,6.393353,8.311,6.460771,,,8.418,6.561015,
UGC09426,219.3717,48.62366,0.00828,0,0,0,,,,,,,,,,,,,,,
UGC09470,220.45275,0.68694,0.00701,3,1,0,8.118,6.910216,,,8.205,6.982054,8.194,6.972834,8.329,7.088422,,,8.319,7.079688,
UGC09482,220.69575,0.66174,0.00881,3,1,0,8.109,7.09993,7.943,6.957395,8.264,7.2391,8.349,7.317366,8.27,7.244584,8.393,7.358331,8.548,7.504672,-1.607
UGC10854,261.19335,58.20573,0.0111,1,0,1,8.125,7.260175,,,8.373,7.46027,8.41,7.491866,8.395,7.47901,,,8.639,7.695055,
UGC12160,340.22715,75.16472,0.00574,0,0,0,,,,,,,,,,,,,,,
UGC12313,345.43215,16.0675,0.00652,1,0,0,,,,,,,,,7.48843,,,,,,
UGC12690,353.9172,1.19819,0.00768,2,0,0,8.139,7.223736,,,8.208,7.288608,8.201,7.281999,8.245,7.323636,,,8.365,7.438238,
UGC12709,354.3498,0.39167,0.00788,5,0,0,8.197,7.415043,,,8.319,7.510418,8.364,7.547004,8.389,7.567629,,,8.562,7.715535,
