galaxy,split,role,n_points,rmse_v6,rmse_mond,rmse_tau_proxy,delta_tau_minus_v6,mean_rparent_cd,max_abs_rparent_cd,type_bin,inc_bin,distance_quality,tau_proxy_beats_tpg_v6,tau_proxy_beats_mond,tpg_v6_beats_mond,tau_minus_tpg_v6,tau_minus_mond
NGC7331,holdout,candidate,36,25.485065060071,29.31167523042,23.981214495002,-1.503850565069,6.746146851021e-19,0.336725571197,mid_T_3_5,inc_high_60_80,3.0,True,True,True,-1.5038505650690013,-5.330460735418001
NGC7793,train,control,46,5.722342289485,6.05683322736,5.710199506016,-0.01214278347,-1.659300716152e-18,0.126577847118,late_T_6_8,inc_mid_40_60,2.0,True,True,True,-0.012142783468999774,-0.3466337213440003
NGC7814,train,middle,18,22.076573970785,20.006224427466,20.355503427335,-1.72107054345,3.854941057726e-18,0.397447587581,early_T_le_2,inc_edge_ge_80,2.0,True,False,False,-1.721070543449997,0.349278999869
PGC51017,train,middle,6,18.39270699032,21.586193323138,18.390773217701,-0.001933772619,-4.625929269271e-18,0.274152427528,irregular_T_ge_9,inc_high_60_80,2.0,True,True,True,-0.0019337726190009619,-3.1954201054370017
UGC00128,train,middle,22,13.983592876821,11.714529979315,13.908763700221,-0.074829176599,-1.5770213417970001e-19,0.476936383831,late_T_6_8,inc_mid_40_60,1.0,True,False,False,-0.07482917659999977,2.1942337209060003
UGC00191,train,control,9,7.10044763766,7.303541150665,6.939921975863,-0.160525661797,3.083952846181e-18,0.352516402194,irregular_T_ge_9,inc_mid_40_60,1.0,True,True,True,-0.16052566179700012,-0.36361917480199946
UGC00634,train,middle,4,8.179273948613,2.390542422509,8.451168229327,0.271894280714,-1.734723475977e-18,0.29618887935,irregular_T_ge_9,inc_low_lt_40,1.0,False,False,False,0.27189428071399924,6.060625806817999
UGC00731,holdout,middle,12,12.845453066903,11.466827035781,12.717906332002,-0.127546734901,-6.9388939039069996e-18,0.476416566227,irregular_T_ge_9,inc_mid_40_60,1.0,True,False,False,-0.12754673490099933,1.2510792962210004
UGC00891,holdout,control,5,5.958365558299,7.682081654506,6.152330969969,0.193965411671,1.3877787807810001e-17,0.26698793531,irregular_T_ge_9,inc_high_60_80,1.0,False,True,True,0.1939654116700007,-1.5297506845369995
UGC01230,train,middle,11,15.668391396233,19.787452508604,15.467059379895,-0.201332016338,-9.462128050783e-19,0.438147500698,irregular_T_ge_9,inc_low_lt_40,1.0,True,True,True,-0.20133201633800013,-4.320393128709002
UGC01281,train,control,23,2.873653918393,2.590778492828,3.129740203893,0.2560862855,-2.5342047301230003e-17,0.434727413214,late_T_6_8,inc_edge_ge_80,2.0,False,False,False,0.2560862854999999,0.5389617110649998
UGC02023,holdout,middle,5,12.198048884046,13.979836766957,12.178910458934,-0.019138425112,1.110223024625e-17,0.083064173787,irregular_T_ge_9,inc_low_lt_40,1.0,True,True,True,-0.01913842511200059,-1.8009263080229996
UGC02259,holdout,middle,8,16.435140833065,13.661441752136,16.433167542523,-0.001973290543,6.9388939039069996e-18,0.214563257509,late_T_6_8,inc_mid_40_60,1.0,True,False,False,-0.0019732905419971303,2.771725790387002
UGC02455,train,candidate,8,40.125626672089,41.15186377795,40.153760516019,0.028133843931,-1.2143064331840001e-17,0.048226813978,irregular_T_ge_9,inc_mid_40_60,1.0,False,True,True,0.02813384393000007,-0.998103261931
UGC02487,train,candidate,17,67.624111712656,60.828249362763,68.982554272091,1.358442559435,-4.898042755699e-18,0.354755885348,early_T_le_2,inc_low_lt_40,1.0,False,False,False,1.358442559434991,8.15430490932799
UGC02885,train,middle,19,18.303883292453,15.131131571665,21.139553312298,2.835670019845,5.843279076975e-18,0.673042031307,mid_T_3_5,inc_high_60_80,1.0,False,False,False,2.835670019844997,6.008421740632999
UGC02916,train,candidate,43,27.319935272727,30.310716706055,27.189811953529,-0.130123319198,-3.227392513445e-18,0.356383016156,early_T_le_2,inc_mid_40_60,1.0,True,True,True,-0.13012331919800246,-3.120904752526002
UGC02953,train,candidate,115,32.750190465366,28.930833464991,31.913912984835,-0.836277480532,9.17140759473e-18,0.768950936627,early_T_le_2,inc_mid_40_60,1.0,True,False,False,-0.8362774805310025,2.9830795198440008
UGC03205,train,candidate,48,23.038239432266,20.012369996716,23.837828272848,0.799588840582,5.095750210682e-18,0.608103490612,early_T_le_2,inc_high_60_80,1.0,False,False,False,0.7995888405820004,3.825458276132
UGC03546,train,candidate,30,31.14467942712,32.993351028251,26.254742513059,-4.889936914061,2.4054832200210003e-17,0.488492105928,early_T_le_2,inc_mid_40_60,1.0,True,True,True,-4.889936914061,-6.7386085151919985
UGC03580,holdout,candidate,47,25.494526150767,27.172706555031,24.727837618535,-0.766688532232,-1.1220339078660002e-17,0.502959411063,early_T_le_2,inc_high_60_80,1.0,True,True,True,-0.7666885322320027,-2.4448689364960003
UGC04278,train,middle,25,10.395694298729,7.61705006122,10.435728969744,0.040034671015,2.6645352591000003e-17,0.329221115764,late_T_6_8,inc_edge_ge_80,1.0,False,False,False,0.040034671015000356,2.8186789085240003
UGC04305,holdout,candidate,22,23.999621706483,26.588364190715,23.819393175825,-0.180228530658,2.523234146875e-18,0.339252297683,irregular_T_ge_9,inc_mid_40_60,2.0,True,True,True,-0.18022853065800248,-2.7689710148900026
UGC04325,train,middle,8,17.920667735434,16.430046998855,17.945179341176,0.024511605742,-1.3877787807810001e-17,0.062196809118,irregular_T_ge_9,inc_mid_40_60,1.0,False,False,False,0.024511605741999176,1.5151323423209995
UGC04483,train,control,8,3.798705980303,5.284251656234,3.758858663209,-0.039847317095,2.4286128663680002e-17,0.404696596723,irregular_T_ge_9,inc_mid_40_60,2.0,True,True,True,-0.03984731709399991,-1.5253929930249996
UGC04499,holdout,control,9,6.040634191373,8.985021588453,5.944690268967,-0.095943922406,0.0,0.283692673916,late_T_6_8,inc_mid_40_60,1.0,True,True,True,-0.0959439224059997,-3.0403313194859996
UGC05005,train,middle,11,8.667266606702,15.337067833947,8.687523946952,0.020257340251,-1.261617073438e-18,0.49957086436,irregular_T_ge_9,inc_mid_40_60,1.0,False,True,True,0.0202573402499997,-6.649543886995
UGC05253,train,middle,73,15.059172730032,15.801028556046,15.208317437155,0.149144707124,-1.140640093793e-18,0.56452934902,early_T_le_2,inc_low_lt_40,1.0,False,True,True,0.14914470712299988,-0.5927111188910015
UGC05414,holdout,control,6,6.400812634311,8.261884143933,6.369210405077,-0.031602229234,0.0,0.150634574101,irregular_T_ge_9,inc_mid_40_60,1.0,True,True,True,-0.031602229234000134,-1.8926737388560007
UGC05716,holdout,control,12,5.844868825955,5.605647282808,5.759908453055,-0.0849603729,5.782411586589e-18,0.522049498505,irregular_T_ge_9,inc_mid_40_60,1.0,True,False,False,-0.08496037290000036,0.1542611702469996
