scenario,draw,harmonic,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,role_0_pixels,role_1_pixels,role_2_pixels,role_3_pixels,phase_anchor_deg,phase_amplitude,phase_delta_from_baseline_deg,star_clipped_fraction,h2_clipped_fraction,hi_clipped_fraction
star_co_plus_hi_ctl49,18,1,-0.06927058855,0.9960687106,0.04517605014,103,103,107,103,105,3.37069297,0.3332977189,0.04642661907,0.01365964713,0,0
star_co_plus_hi_ctl49,18,2,0.1057488243,0.9948869472,0.04158232618,103,107,104,104,103,86.10963447,0.5514410074,1.412341939,0.01365964713,0,0
star_only,19,1,0.06239938305,0.9800085378,0.03798587584,103,103,107,104,104,10.03726374,0.1697124716,6.712997387,0,0,0
star_only,19,2,0.0667344371,0.9394438649,0.01900173834,103,106,104,105,103,83.88011913,0.5598483268,0.8171734002,0,0,0
co_independent_only,19,1,-0.03451628459,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.007398975526,0
co_independent_only,19,2,0.08135320442,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.007398975526,0
star_plus_co_independent,19,1,0.06768128664,0.9800085378,0.03798587584,103,103,107,104,104,10.03726374,0.1697124716,6.712997387,0,0.007398975526,0
star_plus_co_independent,19,2,0.05689725308,0.9394438649,0.01900173834,103,106,104,105,103,83.88011913,0.5598483268,0.8171734002,0,0.007398975526,0
star_co_plus_hi_ctl49,19,1,0.07230830034,0.9800085378,0.03798587584,103,103,107,104,104,10.03726374,0.1697124716,6.712997387,0,0.007398975526,0
star_co_plus_hi_ctl49,19,2,0.05180406989,0.9394438649,0.01900173834,103,106,104,105,103,83.88011913,0.5598483268,0.8171734002,0,0.007398975526,0
star_only,20,1,-0.0907616527,0.9737738043,0.04183966251,103,103,107,104,104,-3.917687659,0.3745880849,7.24195401,0,0,0
star_only,20,2,0.0960550713,0.9714180341,0.04228758016,102,106,105,105,102,85.09025018,0.5106107489,0.3929576469,0,0,0
co_independent_only,20,1,-0.04186718,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.001138303927,0
co_independent_only,20,2,0.09047887767,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.001138303927,0
star_plus_co_independent,20,1,-0.08975532803,0.9737738043,0.04183966251,103,103,107,104,104,-3.917687659,0.3745880849,7.24195401,0,0.001138303927,0
star_plus_co_independent,20,2,0.09510750785,0.9714180341,0.04228758016,102,106,105,105,102,85.09025018,0.5106107489,0.3929576469,0,0.001138303927,0
star_co_plus_hi_ctl49,20,1,-0.09056750575,0.9737738043,0.04183966251,103,103,107,104,104,-3.917687659,0.3745880849,7.24195401,0,0.001138303927,0
star_co_plus_hi_ctl49,20,2,0.09583821927,0.9714180341,0.04228758016,102,106,105,105,102,85.09025018,0.5106107489,0.3929576469,0,0.001138303927,0
star_only,21,1,0.09366023081,0.9974361892,0.06222006801,104,104,106,104,104,30.17776515,0.2126259438,26.8534988,0,0,0
star_only,21,2,0.07690877035,0.9361112965,0.01710149844,103,104,106,103,105,81.17636338,0.5675434622,3.520929151,0,0,0
co_independent_only,21,1,-0.03740145648,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0.002276607854,0
co_independent_only,21,2,0.08501482045,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0.002276607854,0
star_plus_co_independent,21,1,0.09654845232,0.9974361892,0.06222006801,104,104,106,104,104,30.17776515,0.2126259438,26.8534988,0,0.002276607854,0
star_plus_co_independent,21,2,0.0706113867,0.9361112965,0.01710149844,103,104,106,103,105,81.17636338,0.5675434622,3.520929151,0,0.002276607854,0
star_co_plus_hi_ctl49,21,1,0.1025877254,0.9974361892,0.06222006801,104,104,106,104,104,30.17776515,0.2126259438,26.8534988,0,0.002276607854,0
star_co_plus_hi_ctl49,21,2,0.07301629032,0.9361112965,0.01710149844,103,104,106,103,105,81.17636338,0.5675434622,3.520929151,0,0.002276607854,0
star_only,22,1,-0.04035375525,0.9991440289,0.05594000485,103,103,106,104,105,13.54507805,0.3578812787,10.2208117,0.01422879909,0,0
star_only,22,2,0.1179194808,0.9995492788,0.04131817164,103,106,105,104,103,87.98908935,0.5323417556,3.291796811,0.01422879909,0,0
co_independent_only,22,1,-0.0390699024,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,0,0,0,0
co_independent_only,22,2,0.08618305338,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,0,0,0,0
star_plus_co_independent,22,1,-0.03662057812,0.9991440289,0.05594000485,103,103,106,104,105,13.54507805,0.3578812787,10.2208117,0.01422879909,0,0
star_plus_co_independent,22,2,0.1127277548,0.9995492788,0.04131817164,103,106,105,104,103,87.98908935,0.5323417556,3.291796811,0.01422879909,0,0
