galaxy,split,role,formula_family,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs
NGC7814,train,middle,K_compact_finite,1.0,none,2.0,early_T_le_2,inc_edge_ge_80,2.0,0.045833333333,90.0,1.0,18,0.63,10.075,19.53,0.015600888183379001,0.7613642631753184,0.9906523818811306,1.158884227472834,2.683893177775245,6.004171632896305,3.5262499999999997,19.682342673110696,17.745744951491332,0.08702039968252055,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
PGC51017,train,middle,K_scale_tail_spiral,0.8,few_rotation_points,11.0,irregular_T_ge_9,inc_high_60_80,2.0,0.102941176471,66.0,3.0,6,0.33,1.98,3.63,0.47103021984053256,0.0,0.0,0.6008202302782796,1.6478717653062325,1.1799761620977354,0.693,4.484919849010566,1.98,0.29196359892823964,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC00128,train,middle,K_scale_tail_spiral,1.0,none,8.0,late_T_6_8,inc_mid_40_60,1.0,0.150387596899,57.0,10.0,22,1.25,27.525,53.75,0.4684369560335652,0.0,0.0,-0.21184172412693114,1.9095025414054152,16.403456495828365,9.63375,66.33924319340207,27.525,0.2907966302151044,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC00191,train,control,K_scale_tail_spiral,0.85,large_distance_error,9.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.298245614035,45.0,5.0,9,0.62,1.62,9.98,0.2220592575480998,0.0,0.0,1.4028454459616997,1.9698350930757975,0.9654350417163291,0.567,11.088075695165019,1.62,0.1799266658966449,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC00634,train,middle,K_scale_tail_spiral,0.45000000000000007,few_rotation_points;low_inclination;large_distance_error,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.249190938511,37.0,8.0,4,4.51,11.26,18.01,0.5927174237172269,0.0,0.0,0.27526558841697696,1.0174507295105362,6.710369487485101,3.941,23.347420400573633,11.26,0.3467228406727521,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC01230,train,middle,K_scale_tail_spiral,0.8,low_inclination,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.199255121043,22.0,10.0,11,0.78,8.6,36.54,0.3859051809127289,0.0,0.0,0.6837714953228486,1.9746037920870327,5.125148986889154,3.01,43.59048765527556,8.6,0.253657331410728,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC01281,train,control,K_exponential_disk,1.0,none,8.0,late_T_6_8,inc_edge_ge_80,2.0,0.045540796964,90.0,1.0,23,0.38,2.07,4.99,0.2592500195435606,0.0,0.0,0.7710381677720035,1.3581252852766486,1.233611442193087,0.7244999999999999,5.636828798761185,2.07,0.1966625087946023,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC02455,train,candidate,K_scale_tail_spiral,0.85,large_distance_error,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.300578034682,51.0,5.0,8,0.5,2.2649999999999997,4.03,0.1197814066464496,0.0,0.0,1.7291084695169048,2.5706946829462054,1.3498212157330154,0.7927499999999998,4.271359534392596,2.2649999999999997,0.13390163299090233,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC02487,train,candidate,K_compact_finite,0.8,low_inclination,0.0,early_T_le_2,inc_low_lt_40,1.0,0.150506512301,36.0,5.0,17,9.93,40.19,80.38,0.0469220826874005,0.2923449692729375,0.4814419836235509,0.8804551903770131,2.47158505418519,23.951132300357568,14.066499999999998,82.26579850320661,51.93934431507935,0.10111493720933024,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC02885,train,middle,K_compact_finite,1.0,none,5.0,mid_T_3_5,inc_high_60_80,1.0,0.1,64.0,4.0,19,1.7,38.97,74.07,0.1419975068378878,0.22876226521338835,0.9207044102983484,1.2121110806738777,2.9444481246241314,23.224076281287246,13.639499999999998,79.32887766574117,47.88486547536574,0.1438988780770495,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC02916,train,candidate,K_compact_finite,1.0,none,2.0,early_T_le_2,inc_mid_40_60,1.0,0.149847094801,50.0,5.0,43,0.37,7.39,38.0,0.0650339484862737,0.787891103922754,0.9948031620592326,1.6871637994349673,2.328522305877336,4.404052443384982,2.5864999999999996,39.2356450212392,13.212515257989152,0.10926527681882317,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC02953,train,candidate,K_compact_finite,0.85,large_distance_error,2.0,early_T_le_2,inc_mid_40_60,1.0,0.3,50.0,4.0,115,0.09,6.53,62.39,0.0194886856647377,0.375521929986323,0.984040322108526,2.083668403038652,3.456853202194338,3.891537544696067,2.2855,62.9979495493115,8.98215820281069,0.08876990854913197,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC03205,train,candidate,K_compact_finite,1.0,none,2.0,early_T_le_2,inc_high_60_80,1.0,0.2,67.0,4.0,48,0.28,8.155,40.04,0.0486620668982724,0.3384131866162858,0.9846722417189182,1.7174956086420394,2.7913326821705913,4.85995232419547,2.8542499999999995,41.01421457930341,10.91475953685581,0.10189793010422257,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC03546,train,candidate,K_compact_finite,0.85,large_distance_error,1.0,early_T_le_2,inc_mid_40_60,1.0,0.250871080139,55.0,5.0,30,0.63,4.865,29.23,0.0223565563768014,0.53196324794791,0.9686840234838648,2.260730068183936,3.297066398268137,2.899284862932062,1.70275,29.55674107144695,7.4530012012665825,0.09006045036956063,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC04278,train,middle,K_exponential_disk,0.85,large_distance_error,7.0,late_T_6_8,inc_edge_ge_80,1.0,0.299684542587,90.0,3.0,25,0.14,3.46,6.69,0.081501927705775,0.0,0.0,1.006522396399684,1.899546931090867,2.061978545887962,1.2109999999999999,6.9626239481758185,3.46,0.11667586746759875,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC04325,train,middle,K_scale_tail_spiral,0.85,large_distance_error,9.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.3,41.0,3.0,8,0.7,3.14,5.59,0.2658082396769833,0.0,0.0,1.2463964324159083,1.9416108021536336,1.8712753277711562,1.099,6.332934029897168,3.14,0.1996137078546425,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC04483,train,control,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_mid_40_60,2.0,0.092814371257,58.0,3.0,8,0.08,0.6499999999999999,1.21,0.6143796114939095,0.0,0.0,0.44754807093528176,1.6201360549737576,0.3873659117997616,0.22749999999999995,1.581699664953815,0.6499999999999999,0.3564708251722593,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05005,train,middle,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.199255121043,41.0,10.0,11,0.78,8.6,28.61,0.4038641511795717,0.0,0.0,0.45425792182733193,1.728272597895017,5.125148986889154,3.01,34.38727668262377,8.6,0.26173886803080726,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05253,train,middle,K_compact_finite,0.65,low_inclination;large_distance_error,2.0,early_T_le_2,inc_low_lt_40,1.0,0.249781659389,37.0,4.0,73,0.13,4.69,53.29,0.0255523053950325,0.7295551272670454,0.9982399760067936,2.119760107080481,2.8970880118020093,2.794994040524434,1.6415,53.97084117725064,8.111613546882444,0.09149853742776462,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05721,train,middle,K_scale_tail_spiral,0.85,large_distance_error,7.0,late_T_6_8,inc_high_60_80,1.0,0.299352750809,61.0,5.0,23,0.09,2.07,6.74,0.39219026548039126,0.0,0.0,0.8235814604913746,2.818173088643144,1.233611442193087,0.7244999999999999,8.06168119466892,2.07,0.2564856194661761,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05750,train,middle,K_exponential_disk,1.0,none,8.0,late_T_6_8,inc_high_60_80,1.0,0.199318568995,64.0,10.0,11,0.31,4.82,22.85,0.3142915344055706,0.0,0.0,0.9530233307792468,1.466274321789292,2.8724672228843864,1.687,26.440780780583648,4.82,0.22143119048250676,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05764,train,middle,K_scale_tail_spiral,0.85,large_distance_error,10.0,irregular_T_ge_9,inc_high_60_80,1.0,0.299866131191,60.0,10.0,10,0.36,1.99,3.62,0.714941119286533,0.0,0.0,0.30493596549909296,1.1702617153949575,1.1859356376638857,0.6965,4.914043425908625,1.99,0.4017235036789399,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05918,train,control,K_scale_tail_spiral,0.85,large_distance_error,10.0,irregular_T_ge_9,inc_mid_40_60,1.0,0.300261096606,46.0,5.0,8,0.56,2.51,4.46,0.4059976350608525,0.0,0.0,0.6642599750759242,1.1264561134318043,1.4958283671036947,0.8784999999999998,5.365374726185701,2.51,0.2626989357773836,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC05999,train,middle,K_scale_tail_spiral,0.6000000000000001,few_rotation_points;low_inclination,10.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.199161425577,22.0,10.0,5,3.48,10.42,16.22,0.5221872403177525,0.0,0.0,0.5439319594868731,1.2678754193188977,6.209773539928486,3.647,20.45493851897697,10.42,0.31498425814298864,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
UGC06399,train,control,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,4.0,0.138888888889,75.0,2.0,9,0.87,4.37,7.85,0.23191946705238178,0.0,0.0,1.1541315069120708,1.7810369386211318,2.6042908224076284,1.5294999999999999,8.760283908180597,4.37,0.1843637601735718,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
