galaxy,n_points,r_median,r_max,mean_gas,mean_bulge,mean_log_sbdisk,peak_sb,mean_abs_rparent,split,role,type_bin,inc_bin,hub_type,formula_family,label_source
NGC1003,36,15.745,30.24,0.4134634055397422,0.0,0.05021327702122619,2.2447964787476224,0.22807997248358505,train,middle,late_T_6_8,inc_high_60_80,6.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC1090,24,15.705,30.09,0.1157557203351142,0.0,1.1905175547260551,3.187641967953542,0.09155779023572493,train,middle,mid_T_3_5,inc_high_60_80,4.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC1705,14,3.115,6.0,0.3380916901906999,0.0,0.22435242117842633,2.709990359852276,0.1804988487572894,train,middle,irregular_T_ge_9,inc_edge_ge_80,11.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2366,26,3.09,6.06,0.5932214289876663,0.0,-0.043928554504358105,1.7134905430939424,0.09908023594193341,train,middle,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2403,73,3.79,20.87,0.2240697473760753,0.0,1.254477272840949,3.043672658161538,0.10789662561534492,train,middle,late_T_6_8,inc_high_60_80,6.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2683,11,17.31,34.62,0.0371166982515088,0.09496838710118838,0.831441692373184,2.8781712312545915,0.13623645395158504,holdout,middle,mid_T_3_5,inc_edge_ge_80,3.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2841,50,13.33,63.64,0.1292219698933915,0.3327677068343596,1.3326522610343003,2.748513625783343,0.18300185115906628,train,candidate,mid_T_3_5,inc_high_60_80,3.0,K_compact_finite,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2903,34,9.120000000000001,24.96,0.0496469477804444,0.0,1.3307327366895614,3.868854188993705,0.19803833758223474,train,candidate,mid_T_3_5,inc_high_60_80,4.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2915,30,5.185,10.04,0.424129996197886,0.0,-0.03810962553270595,2.5184481326981416,0.2944585202457116,train,candidate,irregular_T_ge_9,inc_mid_40_60,11.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2955,24,9.035,35.43,0.0550017614935728,0.4673226415945107,2.134365859482458,3.1435799525277397,0.1937154022841103,train,middle,mid_T_3_5,inc_mid_40_60,3.0,K_compact_finite,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2976,27,1.01,2.27,0.1027653613566688,0.0,2.30167128980786,2.603404221739564,0.020324169858819078,train,control,mid_T_3_5,inc_high_60_80,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC2998,13,12.5,42.28,0.1083132521731512,0.0,1.6922306830143974,3.316031184383639,0.1040549557164323,train,candidate,mid_T_3_5,inc_mid_40_60,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC3109,25,3.35,6.45,0.6611396570013207,0.0,0.30839211635486125,1.0232524596337116,0.08178940655068993,train,middle,irregular_T_ge_9,inc_high_60_80,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC3198,43,7.06,44.08,0.1492655314504896,0.0,1.2650109711054893,3.035397715291015,0.11167005437604022,train,control,mid_T_3_5,inc_high_60_80,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC3521,41,3.95,17.74,0.0168386498903978,0.0,2.5195889276611987,3.74763239520684,0.08529924953619539,train,control,mid_T_3_5,inc_high_60_80,4.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC3726,12,13.065,32.52,0.1226403651218742,0.0,1.1557074911807586,2.565788807262067,0.08296523816320961,holdout,candidate,mid_T_3_5,inc_mid_40_60,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC3741,21,2.57,7.0,0.7272761755685594,0.0,-0.24253971986880193,1.5554572172046497,0.34274739502221785,train,middle,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC3769,12,11.39,37.16,0.2583620174278137,0.0,0.859274475859463,2.560086048497414,0.12882476751365818,train,middle,mid_T_3_5,inc_high_60_80,3.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
