line,velocity_km_s,channel_index_zero_based,held_path,lambda,fractional_squared_residual_improvement,model_rss,background_plane_rss
CO87,134.00000055459282,54,0,1.0,0.04096532103042749,7.043356681361073e-06,7.3442147982894155e-06
CO87,134.00000055459282,54,1,1.0,0.11678321525474245,7.500332100176194e-06,8.492062458187411e-06
CO87,134.00000055459282,54,2,1.0,0.015149243522605715,6.551302556698756e-06,6.6520764832748865e-06
CO87,134.00000055459282,54,3,1.0,-0.09166868504668746,9.257762879116569e-06,8.480377797702095e-06
CO87,155.00000055458614,55,0,1.0,-0.024277568204814193,6.667045333749453e-06,6.509022105633297e-06
CO87,155.00000055458614,55,1,1.0,0.08228030785547391,7.110449167738971e-06,7.747953137110181e-06
CO87,155.00000055458614,55,2,1.0,0.08367799084485184,6.2211733023839615e-06,6.789287215877204e-06
CO87,155.00000055458614,55,3,1.0,-0.01633898963171232,9.569048072415675e-06,9.41521300475069e-06
CO87,176.00000055457943,56,0,1.0,-0.05035863412660446,5.514994007790363e-06,5.250581876138142e-06
CO87,176.00000055457943,56,1,1.0,0.03239438734427147,6.08150876896634e-06,6.28511109218847e-06
CO87,176.00000055457943,56,2,1.0,0.04336859670626636,6.749451510306207e-06,7.055435862828128e-06
CO87,176.00000055457943,56,3,1.0,-0.0024416209705089287,7.637385326047174e-06,7.618783145349729e-06
CO87,197.00000055457272,57,0,1.0,-0.0032239208706266176,5.365181820110158e-06,5.3479404831715924e-06
CO87,197.00000055457272,57,1,1.0,-0.0394910620695228,6.622340546533195e-06,6.370752754091773e-06
CO87,197.00000055457272,57,2,1.0,0.03492750083935103,6.595535259159101e-06,6.83423811671706e-06
CO87,197.00000055457272,57,3,1.0,-0.010939318913954166,7.543164023969467e-06,7.46153985985335e-06
