u_active_window,K_projection_current_normalized,K_vertical_outer_warp_current_normalized,K_projection_source_sharpened_normalized,K_vertical_outer_warp_source_sharpened_normalized,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
0.525,0.4318838733875364,0.6049451312969254,0.16730212203105344,0.9977317114325137,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.53,0.43962285384559613,0.6124888977844534,0.1739320689633413,0.9987276195552424,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.535,0.4473999256429164,0.6200017523618433,0.18072762531348796,0.9994364640658807,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.54,0.455213341205934,0.6274821669209564,0.18768914483947347,0.999859963994316,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.545,0.46306131520731547,0.6349286217778699,0.19481682927142877,1.0,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.55,0.4709420247093024,0.6423396055988428,0.20211072397527038,0.9998586125168359,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.555,0.47885360932616794,0.6497136153270605,0.2095707137010298,0.9994379998662497,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.56,0.4867941714057871,0.6570491561101499,0.21719651842324253,0.9987405163377552,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.5650000000000001,0.49476177623031853,0.664344741228454,0.22498768928080204,0.9977686702363382,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.5700000000000001,0.5027544522360002,0.6715988920240595,0.23294360462372338,0.9965251218959936,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.5750000000000001,0.510770191252056,0.6788101378305638,0.24106346617428237,0.9950126816587606,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.58,0.5188069487587171,0.6859770159035767,0.24934629531002214,0.9932343078186197,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.585,0.5268626441643545,0.6930980713519459,0.2577909294761214,0.9911931045296163,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.59,0.5349351611017233,0.7001718570696971,0.2663960187346283,0.9888923196775969,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.595,0.5430223477433221,0.7071969336686812,0.275160022458051,0.9863353427149506,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.6,0.551122017135863,0.7141718694119193,0.28408120617478533,0.983525702457754,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.605,0.5592319475538546,0.7210952401476379,0.2931576385738297,0.9804670648447446,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.61,0.5673498828722987,0.7279656292439841,0.30238718867621034,0.977163230657539,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.615,0.5754735329584977,0.7347816275244153,0.31176752318049045,0.9736181332015352,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.62,0.5836005740829768,0.7415418332037532,0.3212961039896914,0.9698358359469486,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.625,0.5917286493495162,0.7482448518248943,0.33097018592688415,0.9658205301294286,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.63,0.5998553691442987,0.7548892961961716,0.34078681464664934,0.961576532309734,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.635,0.6079783116041679,0.7614737863293554,0.3507428247495101,0.9571082818919331,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.64,0.6160950231040001,0.7679969493782887,0.36083483810636413,0.9524203385996204,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.645,0.6242030187631876,0.7744574195781495,0.37105926239983067,0.9475173799096421,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.65,0.6322997829712365,0.7808538381853309,0.3814122898893255,0.9424041984428336,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.655,0.6403827699324747,0.7871848534179345,0.39188989640655336,0.937085699311287,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.66,0.6484494042298753,0.7934491203968642,0.4024878405879751,0.9315668974216668,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.665,0.6564970814079899,0.799645301087522,0.41320166335067227,0.9258529147341052,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.67,0.6645231685749965,0.8057720642420891,0.42402668761787454,0.9199489774762214,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.675,0.6725250050238583,0.8118280853423939,0.43495801830025993,0.9138604133118075,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.68,0.6804999028725974,0.8178120465433543,0.44599054253896575,0.9075926484637409,False,False,mixed_kernel_sharpening_preflight_not_endpoint
