geometry_variant,stellar_psf_scenario,h2_conversion_factor,harmonic,beam_mode,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,phase_anchor_rad,phase_anchor_deg,phase_amplitude,flux_phase_anchor_deg,phase_estimator_difference_deg
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,1.3,1,1,-0.03029292521,0.9267898042,0.01972371386,3,0.1662974827,9.528143903,0.3133006673,28.39080498,18.86266108
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,1.3,2,0,0.115780148,0.8806866551,0.2095003547,4,1.455027769,83.36695021,0.5144155499,85.35277736,1.985827153
s4g_global_ellipticity_minus_1sigma,psf_0arcsec_primary,1.3,2,1,0.1977385214,0.9998560892,0.01828204442,4,1.455027769,83.36695021,0.5144155499,85.35277736,1.985827153
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,0.7,1,0,0.03722512476,0.9716720306,0.3436989461,3,0.1661298844,9.518541227,0.3133957801,28.41433474,18.89579351
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,0.7,1,1,-0.01419424029,0.92738135,0.01976125601,3,0.1661298844,9.518541227,0.3133957801,28.41433474,18.89579351
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,0.7,2,0,0.0928388948,0.8801862962,0.2098071828,4,1.455036715,83.36746281,0.5141713539,85.35101944,1.983556634
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,0.7,2,1,0.1806641722,0.9998460573,0.01832053562,4,1.455036715,83.36746281,0.5141713539,85.35101944,1.983556634
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,1,1,0,0.02878576048,0.9716720306,0.3436989461,3,0.1661298844,9.518541227,0.3133957801,28.41433474,18.89579351
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,1,1,1,-0.02421782171,0.92738135,0.01976125601,3,0.1661298844,9.518541227,0.3133957801,28.41433474,18.89579351
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,1,2,0,0.1074172154,0.8801862962,0.2098071828,4,1.455036715,83.36746281,0.5141713539,85.35101944,1.983556634
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,1,2,1,0.1914487234,0.9998460573,0.01832053562,4,1.455036715,83.36746281,0.5141713539,85.35101944,1.983556634
s4g_global_ellipticity_minus_1sigma,psf_2arcsec_control,1.3,1,0,0.02444868678,0.9716720306,0.3436989461,3,0.1661298844,9.518541227,0.3133957801,28.41433474,18.89579351
