galaxy,split,source_family,endpoint_blind,retrospective_lock,sparc_t_type,log_distance_mpc,inclination_deg,log_l36,log_reff_kpc,log_sbeff,log_rdisk_kpc,log_sbdisk,log_mhi,log_rhi_kpc,log_s4g_scale_to_sparc_rdisk,s4g_bar_present,s4g_bar_to_disk_scale,s4g_component_bulge,s4g_component_disk,s4g_component_edge_disk,s4g_component_nucleus,s4g_component_bar,s4g_model_quality,s4g_global_sersic_n,s4g_global_axis_ratio_q,s4g_global_ellipticity,log_s4g_global_re_to_disk_scale,s4g_global_tmag,log_rhi_kpc__missing,s4g_bar_to_disk_scale__missing,s4g_global_sersic_n__missing,s4g_global_axis_ratio_q__missing,log_s4g_global_re_to_disk_scale__missing,s4g_global_tmag__missing,asymmetry_3p6,asymmetry_error_3p6,asymmetry_4p5,asymmetry_error_4p5,fold
UGC06628,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.714694743820879,20.0,1.3188181959949767,1.4206957878372228,3.5478917608129588,1.0367368849500225,4.634728988229636,0.4054651081081644,2.3485140248824456,-0.0506093808933349,1,0.689787028008025,0,1,0,0,1,5.0,1.293,0.958,0.092,0.5281514788606068,12.71,0,0,0,0,0,0,0.25,0.0099999997764825,0.1800000071525573,0.0199999995529651,4
UGC06667,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,6.0,2.8903717578961645,89.0,0.3343270802748248,1.252762968495368,2.893699547988839,1.6389967146756448,6.421524702071527,-0.2119563619236453,2.150598735996164,-1.7178765326005057,0,,0,0,1,0,0,4.0,1.469,0.128,0.853,1.638107024573015,13.34,0,1,0,0,0,0,0.2300000041723251,0.0299999993294477,0.1500000059604644,0.0199999995529651,3
UGC06818,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.8903717578961645,75.0,0.462475362824944,0.7514160886839212,4.0267792427263345,0.3293037471426003,5.657075139890874,0.0760346862759975,1.9401794743463283,0.052689786528127,0,,0,1,0,0,0,5.0,1.157,0.413,0.627,0.5402860649537956,14.17,0,1,0,0,0,0,0.2599999904632568,0.0099999997764825,0.1899999976158142,0.0199999995529651,0
UGC06917,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.8903717578961645,56.0,1.9216174564862687,1.5085119938441398,3.971611796839804,1.0152306797290584,5.564941774473782,0.7045815581856085,2.5392369943330477,0.0696892799618453,1,0.6711884497580969,0,1,0,0,1,5.0,1.401,0.541,0.419,0.6040693866705812,12.53,0,0,0,0,0,0,0.5199999809265137,0.0399999991059303,0.7200000286102295,0.0199999995529651,3
UGC06930,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,7.0,2.8903717578961645,32.0,2.1896403339779114,1.4770487243883548,4.3031186995690085,1.3711807233098423,5.242593217775675,1.1746469749441073,2.818995095053937,-0.3850568293289661,1,0.6803385444557839,0,1,0,0,1,5.0,1.645,0.806,0.159,0.6387996327408492,12.04,0,0,0,0,0,0,0.1800000071525573,0.0199999995529651,0.1599999964237213,0.0199999995529651,1
UGC06983,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,6.0,2.8903717578961645,49.0,1.667329390849878,1.3737155789130306,3.980802520822971,1.1662709371419244,4.8004902285677025,1.0875513413086848,2.776954179749421,-0.0223756374445447,1,0.7353349976456416,0,1,0,0,1,5.0,2.924,0.506,0.337,1.193829760424181,12.29,0,0,0,0,0,0,0.2300000041723251,0.0099999997764825,0.1299999952316284,0.0199999995529651,2
UGC07089,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,8.0,2.8903717578961645,80.0,1.2767584740515836,1.3609765531356006,3.6216707044204863,0.8153648132841944,6.255730847711197,0.1939206926373065,2.2289385528257473,-0.4109911258782184,0,,0,0,1,0,0,4.0,0.991,0.223,0.768,1.0588089902218158,13.3,0,1,0,0,0,0,0.2800000011920929,0.0199999995529651,0.1599999964237213,0.0299999993294477,0
UGC07125,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.9856819377004897,90.0,0.9976863700781492,1.366091653802371,3.3361253849184407,1.2178757094949273,4.634728988229636,1.5323408620491334,3.1372318358276905,-0.4022297335716092,0,,0,1,0,0,0,5.0,1.276,0.314,0.687,0.649312901105729,13.86,0,1,0,0,0,0,0.1899999976158142,0.0199999995529651,0.1299999952316284,0.0299999993294477,0
UGC07559,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,1.603419840108537,61.0,-2.216407396752994,-0.0202027073175194,2.884800712846709,-0.5447271754416722,4.008423499714461,-1.7778565640590636,1.324418957401803,0.3602343541799889,0,,0,1,0,0,0,5.0,1.071,0.6,0.404,0.5388275019515988,14.02,0,1,0,0,0,0,0.8899999856948853,0.0099999997764825,0.9900000095367432,0.0,0
UGC07577,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,0.9516578757114464,63.0,-3.101092789211817,-0.2613647641344075,2.479894107964456,-0.1053605156578262,3.99911771227908,-3.123565645063876,0.7275486072772777,-0.1985118300601156,0,,0,1,0,0,0,5.0,0.733,0.491,0.515,0.3822262543874527,12.82,0,1,0,0,0,0,0.5099999904632568,0.0099999997764825,0.4300000071525574,0.0099999997764825,0
UGC07608,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,2.105352923464337,25.0,-1.3318061758358208,0.4700036292457356,2.8021475244813256,0.4054651081081644,3.8426729272933526,-0.6254885320861304,1.9065751436566365,-0.4950849476789823,0,,0,1,0,0,0,5.0,1.571,0.807,0.167,0.8151298033639801,14.24,0,1,0,0,0,0,0.4699999988079071,0.0099999997764825,0.4000000059604645,0.0199999995529651,0
UGC07690,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,2.0930978681273213,41.0,-0.1531511794941747,-0.1508228897345836,5.214990103958283,-0.5621189181535413,5.979417269197306,-0.941608539858445,1.7047480922384253,0.3996738874663625,0,,0,1,0,0,0,5.0,1.188,0.864,0.234,0.0931212194191548,13.24,0,1,0,0,0,0,0.25,0.050000000745058,0.209999993443489,0.0199999995529651,0
UGC08837,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,1.9754689512968575,80.0,-0.6911491778972723,0.8109302162163288,2.7555697170701863,0.5423242908253617,4.349245145149502,-1.1394342831883648,1.55814461804655,0.1109523850395746,0,,0,1,0,0,0,5.0,1.014,0.311,0.723,0.4551383287351574,13.31,0,1,0,0,0,0,0.6899999976158142,0.0099999997764825,0.4399999976158142,0.0199999995529651,0
UGC09992,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,10.0,2.3702437414678603,30.0,-1.0906441190189329,0.4824261492442928,3.004692014925463,0.0392207131532813,4.293878247897177,-1.14570389620196,1.6956156086751528,-0.2715939552657715,0,,0,1,0,0,0,5.0,0.86,0.62,0.38,0.4577396138359147,15.17,0,1,0,0,0,0,0.4799999892711639,0.0700000002980232,0.4699999988079071,0.0099999997764825,3
UGC10310,holdout,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.7212954278522306,34.0,0.554459660786052,1.1378330018213911,3.34533224882076,0.5877866649021191,5.067582574538005,0.1789826555284399,2.259677591982769,0.2068768704799696,0,,0,1,0,0,0,5.0,1.063,0.608,0.5,0.4584103578259542,13.75,0,1,0,0,0,0,0.8299999833106995,0.0399999991059303,1.0,0.0,0
UGC12732,train,S4G_2014_ROTATIONAL_STELLAR_ASYMMETRY,True,True,9.0,2.580216829592325,39.0,0.511025603768657,1.1378330018213911,3.289893312103481,0.6830968447064438,4.791317747615575,1.297463147413275,2.8570447537800976,0.1882911057681707,1,1.1847390042240498,0,1,0,0,1,5.0,1.483,0.714,0.325,0.526604141615964,13.16,0,0,0,0,0,0,0.4099999964237213,0.0099999997764825,0.4399999976158142,0.0199999995529651,4
