galaxy,split,n_points,rmse_tau_source_normalized_l2,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_l2_weight_intake,source_norm_minus_old_l2_intake,source_norm_minus_tpg_v6,source_norm_minus_mond,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond
NGC0247,train,26,4.644726565792979,3.866312004062215,5.475417572666649,tau_side_source_normalization_formula_conditional_not_validation,4.632925839593893,0.011800726199085787,0.7784145617307638,-0.8306910068736704,False,False,True
NGC0289,train,28,17.84069255435745,13.44827134683854,23.595309185371484,tau_side_source_normalization_formula_conditional_not_validation,13.01907117049023,4.821621383867219,4.392421207518909,-5.754616631014034,False,False,True
NGC0300,train,25,8.81638797940889,9.83189803567648,5.607034629923943,tau_side_source_normalization_formula_conditional_not_validation,9.176325389390442,-0.3599374099815513,-1.0155100562675887,3.2093533494849478,True,True,False
NGC0801,train,13,43.906528636075365,31.348134413644825,35.306528941160416,tau_side_source_normalization_formula_conditional_not_validation,31.515891501543543,12.390637134531822,12.55839422243054,8.599999694914949,False,False,False
NGC0891,train,18,42.01996522982427,29.637636010909365,32.67571266789567,tau_side_source_normalization_formula_conditional_not_validation,31.76658393864167,10.253381291182603,12.382329218914908,9.344252561928606,False,False,False
NGC1003,train,36,9.515205300270976,11.228797331872782,8.233924992844548,tau_side_source_normalization_formula_conditional_not_validation,11.250705560607548,-1.735500260336572,-1.7135920316018058,1.281280307426428,True,True,False
NGC1090,train,24,20.91670306413508,15.259685358845738,18.764009439287914,tau_side_source_normalization_formula_conditional_not_validation,17.324246875179945,3.5924561889551363,5.657017705289343,2.152693624847167,False,False,False
NGC1705,train,14,19.934776532628323,20.59864390810048,16.95201559286103,tau_side_source_normalization_formula_conditional_not_validation,28.548680919648444,-8.61390438702012,-0.663867375472158,2.9827609397672923,True,True,False
NGC2366,train,26,9.013895066241401,8.175530891777854,11.387781875806942,tau_side_source_normalization_formula_conditional_not_validation,8.82073886305878,0.19315620318262106,0.8383641744635479,-2.3738868095655405,False,False,True
NGC2403,train,73,8.914510342229564,9.860995949284607,6.239762201686606,tau_side_source_normalization_formula_conditional_not_validation,20.3190708946828,-11.404560552453235,-0.9464856070550436,2.674748140542958,True,True,False
NGC2841,train,50,50.027357504591215,59.09007494417434,53.02346081870857,tau_side_source_normalization_formula_conditional_not_validation,58.21815690965729,-8.190799405066073,-9.062717439583125,-2.996103314117356,True,True,True
NGC2903,train,34,24.99168285585633,24.362146162225375,24.96300377208502,tau_side_source_normalization_formula_conditional_not_validation,24.29517547044317,0.6965073854131596,0.6295366936309534,0.028679083771308456,False,False,False
NGC2915,train,30,23.893800159374923,26.00786566771677,20.629433034344654,tau_side_source_normalization_formula_conditional_not_validation,12.52400361934126,11.369796540033663,-2.1140655083418487,3.264367125030269,False,True,False
NGC2955,train,24,39.56646540547975,19.782113998497127,23.273161362253415,tau_side_source_normalization_formula_conditional_not_validation,20.33458377501467,19.231881630465075,19.78435140698262,16.293304043226332,False,False,False
