galaxy,split,predeclared_formula_family,rotation_inferred_family,rotation_inferred_best_rmse,rotation_inferred_margin_to_second,rotation_inferred_confidence,predeclared_family_rank_by_rotation,matches_predeclared_family,rmse_tpg_v6,rmse_mond,rotation_inferred_beats_tpg_v6,rotation_inferred_beats_mond,claim_boundary,manifest_confidence,manifest_caveat,type_bin,inclination_deg,distance_frac_error,external_family_label,external_family_label_status,narrow_dry_run_lane,matches_external_expdisk_label
NGC0100,train,K_exponential_disk,K_scale_tail_spiral,7.095648589444358,1.0026032060994714,MEDIUM,3,False,7.537919334963079,6.061732881040405,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,late_T_6_8,89.0,0.3,K_exponential_disk,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_EDGEON,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,False
NGC0247,train,K_exponential_disk,K_scale_tail_spiral,3.891023604550918,0.7656179906500422,MEDIUM,3,False,3.866312004062215,5.475417572666649,False,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,74.0,0.051351351351,K_exponential_disk,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_BAR,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,False
NGC0289,train,K_thick_flared,K_exponential_disk,9.523175652382012,1.7341252068414477,MEDIUM,2,False,13.44827134683854,23.595309185371484,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.75,large_distance_error;vertical_geometry_proxy_only,mid_T_3_5,46.0,0.25,,,,False
NGC0300,train,K_exponential_disk,K_scale_tail_spiral,7.848918182292735,3.6502312600954205,HIGH,3,False,9.83189803567648,5.607034629923943,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,42.0,0.048076923077,K_exponential_disk,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_STRONG,STRICT_NARROW_DRY_RUN_READY_CANDIDATE,False
NGC0801,train,K_thick_flared,K_exponential_disk,29.35024892705091,0.9879766843570224,LOW,2,False,31.348134413644825,35.306528941160416,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,80.0,0.1,,,,False
NGC0891,train,K_compact_finite,K_exponential_disk,28.645013847451914,0.515659281352093,LOW,4,False,29.637636010909365,32.67571266789567,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,mid_T_3_5,90.0,0.050454086781,,,,False
NGC1003,train,K_scale_tail_spiral,K_scale_tail_spiral,10.239711077957573,3.334275741162548,HIGH,1,True,11.228797331872782,8.233924992844548,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,late_T_6_8,67.0,0.3,,,,False
NGC1090,train,K_thick_flared,K_exponential_disk,12.269448118297996,1.4964787838148688,MEDIUM,2,False,15.259685358845738,18.76400943928791,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.75,large_distance_error;vertical_geometry_proxy_only,mid_T_3_5,64.0,0.25,,,,False
NGC1705,train,K_scale_tail_spiral,K_scale_tail_spiral,17.353386930958422,4.518882566843665,HIGH,1,True,20.59864390810048,16.95201559286103,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,80.0,0.050610820244,,,,False
NGC2366,train,K_scale_tail_spiral,K_exponential_disk,5.796668737637561,1.40482935101494,MEDIUM,3,False,8.175530891777854,11.387781875806942,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,68.0,0.048929663609,,,,False
NGC2403,train,K_exponential_disk,K_scale_tail_spiral,8.411832353703565,1.8096158566284277,MEDIUM,3,False,9.860995949284607,6.239762201686606,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,63.0,0.050632911392,,,,False
NGC2841,train,K_compact_finite,K_compact_finite,54.87724264138518,3.405111409716959,LOW,1,True,59.09007494417434,53.02346081870857,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,mid_T_3_5,76.0,0.099290780142,,,,False
NGC2903,train,K_thick_flared,K_scale_tail_spiral,24.272898417962764,0.20056482466821635,LOW,2,False,24.362146162225375,24.96300377208502,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.75,large_distance_error;vertical_geometry_proxy_only,mid_T_3_5,66.0,0.3,,,,False
NGC2915,train,K_scale_tail_spiral,K_scale_tail_spiral,23.036865971923184,4.859446681401895,MEDIUM,1,True,26.00786566771677,20.629433034344657,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,56.0,0.049261083744,,,,False
NGC2955,train,K_compact_finite,K_exponential_disk,18.80621135174853,0.4956561311916552,LOW,4,False,19.782113998497127,23.273161362253415,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,mid_T_3_5,56.0,0.100102145046,,,,False
NGC2976,train,K_thick_flared,K_exponential_disk,4.398913309107924,0.3928935485976899,LOW,2,False,5.11693008193194,5.678104979086942,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,61.0,0.050279329609,,,,False
NGC2998,train,K_thick_flared,K_thick_flared,27.16527082415665,0.007304518150359485,LOW,1,True,27.11504519134483,27.07347466768693,False,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,58.0,0.149779735683,,,,False
NGC3109,train,K_scale_tail_spiral,K_scale_tail_spiral,6.272043335416706,4.372857447602623,HIGH,1,True,9.323880057063088,5.041785679362137,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,70.0,0.052631578947,,,,False
