galaxy,formula_family,manifest_confidence,manifest_caveat,inclination_deg,distance_frac_error,scale_radius_kpc,tail_inner_radius_kpc,tail_cutoff_radius_kpc,compact_support_radius_kpc,thickness_h_over_rs,ring_radius_kpc,bar_m2_strength,lopsided_m1_strength,observable_provenance,proxy_formula_family_for_scope,proxy_manifest_caveat_for_scope,source_dataset,measurement_method,pre_scoring_timestamp,residual_blind_certification,accepted_source_status
UGC05005,,,,41.0,0.199255121043,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05253,,,,37.0,0.249781659389,,,,,,,,,,K_compact_finite,low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05721,,,,61.0,0.299352750809,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05750,,,,64.0,0.199318568995,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05764,,,,60.0,0.299866131191,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05918,,,,46.0,0.300261096606,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC05999,,,,22.0,0.199161425577,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06399,,,,75.0,0.138888888889,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06446,,,,51.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06614,,,,36.0,0.1,,,,,,,,,,K_compact_finite,low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06628,,,,20.0,0.3,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06667,,,,89.0,0.138888888889,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06786,,,,64.0,0.249829351536,,,,,,,,,,K_compact_finite,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06787,,,,66.0,0.249765258216,,,,,,,,,,K_compact_finite,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06923,,,,65.0,0.138888888889,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06930,,,,32.0,0.138888888889,,,,,,,,,,K_exponential_disk,low_inclination,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC06973,,,,71.0,0.138888888889,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07089,,,,80.0,0.138888888889,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07125,,,,90.0,0.29797979798,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07232,,,,59.0,0.060070671378,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07323,,,,47.0,0.3,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07399,,,,55.0,0.300118623962,,,,,,,,,,K_exponential_disk,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07524,,,,46.0,0.050632911392,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07559,,,,61.0,0.050301810865,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07608,,,,25.0,0.299634591961,,,,,,,,,,K_scale_tail_spiral,low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07690,,,,41.0,0.299630086313,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC07866,,,,44.0,0.050328227571,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC08286,,,,90.0,0.032307692308,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC08490,,,,50.0,0.113978494624,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC08550,,,,90.0,0.298507462687,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC08837,,,,80.0,0.049930651872,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC09037,,,,65.0,0.1004784689,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC09133,,,,53.0,0.199649737303,,,,,,,,,,K_compact_finite,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC09992,,,,30.0,0.3,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC10310,,,,34.0,0.302631578947,,,,,,,,,,K_scale_tail_spiral,few_rotation_points;low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC11455,,,,90.0,0.150127226463,,,,,,,,,,K_exponential_disk,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC11557,,,,30.0,0.25,,,,,,,,,,K_exponential_disk,low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC11820,,,,45.0,0.3,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC12632,,,,46.0,0.299897645855,,,,,,,,,,K_scale_tail_spiral,large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGC12732,,,,39.0,0.30303030303,,,,,,,,,,K_scale_tail_spiral,low_inclination;large_distance_error,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGCA281,,,,67.0,0.049295774648,,,,,,,,,,K_scale_tail_spiral,few_rotation_points,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
UGCA442,,,,64.0,0.050574712644,,,,,,,,,,K_scale_tail_spiral,none,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED,TO_BE_FILLED
