galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
UGC05829,holdout,K_scale_tail_spiral,11,6.222677845510406,8.606905396927852,7.312568306607925,6.185228709022833,K_thick_flared,4,6.286190219479377,7.312568306607925,6.348488130411201,5.921007777177919,1.1273395975850917,1.0898904610975189,-1.2943370903199272,False,False,True
UGC05986,holdout,K_scale_tail_spiral,15,17.532159853325275,15.059299363743824,15.873053939223789,17.840568697730536,K_scale_tail_spiral,1,16.63921458295564,15.873053939223789,17.19907479878262,19.68341671145335,-1.9675147585067467,-1.6591059141014863,0.8137545754799653,True,True,False
UGC06818,holdout,K_scale_tail_spiral,8,12.386120759877572,13.66362183441789,13.212999015822637,12.562464157111043,K_thick_flared,3,13.93962088411904,13.212999015822637,12.599043513846446,11.148728073367637,0.6505348587115947,0.8268782559450649,-0.450622818595253,False,False,True
UGC06917,holdout,K_scale_tail_spiral,11,6.430936477869006,4.61507933369384,5.079792242889314,6.737492136802036,K_scale_tail_spiral,1,5.580872035912045,5.079792242889314,6.117464378167849,8.514139996326215,-1.6576998939127217,-1.3511442349796914,0.46471290919547403,True,True,False
UGC06983,holdout,K_scale_tail_spiral,17,11.036839059186455,9.148970751386091,9.810976837468916,11.225973538019781,K_compact_finite,2,9.748458442685969,9.810976837468916,10.742865960934441,13.186596210438932,-1.4149967005508657,-1.2258622217175397,0.6620060860828243,True,True,False
UGC07151,holdout,K_exponential_disk,11,4.3119123214161394,5.615951252005322,4.460785166681191,4.845160138686164,K_thick_flared,2,5.228932472024772,5.401134654755592,4.460785166681191,3.9054132892781284,-0.3843749720049727,0.14887284526505162,-1.1551660853241312,True,False,True
UGC07261,holdout,K_exponential_disk,7,4.296839337715027,4.6168185611277694,4.164037874800785,4.315538513675688,K_compact_finite,3,2.9934537028410095,4.127921709252249,4.164037874800785,5.825240128933805,-0.15150063887490273,-0.13280146291424177,-0.4527806863269843,True,True,True
UGC07577,holdout,K_scale_tail_spiral,9,10.601721967205515,13.125766123408509,12.290331426452902,10.42233281354934,K_thick_flared,4,11.864601692851645,12.290331426452902,10.950063329537247,8.452333418259128,1.8679986129035608,1.6886094592473864,-0.8354346969556072,False,False,True
UGC07603,holdout,K_exponential_disk,12,9.318897295784359,6.8156573361002755,9.020609256577716,9.337184474655905,K_scale_tail_spiral,3,8.834052135187239,7.6869306133648925,9.020609256577716,11.490570675415578,-0.31657521807818867,-0.2982880392066427,2.2049519204774404,True,True,False
UGC08699,holdout,K_compact_finite,41,15.184307759904634,13.478161966003247,15.371184108905187,15.209608026496538,K_scale_tail_spiral,3,15.371184108905187,14.157459477730594,14.997712746598173,16.473651855160846,0.16157608240864896,0.18687634900055272,1.8930221429019394,False,False,False
UGC11914,holdout,K_compact_finite,65,33.820143068839116,30.19760108867859,31.449766764229725,33.9003915710469,K_compact_finite,1,31.449766764229725,32.32074496857863,33.4921964377363,35.888233306825775,-2.450624806817178,-2.3703763046093904,1.2521656755511366,True,True,False
