galaxy,split,formula_family,n_points,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
UGC08699,holdout,K_compact_finite,41,18.651452276626262,32.583167911043574,57.25812439420853,15.184307759904634,13.478161966003247,-13.931715634417312,-38.606672117582264,3.4671445167216284,5.173290310623015,18.651452276626262,39.91317036375587,31.524414454420835,26.311918914954028
UGC11914,holdout,K_compact_finite,65,30.824011249220515,43.63379383132145,53.5297580784848,33.820143068839116,30.19760108867859,-12.809782582100933,-22.70574682926428,-2.9961318196186006,0.6264101605419263,30.824011249220515,44.40990359739011,44.30435531724017,42.18712257933408
UGC12506,holdout,K_exponential_disk,31,43.068714970912204,76.89707068293602,116.02345816251234,40.697842583379504,38.12269540109571,-33.828355712023814,-72.95474319160013,2.3708723875326996,4.946019569816492,89.75617732718057,102.79790445174842,43.068714970912204,38.13713026987903
UGCA444,holdout,K_scale_tail_spiral,36,19.30039351821865,119.51628814492229,14.471300240102812,3.0580094444767805,4.92757139254757,-100.21589462670363,4.82909327811584,16.24238407374187,14.372822125671082,343.0086435338778,19.30039351821865,7.392025945249323,8.148194955639767
D512-2,train,K_scale_tail_spiral,4,22.41253340758814,98.87410200798455,17.686144058692637,2.5139498188497846,6.561883790113319,-76.4615686003964,4.726389348895502,19.898583588738354,15.85064961747482,256.86969235136985,22.41253340758814,17.299334266766433,22.45327940581735
D564-8,train,K_scale_tail_spiral,6,29.507695711575614,117.37875993501184,11.653064328205572,3.399294537690645,7.16409055590109,-87.87106422343624,17.85463138337004,26.10840117388497,22.343605155674524,310.48965830309766,29.507695711575614,19.42469992787011,22.221921574067792
D631-7,train,K_scale_tail_spiral,16,8.524861632692655,69.17212031079913,26.330096093973044,10.35809255392164,10.521817679771978,-60.647258678106475,-17.80523446128039,-1.833230921228985,-1.9969560470793226,177.432151492813,8.524861632692655,14.325222933878788,15.758986505705606
DDO064,train,K_scale_tail_spiral,14,23.009325093504756,115.13212104063605,17.940281191340095,2.7332917850477236,3.548332793859171,-92.1227959471313,5.069043902164662,20.276033308457034,19.460992299645586,327.85539549643704,23.009325093504756,7.79789948313576,9.743068142335325
DDO154,train,K_scale_tail_spiral,12,8.267803993501339,76.26143895863702,23.71217692693497,3.544983778635305,4.451832612674567,-67.99363496513567,-15.44437293343363,4.722820214866034,3.815971380826772,203.3819514398573,8.267803993501339,11.51165318851159,13.890712247542172
DDO161,train,K_scale_tail_spiral,31,6.008228648192652,54.42483065522065,23.323029110647877,13.579219703882607,18.569662825271475,-48.416602007028004,-17.314800462455224,-7.570991055689955,-12.561434177078823,115.59225313936881,6.008228648192652,22.404025608855513,25.278213217437635
DDO168,train,K_scale_tail_spiral,10,12.577947408967576,88.23150641579379,21.018874222272622,6.727638673752554,7.879974549733663,-75.65355900682621,-8.440926813305046,5.850308735215022,4.697972859233913,247.25689442321115,12.577947408967576,8.892316619979876,8.545308204190343
