galaxy,split,formula_family,best_family,model_id,prediction_column,r_kpc,vobs_kms,vpred_kms,residual_kms,uses_vobs_for_generation,uses_vobs_for_scoring,validation_claim_allowed,claim_boundary
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,MOND,v_mond,10.23,67.5,82.25827284346786,14.758272843467864,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,0.85,10.3,18.357559983190384,8.057559983190384,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,1.14,12.9,22.620151616515855,9.720151616515855,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,1.42,16.4,26.080131432680297,9.680131432680298,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,1.71,18.6,29.68791425168085,11.08791425168085,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,1.99,19.8,33.23145710734408,13.431457107344077,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,2.28,26.1,35.685601773047665,9.585601773047664,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,2.55,27.7,38.17032421814231,10.470324218142313,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,2.84,29.7,40.17220452253341,10.472204522533413,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,3.13,33.0,41.93535050793638,8.935350507936377,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,3.41,34.8,43.364014197113654,8.564014197113657,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,3.7,35.0,43.87541874959546,8.875418749595461,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,3.98,39.0,44.1657062522309,5.165706252230898,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,4.26,35.9,45.570897232406416,9.670897232406418,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,4.55,40.0,49.09263449164908,9.092634491649079,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,4.84,38.7,52.519195874100035,13.819195874100032,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,5.12,41.8,54.74750557819434,12.947505578194345,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TAU_MATCHED,v_K_scale_tail_spiral,5.41,42.9,55.995843112732544,13.095843112732545,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
