baseline_id,galaxy,split,r_kpc,x_r_over_rmax,v_observed_kms,v_baseline_kms,q_required,u_required_kms,u_predicted_combined_kms,u_predicted_distance_context_kms,u_predicted_morphology_plus_distance_kms,u_predicted_morphology_plus_orientation_kms,u_predicted_morphology_proxy_kms,u_predicted_observer_geometry_kms,u_predicted_orientation_quality_kms,u_predicted_radial_only_kms
mond_fixed,UGC06787,train,32.57,0.875773057273,249,196.803559539,0.000174108681041,52.1964694484,-10.6388246986,-7.88357359292,-5.7417790601,-14.5816945056,-5.41034654932,-15.0067304238,-10.7546466279,-6.65932708969
mond_fixed,UGC06787,train,34.03,0.915030922291,252,196.29456237,0.000185813443415,55.7054689308,-10.8623136504,-8.35692325011,-5.90701858786,-14.6146346403,-5.53694880967,-15.7103389715,-11.2277199411,-7.04343329663
mond_fixed,UGC06787,train,37.19,1,255,194.581100628,0.000201535869012,60.4189335464,-14.0003527017,-9.45408768377,-7.35523386368,-17.7793987995,-6.89606628061,-17.3799458631,-12.418433128,-7.96152610973
mond_fixed,UGC06818,holdout,0.87,0.124641833811,23.4,36.4039293341,-4.33764396618e-05,-13.0039294655,-5.22549029726,-2.6712920097,-2.81391679194,-6.83259990926,-2.90412320525,-10.0743439194,-9.29300737534,-2.99689647976
mond_fixed,UGC06818,holdout,1.74,0.249283667622,28,51.3585045617,-7.79155857973e-05,-23.3585049827,-5.59387766455,-3.0561216821,-3.21745123402,-6.54074969694,-3.26288705585,-9.77513098787,-8.87731007359,-3.23894359886
mond_fixed,UGC06818,holdout,2.61,0.373925501433,36.7,58.3027212356,-7.2058923468e-05,-21.6027217873,-6.1178664253,-3.57645458195,-3.69630210835,-6.46765096066,-3.68814247532,-9.69518126316,-8.60554140951,-3.5907407846
mond_fixed,UGC06818,holdout,3.5,0.501432664756,47.6,63.7337047208,-5.38162480424e-05,-16.133705281,-6.84693068722,-4.2589382945,-4.2795692826,-6.68695845963,-4.2084906708,-9.85943529601,-8.53788221354,-4.09197135767
mond_fixed,UGC06818,holdout,4.37,0.626074498567,63.3,67.2386910573,-1.31380598109e-05,-3.93869124405,-7.67284558538,-5.08265275874,-4.91938551408,-7.08754763284,-4.77993028175,-10.2792400649,-8.73742025807,-4.74726631862
mond_fixed,UGC06818,holdout,5.24,0.750716332378,71.2,71.597615801,-1.32630362424e-06,-0.397615823564,-8.50829124703,-6.07079804215,-5.55458465914,-7.78903022638,-5.34334881332,-10.9738570921,-9.25898061549,-5.5928601498
mond_fixed,UGC06818,holdout,6.11,0.875358166189,68.1,73.9689749351,-1.95767942393e-05,-5.86897526475,-9.22157076981,-7.23294334808,-6.1554287399,-8.45173082076,-5.86523491627,-11.9616619196,-10.1614764027,-6.65539827293
mond_fixed,UGC06818,holdout,6.98,1,74.4,75.7207325344,-4.40548980443e-06,-1.32073261716,-10.2401984143,-8.57865787988,-6.92637129318,-9.45408322858,-6.55187347279,-13.261030089,-11.5038207366,-7.96152610973
mond_fixed,UGC06917,holdout,1.74,0.166189111748,59.2,63.8763323561,-1.55985663697e-05,-4.67633255325,-1.0933356184,-2.78510334457,-3.0362113201,0.103943959778,-3.13591409723,-0.991325313904,-1.36220385471,-3.06702918007
mond_fixed,UGC06917,holdout,2.61,0.249283667622,71.2,71.219523278,-6.51226491305e-08,-0.0195232790543,-1.43222561173,-3.0561216821,-3.37016701733,-0.122156899602,-3.44398946981,-0.873592629835,-1.1225838862,-3.23894359886
mond_fixed,UGC06917,holdout,3.5,0.334288443171,84.5,78.0235538258,2.16031006702e-05,6.47644665035,-1.82849533206,-3.39570905546,-3.74507986571,-0.427957188551,-3.78944245573,-0.862512401133,-0.94956598223,-3.46534536259
mond_fixed,UGC06917,holdout,4.37,0.417382999045,93.5,85.1741183475,2.77721542694e-05,8.32588239237,-2.44427605494,-3.79149299649,-4.18735583818,-1.1951517079,-4.20182350926,-0.96413200291,-0.868717905302,-3.74410599027
mond_fixed,UGC06917,holdout,5.24,0.500477554919,97.5,90.0759831096,2.47638571927e-05,7.42401761735,-2.96003489527,-4.25323641295,-4.62893516045,-1.73462493505,-4.60954100797,-1.18241091693,-0.892737909325,-4.08761579775
mond_fixed,UGC06917,holdout,6.11,0.583572110793,100,94.2502341772,1.91791563565e-05,5.7497664265,-3.68077304446,-4.78377462433,-5.1663029496,-2.55907008925,-5.11052583572,-1.52279374818,-1.03908173264,-4.5037697248
mond_fixed,UGC06917,holdout,6.98,0.666666666667,101,98.8135993698,7.29304828962e-06,2.18640087306,-4.34489463424,-5.38594295015,-5.6866922132,-3.42335900939,-5.59352808136,-1.99072510162,-1.32520511359,-5.00046271119
mond_fixed,UGC06917,holdout,7.85,0.749761222541,103,101.995741157,3.34984731351e-06,1.00425896004,-5.12853776082,-6.06257670993,-6.27630181882,-4.4424886679,-6.14354584369,-2.59164958223,-1.76856379051,-5.58558969669
mond_fixed,UGC06917,holdout,8.72,0.832855778415,105,104.56309797,1.45734848167e-06,0.436902083483,-5.89229980328,-6.81651122317,-6.88765019806,-5.3808361631,-6.71193956478,-3.33101179499,-2.38661350174,-6.26704562107
mond_fixed,UGC06917,holdout,9.6,0.916905444126,110,108.346624805,5.51506674132e-06,1.65337541441,-6.84959247818,-7.66064572478,-7.57264477289,-6.80174272441,-7.35557880105,-4.22526621737,-3.20730761145,-7.06239287149
mond_fixed,UGC06917,holdout,10.47,1,111,113.065466957,-6.8896571303e-06,-2.06546724587,-7.75083640074,-8.57865787988,-8.23518583861,-8.28642976735,-7.9763541919,-5.25958576148,-4.22961730403,-7.96152610973
mond_fixed,UGC06923,train,0.93,0.18023255814,40.5,54.4024017332,-4.63734217224e-05,-13.902402084,-7.00961450802,-2.826799495,-3.52789542961,-10.0742502015,-3.61151171747,-9.23527613118,-8.60352564929,-3.09299680173
mond_fixed,UGC06923,train,1.94,0.375968992248,53.9,67.7939925897,-4.63453725863e-05,-13.8939931646,-8.15902856912,-3.58616797033,-4.36584627896,-10.5695492816,-4.3728835065,-9.44831583838,-8.42726127942,-3.59757210332
mond_fixed,UGC06923,train,2.87,0.556201550388,73,76.2390890619,-1.08044387914e-05,-3.23908926259,-9.6289144423,-4.60124784982,-5.37163858513,-11.5064199614,-5.29086298445,-10.2191348151,-8.73383501242,-4.35818372018
mond_fixed,UGC06923,train,3.72,0.720930232558,78.4,81.7469211437,-1.11641280265e-05,-3.3469213825,-11.1218361803,-5.81919456133,-6.43621766062,-12.4156165346,-6.26145337888,-11.4541456855,-9.56303465608,-5.37205894632
mond_fixed,UGC06923,train,4.47,0.866279069767,79.3,85.5519691139,-2.0854325784e-05,-6.25196958671,-12.5483860775,-7.14220778359,-7.4470335534,-13.5458678469,-7.183021152,-12.9995639919,-10.8421585923,-6.57009769329
mond_fixed,UGC06923,train,5.16,1,81.1,88.7095726204,-2.53828040971e-05,-7.60957323121,-14.0324579148,-8.57865787988,-8.49261813527,-14.8357913781,-8.14093155083,-14.8248643899,-12.5562420559,-7.96152610973
mond_fixed,UGC06930,train,1.74,0.104756170981,54.7,61.3024593534,-2.20234346281e-05,-6.60245960076,0.747849671299,-2.62179197565,-2.87697482306,4.06743445532,-3.02163707578,2.81961453928,1.83190858509,-2.96665719227
mond_fixed,UGC06930,train,3.5,0.210716435882,85.4,76.5483965501,2.95257731143e-05,8.85160409628,0.350435233419,-2.92301498206,-3.22880414983,3.50532990366,-3.34802346497,2.74296263869,1.79744318493,-3.15356511129
mond_fixed,UGC06930,train,5.24,0.315472606863,93.8,88.8518220677,1.65053464806e-05,4.94817839156,-0.435630943333,-3.31495492222,-3.68096715788,2.10714007893,-3.77313712825,2.44064730995,1.58692582878,-3.41040039314
mond_fixed,UGC06930,train,6.98,0.420228777845,98.7,100.031956258,-4.44292833004e-06,-1.33195640478,-1.41040131738,-3.80619958707,-4.22555725505,0.432247024628,-4.2865653698,1.90214112975,1.16586397758,-3.75475454718
mond_fixed,UGC06930,train,8.72,0.524984948826,103,108.395725899,-1.7998206512e-05,-5.39572656983,-2.30475889353,-4.40242995504,-4.78620271852,-1.00740918526,-4.8104590811,1.11653503356,0.499282499675,-4.20244624306
mond_fixed,UGC06930,train,10.47,0.630343166767,107,115.779538997,-2.92853938621e-05,-8.77954020941,-3.28179662612,-5.11372044375,-5.37772626161,-2.71893736371,-5.36298980871,0.0661554238975,-0.454114936066,-4.77292683341
mond_fixed,UGC06930,train,12.19,0.733895243829,109,121.779922998,-4.26292408376e-05,-12.7799248934,-4.23778237529,-5.92749722234,-5.92153282594,-4.78768843601,-5.86908169619,-1.2312808404,-1.70211611222,-5.46666780146
mond_fixed,UGC06930,train,13.94,0.83925346177,108,124.631711753,-5.54774271897e-05,-16.6317142607,-4.85698080435,-6.87784506215,-6.31889125641,-6.6412992949,-6.22264377482,-2.83197339616,-3.32333101083,-6.32373327785
mond_fixed,UGC06930,train,15.68,0.944009632751,108,123.002325999,-5.00423804152e-05,-15.0023282288,-7.81949978722,-7.95082802705,-7.61718966009,-11.5645791777,-7.4679142041,-4.71506980151,-5.32174231211,-7.34296183726
mond_fixed,UGC06930,train,16.61,1,108,122.403212105,-4.80439512398e-05,-14.4032142342,-8.71818169478,-8.57865787988,-8.13158515155,-12.9872229692,-7.9563632206,-5.84455605161,-6.56002769456,-7.96152610973
mond_fixed,UGC06973,train,1.74,0.221656050955,170,270.879511004,-0.000336498013232,-100.879566499,-13.4147807204,-2.95946917688,-3.98160310369,-17.9735442983,-4.05141246539,-16.8503914846,-15.2713576447,-3.17676108511
mond_fixed,UGC06973,train,2.61,0.332484076433,174,238.971173233,-0.000216720609794,-64.9712043093,-13.5121220208,-3.38782525474,-4.32566520434,-16.8790697945,-4.35770033782,-17.1519239978,-15.3743057494,-3.45995142872
mond_fixed,UGC06973,train,3.5,0.445859872611,170,220.304160969,-0.000167796690881,-50.3041824035,-13.7879312133,-3.94216263783,-4.74589821388,-15.8510755937,-4.730588154,-17.6890225365,-15.6605103542,-3.85413771155
mond_fixed,UGC06973,train,4.37,0.556687898089,170,205.513449855,-0.000118460164286,-35.5134638263,-14.2752455042,-4.60442393269,-5.25977539361,-14.9731005257,-5.19104932126,-18.4507145152,-16.1593215001,-4.36069600966
mond_fixed,UGC06973,train,5.32,0.677707006369,171,196.675675649,-8.5644867421e-05,-25.6756853192,-14.8164563587,-5.47149242129,-5.8713161317,-13.5804369349,-5.7374948702,-19.5650020639,-17.0004499048,-5.07293942081
mond_fixed,UGC06973,train,6.28,0.8,174,190.047289896,-5.3528017091e-05,-16.0472958156,-15.0456054486,-6.50898278203,-6.38740697709,-11.5355360595,-6.1811992433,-21.0073339693,-18.2182493028,-5.98557747468
mond_fixed,UGC06973,train,6.81,0.867515923567,177,186.531620142,-3.17940741746e-05,-9.53162364664,-15.0540859031,-7.15451160351,-6.63749725166,-10.1475016952,-6.38787464449,-21.9461528122,-19.0691866979,-6.58164260435
mond_fixed,UGC06973,train,7.33,0.933757961783,178,183.330968054,-1.77822018126e-05,-5.33096999005,-15.2481749073,-7.84002710065,-6.99069506871,-8.8093184816,-6.69684794933,-22.9693927881,-20.0390643942,-7.23542043584
mond_fixed,UGC06973,train,7.85,1,180,180.666374628,-2.22278730174e-06,-0.666374868801,-15.4032304249,-8.57865787988,-7.3463026463,-7.28145819257,-7.00621700169,-24.0965707824,-21.1515522761,-7.96152610973
mond_fixed,UGC06983,holdout,1.74,0.110969387755,56.9,64.775898835,-2.62711717711e-05,-7.87589915981,0.684367652947,-2.63691615463,-2.45291040713,5.1998390196,-2.56878166787,-0.663655593917,-1.24493749165,-2.97588469497
mond_fixed,UGC06983,holdout,2.61,0.166454081633,87.4,74.1667808891,4.41412708053e-05,13.233220074,0.710970761906,-2.78587484687,-2.58830691732,5.42600217364,-2.69172736471,-0.61178069299,-1.11293792806,-3.06750820544
mond_fixed,UGC06983,holdout,3.5,0.223214285714,92.1,77.0682352149,5.01405741996e-05,15.0317659848,0.696181712957,-2.96474514893,-2.74174301145,5.57191492722,-2.83038707191,-0.608469462357,-1.00308013524,-3.18012977873
mond_fixed,UGC06983,holdout,4.37,0.278698979592,93.5,80.0349874431,4.49144510737e-05,13.4650136871,0.487557015388,-3.16634831073,-2.94032858686,5.30546653712,-3.01366984145,-0.655522861602,-0.925598405254,-3.31108345408
mond_fixed,UGC06983,holdout,5.24,0.334183673469,98.2,84.702494159,4.50228374299e-05,13.4975070992,0.183376746681,-3.39525047262,-3.15365020862,4.74472746761,-3.21288824455,-0.753928367181,-0.882920838959,-3.46503143404
mond_fixed,UGC06983,holdout,6.11,0.389668367347,99.7,87.662695585,4.01521294842e-05,12.037305592,-0.176426302261,-3.65229575399,-3.41488737592,4.22003807517,-3.45649228943,-0.905306923971,-0.880244285298,-3.64432416682
