galaxy,split,n_points,rmse_tau_source_normalized_l2,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_l2_weight_intake,source_norm_minus_old_l2_intake,source_norm_minus_tpg_v6,source_norm_minus_mond,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond
UGC07603,holdout,12,8.677675619144566,9.318897295784359,6.8156573361002755,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,8.654986419079288,0.02268920006527786,-0.6412216766397929,1.8620182830442902,False,True,False
UGC08699,holdout,41,11.026299260424821,15.184307759904634,13.478161966003247,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,14.866158341353142,-3.8398590809283206,-4.158008499479813,-2.451862705578426,True,True,True
UGC11914,holdout,65,22.168960821504196,33.820143068839116,30.19760108867859,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,33.17967170999526,-11.010710888491065,-11.65118224733492,-8.028640267174392,True,True,True
UGC12506,holdout,31,34.52769054649869,40.697842583379504,38.12269540109571,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,40.90589445157975,-6.378203905081058,-6.170152036880815,-3.595004854597022,True,True,True
UGCA444,holdout,36,3.0893555240066735,3.0580094444767805,4.92757139254757,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,3.7481718465386815,-0.6588163225320081,0.03134607952989299,-1.8382158685408965,True,False,True
D512-2,train,4,2.5139498188497846,2.5139498188497846,6.561883790113319,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,54.680307650513306,-52.16635783166352,0.0,-4.047933971263534,True,False,True
D564-8,train,6,3.399294537690645,3.399294537690645,7.16409055590109,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,2.653460866271324,0.7458336714193212,0.0,-3.764796018210445,False,False,True
D631-7,train,16,10.35809255392164,10.35809255392164,10.521817679771978,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,10.51780642966014,-0.15971387573850038,0.0,-0.1637251258503376,True,False,True
DDO064,train,14,3.8809545905130953,2.7332917850477236,3.548332793859171,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,5.443535706033468,-1.5625811155203726,1.1476628054653717,0.3326217966539242,True,False,False
DDO154,train,12,3.4595738369989073,3.544983778635305,4.451832612674567,tau_side_evidence_measure_l2_endpoint_preflight_not_validation,3.3375595690290205,0.12201426796988679,-0.08540994163639759,-0.9922587756756593,False,True,True
