amplitude_policy,galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
family_unconstrained,UGC06818,holdout,K_scale_tail_spiral,8,12.386120759877572,13.66362183441789,13.901550076257113,35.32162467560686,K_exponential_disk,3,83.16113198644662,13.901550076257113,11.039634583678033,11.764107456695935,-21.42007459934975,1.5154293163795405,0.23792824183922257,True,False,False
family_unconstrained,UGC06917,holdout,K_scale_tail_spiral,11,6.430936477869006,4.61507933369384,4.9226251653474105,19.600525137391724,K_scale_tail_spiral,1,41.547896708505554,4.9226251653474105,9.47802256359153,7.775656140078094,-14.677899972044314,-1.5083113125215952,0.3075458316535702,True,True,False
family_unconstrained,UGC06983,holdout,K_scale_tail_spiral,17,11.036839059186455,9.148970751386091,9.70055392147702,17.79810167119724,K_scale_tail_spiral,1,25.8838468118674,9.70055392147702,14.921124192957315,12.589334008767008,-8.09754774972022,-1.3362851377094351,0.5515831700909288,True,True,False
family_unconstrained,UGC07151,holdout,K_exponential_disk,11,4.3119123214161394,5.615951252005322,3.9908842627101606,33.86470871154095,K_exponential_disk,1,91.79811703298999,5.785497618976558,3.9908842627101606,4.010511482656284,-29.87382444883079,-0.32102805870597884,-1.6250669892951617,True,True,True
family_unconstrained,UGC07261,holdout,K_exponential_disk,7,4.296839337715027,4.6168185611277694,5.956232149170297,28.559274204365284,K_scale_tail_spiral,3,76.68857413764968,4.120854225707304,5.956232149170297,4.868394249738871,-22.603042055194987,1.6593928114552705,1.339413588042528,True,False,False
family_unconstrained,UGC07577,holdout,K_scale_tail_spiral,9,10.601721967205515,13.125766123408509,17.124297895456632,86.65882470152344,K_exponential_disk,3,241.67726528740351,17.124297895456632,8.637803104765316,9.66140571240152,-69.53452680606681,6.522575928251117,3.998531772048123,True,False,False
family_unconstrained,UGC07603,holdout,K_exponential_disk,12,9.318897295784359,6.8156573361002755,11.387173267934267,43.54645404226107,K_scale_tail_spiral,3,114.1800641350203,6.228672590646333,11.387173267934267,10.230625401116553,-32.1592807743268,2.068275972149909,4.571515931833992,True,False,False
family_unconstrained,UGC08699,holdout,K_compact_finite,41,15.184307759904634,13.478161966003247,12.627055841271439,15.564539674538162,K_compact_finite,1,12.627055841271439,14.44730639887954,16.457810061382087,15.788502563352862,-2.9374838332667235,-2.5572519186331952,-0.8511061247318086,True,True,True
family_unconstrained,UGC11914,holdout,K_compact_finite,65,33.820143068839116,30.19760108867859,23.229579108902147,33.92652412458708,K_compact_finite,1,23.229579108902147,33.17967170999526,34.46631835058271,34.13358231318327,-10.696945015684935,-10.590563959936969,-6.9680219797764416,True,True,True
family_unconstrained,UGC12506,holdout,K_exponential_disk,31,40.697842583379504,38.12269540109571,44.999238791738094,40.00694648305801,K_compact_finite,4,37.36329931819013,40.148414704738784,44.999238791738094,42.50912542624511,4.992292308680085,4.3013962083585895,6.876543390642382,False,False,False
