galaxy,split,formula_family,n_points,rmse_matched,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
NGC4100,train,K_thick_flared,24,37.645356170261486,4.794386245648511,-28.732412705718097,26.845449962786276,27.77152436294984,43.177304051694726,25.405076355674073,29.970529366470135,37.645356170261486
NGC4138,train,K_compact_finite,7,38.36912569854627,16.713473034019042,-16.764349684113938,28.85392679769589,28.183877703693664,38.36912569854627,16.53525848357102,20.716955117641984,27.714744392368686
NGC4157,train,K_thick_flared,17,11.696648469317605,-2.0589350855230304,-40.919121456246074,-8.519740811910797,-11.78396670936337,22.889466254284258,11.820202848764156,6.5570815614734945,11.696648469317605
NGC4217,train,K_compact_finite,19,45.56884924204777,-15.14675947667454,-2.289658216465753,-6.783342418175501,-9.786714834763643,45.56884924204777,69.16423590597655,62.17994147695955,50.802648773230814
NGC4559,train,K_exponential_disk,32,11.98891315305259,-3.9061865196108148,-27.994226494268727,-3.3963930088120566,-6.996385523301537,20.032620665706126,10.22839426914335,11.98891315305259,17.424284083140734
NGC5005,train,K_compact_finite,18,59.50702199387247,-25.13556087923166,27.369256190245984,47.02527536255171,45.52905617721221,59.50702199387247,95.37788004405866,92.23703900075876,66.31282957449498
NGC5033,train,K_compact_finite,22,58.08676138168623,20.15203287538005,-23.709362421501268,42.94797333435872,42.79078654107778,58.08676138168623,32.60237960464091,35.626682235075116,45.5751236792025
NGC5055,train,K_thick_flared,28,9.544672819770675,-8.557614547500553,-43.931967277160744,-13.760209198762983,-19.94199779245754,26.603595684413104,12.564209687999986,15.139056729400583,9.544672819770675
NGC5371,train,K_thick_flared,19,41.5258399013201,-13.095821081582642,-3.7811058314517894,-0.13988128549583223,-3.3458568721540303,45.06559653067834,61.01714757212204,57.782238845907834,41.5258399013201
NGC5585,train,K_exponential_disk,24,8.470600712940932,-4.610008404498432,-23.21034298819637,0.5604166836932514,0.10534035135580488,19.836748935423227,7.297291850342906,8.470600712940932,12.107786566551956
NGC6015,train,K_exponential_disk,44,31.663071388167843,-6.668940002071466,-33.961561696530204,18.21220595214294,20.840541666600714,45.01982660831963,31.72786016838592,31.663071388167843,38.24834739401237
NGC6195,train,K_compact_finite,23,42.92350940098789,-28.667907756611264,10.457633025479439,10.997470274564158,6.684522862300945,42.92350940098789,79.54644434203418,79.0321585152816,56.195648615481666
NGC6503,train,K_exponential_disk,31,35.237454857678806,-3.6596560602097057,-21.596588723502222,27.700431696027593,30.998334673047914,42.72563433868575,33.23702091257221,35.237454857678806,40.72867750240758
NGC6674,train,K_compact_finite,15,92.74020156529487,15.955665928772433,-26.457397996949297,61.89604291128874,67.36326247167452,92.74020156529487,70.44602927495637,74.74959741352488,85.15798022108605
NGC7793,train,K_exponential_disk,46,16.47542915365024,2.850658156333184,-9.930245175600522,10.753086864164823,10.418595926290122,13.862549029637169,15.804707189087576,16.47542915365024,11.207056773226418
NGC7814,train,K_compact_finite,18,63.571238330687414,43.47928921406928,-10.054213304512494,41.49466435990211,43.56501390322168,63.571238330687414,11.966861213957104,18.458912193844927,29.85007394205235
PGC51017,train,K_scale_tail_spiral,6,9.498337349125483,1.639433576315346,4.748338401963686,-8.89436964119423,-12.087855974012635,7.1519449482509145,9.498337349125483,9.176738485340241,7.2480278848392565
UGC00128,train,K_scale_tail_spiral,22,54.4144290986994,-4.727039646037099,-20.07825254050053,40.43083622187875,42.69989911938434,61.58880701649523,54.4144290986994,55.22081708298939,60.61478213472487
