galaxy,proxy_formula_family_for_scope,sparc_distance_mpc,sparc_rdisk_kpc,sparc_inclination_deg,s4g_match_status,s4g_name,s4g_disk_scale_arcsec,scale_radius_kpc,scale_radius_source,s4g_bar_radius_arcsec,bar_radius_kpc,s4g_model_components,s4g_model_quality_values,candidate_observable_status,observable_provenance,residual_blind_certification,claim_boundary
NGC2976,K_thick_flared,3.58,1.01,61.0,S4G_MATCHED,NGC2976,59.90999984741211,1.0398167379523204,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC2998,K_thick_flared,68.1,6.2,58.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3109,K_scale_tail_spiral,1.33,1.56,70.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3198,K_thick_flared,13.8,3.14,73.0,S4G_MATCHED,NGC3198,53.91999816894531,3.6074756974350737,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3521,K_thick_flared,7.7,2.4,75.0,S4G_MATCHED,NGC3521,39.04999923706055,1.4577606192294683,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3741,K_scale_tail_spiral,3.21,0.2,70.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3769,K_thick_flared,18.0,3.38,70.0,S4G_MATCHED,NGC3769,18.889999389648438,1.64846187677828,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,25.299999237060547,2.207839363280682,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3877,K_thick_flared,18.0,2.53,76.0,S4G_MATCHED,NGC3877,40.060001373291016,3.4958913277542885,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3893,K_thick_flared,18.0,2.38,49.0,S4G_MATCHED,NGC3893,24.40999984741211,2.1301723377859454,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3917,K_exponential_disk,18.0,2.63,79.0,S4G_MATCHED,NGC3917,38.5099983215332,3.360628171466791,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3953,K_thick_flared,18.0,4.89,62.0,S4G_MATCHED,NGC3953,47.56999969482422,4.151261699788311,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,46.93000030517578,4.09541126945029,B;D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC3992,K_thick_flared,23.7,4.96,56.0,S4G_MATCHED,NGC3992,67.18000030517578,7.719031378239964,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,60.0,6.894044069522217,B;D;BAR;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4010,K_exponential_disk,18.0,2.81,89.0,S4G_MATCHED,NGC4010,26.3700008392334,2.3012145303672518,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,Z,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4051,K_thick_flared,18.0,4.65,49.0,S4G_MATCHED,NGC4051,44.75,3.905170533052142,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,60.0,5.23598283761181,B;D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4068,K_scale_tail_spiral,4.37,0.59,44.0,S4G_MATCHED,NGC4068,30.639999389648438,0.6491493822643865,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4085,K_thick_flared,18.0,1.65,82.0,S4G_MATCHED,NGC4085,16.0,1.3962620900298162,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4100,K_thick_flared,18.0,2.15,73.0,S4G_MATCHED,NGC4100,50.20000076293945,4.380772374047512,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4138,K_compact_finite,18.0,1.51,53.0,S4G_MATCHED,NGC4138,15.84000015258789,1.382299482445311,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4157,K_thick_flared,18.0,2.32,82.0,S4G_MATCHED,NGC4157,35.79999923706055,3.124136359862749,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D;N,3,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4217,K_compact_finite,18.0,2.94,86.0,S4G_MATCHED,NGC4217,28.8799991607666,2.520252999266957,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,Z;N,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC4559,K_exponential_disk,9.0,2.1,67.0,S4G_MATCHED,NGC4559,49.400001525878906,2.1554796680624935,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,26.639999389648438,1.162388163318236,D;BAR;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC5005,K_compact_finite,16.9,9.45,68.0,S4G_MATCHED,NGC5005,38.43000030517578,3.148701937592276,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,56.4900016784668,4.628419888813365,B;D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC5033,K_compact_finite,15.7,5.16,66.0,S4G_MATCHED,NGC5033,64.7300033569336,4.9269679911951005,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC5055,K_thick_flared,9.9,3.2,55.0,S4G_MATCHED,NGC5055,14.989999771118164,0.719467664092647,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC5371,K_thick_flared,39.7,7.44,53.0,S4G_MATCHED,NGC5371,35.08000183105469,6.7518777916411965,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC5585,K_exponential_disk,7.06,1.53,51.0,S4G_MATCHED,NGC5585,45.5099983215332,1.5577077456186188,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC6015,K_exponential_disk,17.0,2.3,60.0,S4G_MATCHED,NGC6015,33.52000045776367,2.7626597230842966,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC6195,K_compact_finite,127.8,13.94,62.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC6503,K_exponential_disk,6.26,2.16,74.0,S4G_MATCHED,NGC6503,29.6299991607666,0.899249968469682,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC6674,K_compact_finite,51.2,6.04,54.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC7793,K_exponential_disk,3.61,1.21,47.0,S4G_MATCHED,NGC7793,75.05000305175781,1.3135069498792606,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D;N,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
NGC7814,K_compact_finite,14.4,2.54,90.0,S4G_MATCHED,NGC7814,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,B;D,4,MISSING,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
PGC51017,K_scale_tail_spiral,13.6,0.53,66.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC00128,K_scale_tail_spiral,64.5,5.95,57.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC00191,K_scale_tail_spiral,17.1,1.58,45.0,S4G_MATCHED,UGC00191,19.889999389648438,1.6489418445348862,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,14.039999961853027,1.1639589816386047,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC00634,K_scale_tail_spiral,30.9,2.45,37.0,S4G_MATCHED,UGC00634,18.299999237060547,2.7414732330990277,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC01230,K_scale_tail_spiral,53.7,4.34,22.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC01281,K_exponential_disk,5.27,1.63,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC02455,K_scale_tail_spiral,6.92,0.99,51.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC02487,K_compact_finite,69.1,7.89,36.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC02885,K_compact_finite,80.6,11.4,64.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC02916,K_compact_finite,65.4,6.15,50.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC02953,K_compact_finite,16.5,3.55,50.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC03205,K_compact_finite,50.0,3.19,67.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC03546,K_compact_finite,28.7,3.79,55.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC04278,K_exponential_disk,9.51,2.21,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC04325,K_scale_tail_spiral,9.6,1.86,41.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC04483,K_scale_tail_spiral,3.34,0.18,58.0,S4G_MATCHED,UGC04483,14.770000457763672,0.23916709829069724,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05005,K_scale_tail_spiral,53.7,3.2,41.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05253,K_compact_finite,22.9,8.07,37.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05721,K_scale_tail_spiral,6.18,0.38,61.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05750,K_exponential_disk,58.7,3.46,64.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05764,K_scale_tail_spiral,7.47,1.17,60.0,S4G_MATCHED,UGC05764,18.549999237060547,0.6717983870304816,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05918,K_scale_tail_spiral,7.66,1.66,46.0,S4G_MATCHED,UGC05918,53.27000045776367,1.9782716578501915,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC05999,K_scale_tail_spiral,47.7,3.22,22.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06399,K_scale_tail_spiral,18.0,2.05,75.0,S4G_MATCHED,UGC06399,23.719999313354492,2.069958488548134,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06446,K_scale_tail_spiral,12.0,1.49,51.0,S4G_MATCHED,UGC06446,34.5099983215332,2.007708432639558,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06614,K_compact_finite,88.7,5.1,36.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06628,K_scale_tail_spiral,15.1,2.82,20.0,S4G_MATCHED,UGC06628,36.619998931884766,2.6808328309284652,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,25.260000228881836,1.8492037110324862,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06667,K_scale_tail_spiral,18.0,5.15,89.0,S4G_MATCHED,UGC06667,10.59000015258789,0.9241509841542774,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,Z,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06786,K_compact_finite,29.3,3.6,64.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06787,K_compact_finite,21.3,5.37,66.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06923,K_scale_tail_spiral,18.0,1.44,65.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06930,K_exponential_disk,18.0,3.94,32.0,S4G_MATCHED,UGC06930,30.719999313354492,2.6808231529361786,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,20.899999618530273,1.823867321811965,D;BAR,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC06973,K_compact_finite,18.0,1.07,71.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07089,K_exponential_disk,18.0,2.26,80.0,S4G_MATCHED,UGC07089,17.170000076293945,1.498363762021143,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,Z,4,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07125,K_scale_tail_spiral,19.8,3.38,90.0,S4G_MATCHED,UGC07125,23.549999237060547,2.260635516902038,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07232,K_scale_tail_spiral,2.83,0.29,59.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07323,K_exponential_disk,8.0,2.26,47.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07399,K_exponential_disk,8.43,1.64,55.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07524,K_scale_tail_spiral,4.74,3.46,46.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07559,K_scale_tail_spiral,4.97,0.58,61.0,S4G_MATCHED,UGC07559,34.5099983215332,0.8315259091848837,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07608,K_scale_tail_spiral,8.21,1.5,25.0,S4G_MATCHED,UGC07608,22.969999313354492,0.9142786917927928,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07690,K_scale_tail_spiral,8.11,0.57,41.0,S4G_MATCHED,UGC07690,21.6200008392334,0.8500628163100035,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC07866,K_scale_tail_spiral,4.57,0.61,44.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC08286,K_exponential_disk,6.5,1.05,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC08490,K_scale_tail_spiral,4.65,0.67,50.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC08550,K_scale_tail_spiral,6.7,0.45,90.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC08837,K_scale_tail_spiral,7.21,1.72,80.0,S4G_MATCHED,UGC08837,54.97999954223633,1.9218277298597628,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,D,5,ACQUIRED_S4G_SPARC_DERIVED,SPARC_Lelli2016c.mrt;VizieR_J/ApJS/219/4_S4G_Pipeline4,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
UGC09037,K_exponential_disk,83.6,4.28,65.0,NO_S4G_MATCH,,,,S4G_Pipeline4_disk_scale_arcsec_x_SPARC_distance,,,,,MISSING,SPARC_Lelli2016c.mrt,pre_endpoint_external_catalog_query,candidate_source_observable_not_family_label_validation
