Name,xc,yc,PA,Ell,Rmin,Rmax,Flag,S4G,Simbad,NED,Nf,Comm,Tmag,q,PA1,n,Re,_RA,_DE
PGC036217,485.35,782.22,8.9,0.208,71,82,ok,S4G,Simbad,NED,3,,12.93,0.777,166.75,1.697,39.29,175.14421,-10.08573
PGC036274,276.41,799.06,42.4,0.313,60,67,u,S4G,Simbad,NED,2,,13.06,0.638,52.56,2.502,34.2,175.34333,-6.48111
PGC036551,488.91,784.67,70.4,0.606,48,60,ok,S4G,Simbad,NED,1,,14.09,0.387,72.33,0.991,27.73,176.14677,-3.80101
PGC036643,485.47,785.32,133.7,0.704,76,86,ok,S4G,Simbad,NED,2,,13.42,0.309,138.69,1.766,31.75,176.35907,-10.10289
PGC037238,495.77,781.9,103.4,0.667,52,67,ok,S4G,Simbad,NED,3,,14.0,0.312,96.2,1.478,35.28,178.24917,-4.42667
PGC037373,507.8,787.92,5.1,0.386,52,67,ok,S4G,Simbad,NED,2,,13.46,0.535,172.44,1.919,30.06,178.70668,-16.86455
PGC038250,709.08,699.04,108.7,0.212,18,22,ok,S4G,Simbad,NED,2,,14.42,0.736,69.89,2.35,27.37,181.24539,58.10731
PGC039317,490.01,787.32,102.6,0.732,45,52,ok,S4G,Simbad,NED,1,,15.14,0.25,99.07,0.947,41.41,184.11958,-11.52833
PGC039799,475.84,784.63,41.1,0.628,22,28,u,S4G,Simbad,NED,2,,15.92,0.333,39.67,1.196,23.25,185.08819,0.36668
PGC040408,459.21,779.53,107.3,0.673,18,26,u,S4G,Simbad,NED,1,,14.96,0.289,106.55,1.069,17.14,186.16292,3.99583
PGC040447,736.0,296.0,132.7,0.487,26,31,u,S4G,Simbad,NED,1,,15.63,0.567,128.08,0.986,23.57,186.22458,61.06361
PGC040552,291.62,778.02,57.0,0.774,7,18,z,S4G,Simbad,NED,1,,14.55,0.135,57.34,0.96,9.66,186.39497,45.43161
PGC041725,475.54,774.06,132.9,0.749,48,63,u,S4G,Simbad,NED,1,,14.79,0.231,133.04,0.683,40.57,188.40542,-4.88583
PGC041743,281.49,796.56,94.3,0.517,37,52,ok,S4G,Simbad,NED,2,,14.16,0.554,96.33,1.166,35.24,188.48,-10.67972
PGC041965,472.38,790.27,55.7,0.612,82,97,ok,S4G,Simbad,NED,2,Fit fails,,,,,,188.90417,-7.87806
PGC042068,487.38,775.32,27.2,0.403,60,75,ok,S4G,Simbad,NED,3,,14.08,0.606,33.31,1.674,26.42,189.14562,8.05471
PGC042160,490.52,779.47,115.0,0.251,38,43,ok,S4G,Simbad,NED,1,,14.41,0.508,114.39,0.841,24.28,189.42299,8.55867
PGC042559,486.88,784.39,146.8,0.607,22,31,u,S4G,Simbad,NED,2,,14.18,0.346,145.13,1.378,16.54,190.34555,-3.05806
PGC042868,492.18,769.05,152.9,0.187,105,135,ok,S4G,Simbad,NED,3,,12.42,0.814,160.11,1.249,53.34,191.01504,-5.67617
PGC043020,485.1,798.2,139.9,0.262,97,120,ok,S4G,Simbad,NED,1,,12.5,0.807,151.9,1.017,59.46,191.42208,-6.06917
PGC043236,481.3,786.92,138.7,0.642,48,56,ok,S4G,Simbad,NED,2,,14.3,0.404,135.1,1.542,19.2,192.0405,-10.18649
PGC043341,280.88,792.99,137.5,0.636,37,45,ok,S4G,Simbad,NED,2,,14.15,0.405,139.61,1.385,47.62,192.32583,-4.01528
