galaxy,split,formula_family,old_rmse_matched_family,old_rmse_wrong_family_mean,rmse_tpg_v6,rmse_mond,old_matched_minus_wrong_mean,old_matched_minus_tpg_v6,old_matched_minus_mond,old_matched_beats_wrong_mean,old_matched_beats_tpg_v6,old_matched_beats_mond,filled_rmse_matched_family,filled_rmse_wrong_family_mean,filled_matched_minus_wrong_mean,filled_matched_minus_tpg_v6,filled_matched_minus_mond,filled_matched_beats_wrong_mean,filled_matched_beats_tpg_v6,filled_matched_beats_mond,filled_minus_old_matched_rmse,filled_improves_matched_rmse,filled_minus_old_matched_minus_wrong,filled_improves_vs_wrong,filled_minus_old_matched_minus_tpg,filled_improves_vs_tpg,filled_minus_old_matched_minus_mond,filled_improves_vs_mond,claim_boundary
NGC6503,train,K_exponential_disk,12.32563825173506,10.887281107338143,7.537023161651215,4.239120184630891,1.4383571443969156,4.7886150900838444,8.08651806710417,False,False,False,12.325638251735061,10.887281107338145,1.4383571443969156,4.788615090083846,8.08651806710417,False,False,False,1.7763568394002505e-15,False,0.0,False,1.7763568394002505e-15,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
NGC7793,train,K_exponential_disk,5.760806077336799,34.734869094752156,5.722342289485416,6.0568332273601175,-28.974063017415357,0.03846378785138249,-0.2960271500233187,True,False,True,5.760806077336799,34.734869094752156,-28.974063017415357,0.03846378785138249,-0.2960271500233187,True,False,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC00191,train,K_scale_tail_spiral,5.7232425165237695,47.902662765195,7.100447637659804,7.303541150664803,-42.17942024867123,-1.3772051211360345,-1.5802986341410339,True,True,True,5.7232425165237695,47.902662765195,-42.17942024867123,-1.3772051211360345,-1.580298634141033,True,True,True,0.0,False,0.0,False,0.0,False,8.881784197001252e-16,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC00634,train,K_scale_tail_spiral,6.473523239737815,14.698694218593266,8.17927394861286,2.390542422509193,-8.225170978855452,-1.705750708875045,4.082980817228622,True,True,False,6.473523239737815,14.698694218593266,-8.225170978855452,-1.705750708875045,4.082980817228622,True,True,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC00891,holdout,K_scale_tail_spiral,7.225333270873022,30.708551410992673,5.958365558298525,7.682081654505746,-23.48321814011965,1.2669677125744965,-0.45674838363272396,True,False,True,6.569290687957648,30.046686385120363,-23.477395697162716,0.6109251296591225,-1.112790966548098,True,False,True,-0.656042582915374,True,0.005822442956933571,False,-0.656042582915374,True,-0.656042582915374,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC04305,holdout,K_scale_tail_spiral,26.808062784312273,54.97638920038208,23.999621706482884,26.588364190715332,-28.168326416069807,2.8084410778293893,0.21969859359694155,True,False,False,26.808062784312273,54.97638920038208,-28.168326416069807,2.8084410778293893,0.21969859359694155,True,False,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC04483,train,K_scale_tail_spiral,10.054495276935254,93.21784442133296,3.798705980303068,5.284251656234046,-83.1633491443977,6.255789296632186,4.770243620701208,True,False,False,10.054495276935254,93.21784442133297,-83.16334914439771,6.255789296632186,4.770243620701208,True,False,False,0.0,False,-1.4210854715202004e-14,True,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC04499,holdout,K_scale_tail_spiral,8.071013668884772,26.68581754275577,6.040634191372928,8.985021588452573,-18.614803873870997,2.030379477511844,-0.9140079195678013,True,False,True,7.642465732778942,27.2147437719655,-19.57227803918656,1.601831541406014,-1.3425558556736314,True,False,True,-0.4285479361058302,True,-0.9574741653155634,True,-0.4285479361058302,True,-0.4285479361058302,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC05764,train,K_scale_tail_spiral,6.982946574188482,51.259193880630136,10.69204900722308,8.472754908677588,-44.276247306441654,-3.709102433034598,-1.4898083344891067,True,True,True,6.982946574188482,51.259193880630136,-44.276247306441654,-3.709102433034598,-1.4898083344891067,True,True,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC05829,holdout,K_scale_tail_spiral,7.720215953585758,33.67899383994406,6.222677845510406,8.606905396927852,-25.958777886358305,1.4975381080753527,-0.8866894433420933,True,False,True,6.972563995633898,33.781598312991534,-26.809034317357636,0.7498861501234924,-1.6343414012939537,True,False,True,-0.7476519579518603,True,-0.8502564309993303,True,-0.7476519579518603,True,-0.7476519579518603,True,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC05918,train,K_scale_tail_spiral,3.820573804610818,44.42210980539513,3.852091274673392,4.343347077626917,-40.601536000784314,-0.031517470062574215,-0.522773273016099,True,True,True,3.820573804610818,44.42210980539513,-40.601536000784314,-0.031517470062574215,-0.522773273016099,True,True,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC06399,train,K_scale_tail_spiral,4.496852360136039,26.811459274367895,6.570667508689696,4.007206920083819,-22.314606914231856,-2.073815148553657,0.4896454400522199,True,True,False,4.496852360136039,26.811459274367895,-22.314606914231856,-2.073815148553657,0.4896454400522199,True,True,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC06446,train,K_scale_tail_spiral,9.608036252006082,26.3334798535363,11.600558614682592,9.277034813965724,-16.725443601530216,-1.9925223626765103,0.3310014380403583,True,True,False,9.608036252006082,26.3334798535363,-16.725443601530216,-1.9925223626765103,0.3310014380403583,True,True,False,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
UGC06628,train,K_scale_tail_spiral,32.76752603659018,51.59834501008165,30.52936844963153,33.51825732954061,-18.830818973491468,2.2381575869586534,-0.7507312929504266,True,False,True,32.76752603659018,51.59834501008165,-18.830818973491468,2.2381575869586534,-0.7507312929504266,True,False,True,0.0,False,0.0,False,0.0,False,0.0,False,s4g75_filled_kernel_endpoint_stress_test_not_validation
