galaxy,curve_type,r03_kpc,v03_km_s,radius_kpc,velocity_km_s,velocity_error_km_s,endpoint_access
DDO_70,Model,1.277002,31.854853,0.41999957279,18.291693689659997,2.9699872194549997,False
DDO_70,Model,1.277002,31.854853,0.499999917084,20.593015689792,3.5800076544049997,False
DDO_70,Model,1.277002,31.854853,0.580000261378,22.567984720939,3.6299879187619997,False
DDO_70,Model,1.277002,31.854853,0.669999531332,24.461405328406,3.139996569916,False
DDO_70,Model,1.277002,31.854853,0.7499998756259999,25.901913635919,2.749997604637,False
DDO_70,Model,1.277002,31.854853,0.83000021992,27.153586374847997,2.459991022925,False
DDO_70,Model,1.277002,31.854853,0.920000766876,28.374805874309,2.459991022925,False
DDO_70,Model,1.277002,31.854853,0.999999834168,29.322105492822995,2.699985485427,False
DDO_70,Model,1.277002,31.854853,1.080000178462,30.16081191746,3.009996914823,False
DDO_70,Model,1.277002,31.854853,1.160000522756,30.90748967178,2.989992067139,False
DDO_70,Model,1.277002,31.854853,1.24999979271,31.65448597463,2.93000937894,False
DDO_70,Model,1.277002,31.854853,1.3300001370039998,32.248101160285,3.129994146074,False
DDO_70,Model,1.277002,31.854853,1.410000481298,32.784887288187996,3.279998648851,False
DDO_70,Model,1.277002,31.854853,1.4999997512519998,33.33011495213599,3.21001353681,False
DDO_70,Model,1.277002,31.854853,1.580000095546,33.769616358977,2.9799896432969994,False
DDO_70,Model,1.277002,31.854853,1.66000043984,34.172102426631994,2.630000373386,False
DDO_70,Model,1.277002,31.854853,1.749999709794,34.585992531661,2.589990678018,False
DDO_70,Model,1.277002,31.854853,1.830000054088,34.923399134637,2.749997604637,False
DDO_70,Model,1.277002,31.854853,1.9100003983820002,35.235512984331,3.149998993758,False
DDO_70,Model,1.277002,31.854853,2.000000945338,35.559604258753,3.279998648851,False
IC_10,Data,0.274228,73.275475,0.059999989488000005,1.9500069407,12.709997516125,False
IC_10,Data,0.274228,73.275475,0.08000026021200002,-2.430034577425,10.699977961399998,False
IC_10,Data,0.274228,73.275475,0.10000025670800002,5.0900075953999995,9.849982451399999,False
IC_10,Data,0.274228,73.275475,0.12000025320400001,4.4900280061,9.730030498824998,False
IC_10,Data,0.274228,73.275475,0.14000024970000002,13.4099981288,7.85000163675,False
IC_10,Data,0.274228,73.275475,0.160000246196,12.5500371542,7.829997432074999,False
IC_10,Data,0.274228,73.275475,0.18000024269200002,15.219975636775,9.20002898815,False
IC_10,Data,0.274228,73.275475,0.20000023918800003,15.4400218882,9.229998657425,False
IC_10,Data,0.274228,73.275475,0.220000235684,15.1999714321,8.7499710207,False
IC_10,Data,0.274228,73.275475,0.24000050640800002,19.119989518175004,9.1699860434,False
IC_10,Data,0.274228,73.275475,0.260000502904,20.890031892274997,9.039995350749999,False
IC_10,Data,0.274228,73.275475,0.28000049940000005,23.780016626275,7.93001845545,False
