star_scale,h2_scale,height_pc,radius_kpc,vobs_km_s,vobs_error_km_s,vbar_km_s,dark_discrepancy_ratio,delta_v2_km2_s2
1.0,1.3,100,3.334302959784743,153.62964013002227,0.6701733598026943,153.10176048429275,1.0069076891385174,161.91726309040314
1.0,1.3,100,4.286960948294669,158.8047410177566,0.6636871568350399,153.04708092996287,1.076655656312734,1795.5367885341439
1.0,1.3,100,5.239618936804596,163.05047281610953,0.5580974480626919,148.61151044178303,1.2037581168500808,4500.075649768689
1.0,1.3,100,6.1922769253145225,166.13549743976645,0.5385983182734696,144.93402176512197,1.313966174014895,6595.132844545798
1.0,1.3,100,7.144934913824449,169.86579822664316,0.5657370151104272,147.83632358581804,1.3202299501222956,6998.81083580395
1.0,1.3,100,8.097592902334375,176.49473898283327,0.7036771719934145,145.85176086963997,1.4643340974457946,9877.656739843802
1.0,1.3,100,9.050250890844302,183.97979871645208,0.8800818482819364,143.73952765857004,1.6382789532956676,13187.514524237406
1.0,1.3,100,10.002908879354228,196.99141192423437,2.466807083805094,139.15088547558287,2.0041149947055885,19442.647443264606
1.0,1.3,100,10.955566867864157,,,143.86107280023623,,
1.0,1.3,300,0.4763289942549633,54.52743543622388,4.677145178394439,59.95549950785304,0.8271268009062442,-621.4207059846021
1.0,1.3,300,1.4289869827648898,109.28503789126859,2.0218333338728773,122.10573232755371,0.8010309731132936,-2966.5903603521856
1.0,1.3,300,2.381644971274816,141.5127105405909,0.8595435931450939,141.6005766350754,0.9987593435675909,-24.876058840800397
1.0,1.3,300,3.334302959784743,153.62964013002227,0.6701733598026943,147.93888669486984,1.0784135455596222,1716.152129962611
1.0,1.3,300,4.286960948294669,158.8047410177566,0.6636871568350399,149.01000027714016,1.1357849161425122,3014.9655871234354
1.0,1.3,300,5.239618936804596,163.05047281610953,0.5580974480626919,146.25642618900434,1.2428371053049543,5194.5144839771965
1.0,1.3,300,6.1922769253145225,166.13549743976645,0.5385983182734696,142.7163172634884,1.3551195523326809,7233.056296305967
1.0,1.3,300,7.144934913824449,169.86579822664316,0.5657370151104272,145.7208581030282,1.358840393946033,7619.820920891765
