Seq,Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,PA1,Re,n,f2,mu02,PA2,hr2,hz2,f3,mag3,q3,PA3,hr3,mu03,f4,mu04,q4,PA4,Rbar,f5,mag5
1719,PGC012068,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.09,22.302,0.212,38.03,30.29,,
1720,PGC012130,_z,1,4,Z,edgedisk,,,,,,,1.0,19.493,22.97,12.96,5.9,,,,,,,,,,,,,
1721,PGC012439,_zz,2,4,Z,edgedisk,,,,,,,0.108,18.535,0.44,2.78,0.36,,,,,,,,,,,,,
1721,PGC012439,_zz,2,4,Z,edgedisk,,,,,,,0.892,20.28,0.41,19.59,2.78,,,,,,,,,,,,,
1722,PGC012608,_dd,2,5,D,sersic,0.105,17.515,0.404,83.81,9.12,0.89,,,,,,,,,,,,,,,,,,
1722,PGC012608,_dd,2,5,D,expdisk,,,,,,,,,,,,0.895,15.106,0.669,87.92,17.65,23.335,,,,,,,
1723,PGC012633,_bd,2,5,B,sersic,0.099,15.183,0.971,104.15,1.31,2.133,,,,,,,,,,,,,,,,,,
1723,PGC012633,_bd,2,5,D,expdisk,,,,,,,,,,,,0.901,12.787,0.978,60.72,10.18,19.822,,,,,,,
1724,PGC012664,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.957,13.544,0.593,-23.95,20.4,22.088,,,,,,,
1724,PGC012664,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.043,20.978,0.289,-88.51,11.73,,
1725,PGC012798,_z,1,4,Z,edgedisk,,,,,,,1.0,20.154,9.74,19.9,3.5,,,,,,,,,,,,,
1726,PGC012981,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.917,13.689,0.784,-80.17,27.26,22.863,,,,,,,
1726,PGC012981,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.083,22.408,0.496,89.94,22.8,,
1727,PGC013612,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.799,14.506,0.374,6.74,11.37,21.78,,,,,,,
1727,PGC013612,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.201,20.14,0.209,6.26,14.34,,
1728,PGC013646,_zz,2,4,Z,edgedisk,,,,,,,0.68,18.662,34.51,24.04,2.49,,,,,,,,,,,,,
1728,PGC013646,_zz,2,4,Z,edgedisk,,,,,,,0.32,20.836,25.23,36.65,7.59,,,,,,,,,,,,,
1729,PGC013684,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.959,13.569,0.529,-13.51,22.74,22.349,,,,,,,
1729,PGC013684,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.035,22.078,0.493,88.12,13.26,,
1729,PGC013684,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.006,19.058
1730,PGC013716,_dn,2,5,D,expdisk,,,,,,,,,,,,0.995,12.198,0.423,-42.68,16.39,20.266,,,,,,,
1730,PGC013716,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.005,17.988
1731,PGC013821,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.779,12.548,0.652,42.28,8.34,19.15,,,,,,,
1731,PGC013821,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.221,17.034,0.298,12.28,7.5,,
1732,PGC014037,_dn,2,5,D,expdisk,,,,,,,,,,,,0.996,14.399,0.469,-41.39,10.23,21.443,,,,,,,
1732,PGC014037,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.004,20.284
1733,PGC014487,_dd,2,5,D,sersic,0.085,16.529,0.636,126.07,10.69,0.345,,,,,,,,,,,,,,,,,,
1733,PGC014487,_dd,2,5,D,expdisk,,,,,,,,,,,,0.915,13.888,0.745,-34.49,26.04,22.961,,,,,,,
1734,PGC014600,_zz,2,4,Z,edgedisk,,,,,,,0.38,20.834,67.1,14.9,2.34,,,,,,,,,,,,,
1734,PGC014600,_zz,2,4,Z,edgedisk,,,,,,,0.62,21.96,49.07,30.67,7.04,,,,,,,,,,,,,
1735,PGC014626,_d,1,4,D,expdisk,,,,,,,,,,,,1.0,14.742,0.262,-75.4,15.32,22.663,,,,,,,
1736,PGC014768,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.949,14.086,0.354,-14.33,17.9,22.346,,,,,,,
1736,PGC014768,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.051,21.973,0.774,-71.33,9.75,,
1737,PGC015214,_dd,2,5,D,sersic,0.125,17.024,0.257,32.92,21.74,0.895,,,,,,,,,,,,,,,,,,
1737,PGC015214,_dd,2,5,D,expdisk,,,,,,,,,,,,0.875,14.829,0.697,28.64,20.99,23.435,,,,,,,
1738,PGC015625,_dbar,2,3,D,expdisk,,,,,,,,,,,,0.943,15.101,0.298,-2.72,19.63,23.56,,,,,,,
1738,PGC015625,_dbar,2,3,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.057,20.312,0.444,26.09,3.79,,
1739,PGC015869,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.94,13.917,0.636,-53.86,18.46,22.244,,,,,,,
1739,PGC015869,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.06,21.405,0.5,-17.44,10.95,,
1740,PGC016090,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.908,14.705,0.545,30.26,21.57,23.37,,,,,,,
1740,PGC016090,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.092,22.85,0.166,20.95,30.71,,
1741,PGC016389,_d,1,4,D,expdisk,,,,,,,,,,,,1.0,15.639,0.563,67.1,13.05,23.213,,,,,,,
1742,PGC016784,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.891,13.287,0.805,67.06,30.34,22.693,,,,,,,
1742,PGC016784,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.109,21.971,0.233,70.17,36.84,,
1743,PGC024469,_dbarn,3,3,D,expdisk,,,,,,,,,,,,0.799,14.507,0.29,-75.24,8.93,21.255,,,,,,,
1743,PGC024469,_dbarn,3,3,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.157,18.539,0.092,-69.81,9.16,,
1743,PGC024469,_dbarn,3,3,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.044,17.656
1744,PGC027616,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.942,13.43,0.886,14.33,15.88,21.43,,,,,,,
1744,PGC027616,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.058,21.049,0.389,-65.08,12.9,,
1745,PGC027747,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.968,13.988,0.28,-24.48,17.7,22.223,,,,,,,
1745,PGC027747,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.032,20.368,0.042,-32.36,16.5,,
1746,PGC027810,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.891,13.332,0.352,-28.26,14.89,21.193,,,,,,,
1746,PGC027810,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.096,20.163,0.415,-31.47,11.56,,
1746,PGC027810,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.012,17.971
1747,PGC027825,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.973,13.866,0.697,-30.0,16.69,21.974,,,,,,,
1747,PGC027825,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.027,21.761,0.341,-46.3,10.5,,
1748,PGC027833,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.951,13.116,0.884,8.85,15.62,21.081,,,,,,,
1748,PGC027833,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.049,20.496,0.54,-81.2,9.03,,
1749,PGC028308,_zz,2,4,Z,edgedisk,,,,,,,0.613,18.804,-54.61,10.33,2.74,,,,,,,,,,,,,
1749,PGC028308,_zz,2,4,Z,edgedisk,,,,,,,0.387,11.807,-41.1,9.09,0.0,,,,,,,,,,,,,
1750,PGC028380,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.924,13.973,0.695,70.47,15.15,21.871,,,,,,,
1750,PGC028380,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.076,21.275,0.229,-65.49,16.87,,
1751,PGC029086,_bz,2,5,B,sersic,0.137,16.811,0.266,13.78,11.79,0.507,,,,,,,,,,,,,,,,,,
1751,PGC029086,_bz,2,5,Z,edgedisk,,,,,,,0.863,22.692,14.34,29.76,7.58,,,,,,,,,,,,,
1752,PGC029300,_dn,2,5,D,expdisk,,,,,,,,,,,,0.99,12.547,0.944,-35.68,16.07,20.572,,,,,,,
1752,PGC029300,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.01,17.582
1753,PGC029466,_z,1,4,Z,edgedisk,,,,,,,1.0,21.339,0.72,8.57,1.89,,,,,,,,,,,,,
1755,PGC030591,_zz,2,4,Z,edgedisk,,,,,,,0.314,21.403,-11.46,13.34,5.18,,,,,,,,,,,,,
1755,PGC030591,_zz,2,4,Z,edgedisk,,,,,,,0.686,18.61,-8.11,11.68,1.32,,,,,,,,,,,,,
1756,PGC031979,_bd,2,5,B,sersic,0.121,15.916,0.716,62.02,7.0,0.706,,,,,,,,,,,,,,,,,,
1756,PGC031979,_bd,2,5,D,expdisk,,,,,,,,,,,,0.879,13.755,0.868,-0.57,16.94,21.896,,,,,,,
1757,PGC032091,_bdbarf,3,5,B,sersic,0.008,18.821,0.79,68.45,2.14,0.402,,,,,,,,,,,,,,,,,,
1757,PGC032091,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.966,13.56,0.9,38.96,14.26,21.326,,,,,,,
1757,PGC032091,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.027,22.375,0.392,56.69,15.0,,
1758,PGC032548,_z,1,4,Z,edgedisk,,,,,,,1.0,19.471,-29.3,7.11,1.52,,,,,,,,,,,,,
1759,PGC035271,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.913,0.366,-9.35,13.66,23.586,,,,,,,
1760,PGC035684,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.464,0.552,-52.28,16.8,22.586,,,,,,,
1761,PGC035705,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.715,0.626,54.38,12.73,22.234,,,,,,,
1762,PGC036217,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.952,13.11,0.792,8.93,21.16,21.733,,,,,,,
1762,PGC036217,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.046,21.331,0.261,-13.7,18.46,,
1762,PGC036217,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.002,19.752
1763,PGC036274,_dd,2,3,D,expdisk,,,,,,,,,,,,0.735,13.465,0.687,42.4,19.37,21.896,,,,,,,
1763,PGC036274,_dd,2,3,D,expdisk,,,,,,,,,,,,0.265,14.592,0.656,78.46,4.82,20.001,,,,,,,
1764,PGC036551,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.091,0.394,70.42,16.42,22.163,,,,,,,
1765,PGC036643,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.869,13.633,0.296,-46.26,21.62,22.303,,,,,,,
1765,PGC036643,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.131,20.698,0.187,-38.02,22.69,,
1766,PGC037238,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.798,14.299,0.333,-76.63,22.77,23.081,,,,,,,
1766,PGC037238,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.19,22.483,0.201,-89.63,45.41,,
1766,PGC037238,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.012,18.884
1767,PGC037373,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.906,13.669,0.614,5.1,16.43,21.743,,,,,,,
1767,PGC037373,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.094,21.049,0.344,-27.06,16.04,,
1768,PGC038250,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.916,14.818,0.788,-71.28,11.93,22.197,,,,,,,
1768,PGC038250,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.084,21.491,0.441,72.25,9.18,,
1769,PGC039317,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.104,0.268,-77.41,24.79,24.071,,,,,,,
1770,PGC039799,_dn,2,5,D,expdisk,,,,,,,,,,,,0.979,15.967,0.373,41.09,13.19,23.563,,,,,,,
1770,PGC039799,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.021,20.18
1771,PGC040408,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.973,0.327,-72.67,9.56,21.871,,,,,,,
1772,PGC040447,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.622,0.513,-47.26,14.85,23.476,,,,,,,
1773,PGC040552,_z,1,4,Z,edgedisk,,,,,,,1.0,18.709,57.34,5.58,1.3,,,,,,,,,,,,,
1774,PGC041725,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.672,0.251,-47.12,26.19,23.757,,,,,,,
1775,PGC041743,_dd,2,5,D,sersic,0.076,16.992,0.745,150.18,14.83,0.549,,,,,,,,,,,,,,,,,,
1775,PGC041743,_dd,2,5,D,expdisk,,,,,,,,,,,,0.924,14.247,0.483,-85.71,24.13,23.155,,,,,,,
1776,PGC041965,_dn,2,5,D,expdisk,,,,,,,,,,,,0.926,13.392,0.388,55.67,30.12,22.782,,,,,,,
1776,PGC041965,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.074,16.145
1777,PGC042068,_bdn,3,5,B,sersic,0.288,15.429,0.587,37.72,15.7,0.937,,,,,,,,,,,,,,,,,,
1777,PGC042068,_bdn,3,5,D,expdisk,,,,,,,,,,,,0.709,14.437,0.597,27.25,22.64,23.207,,,,,,,
1777,PGC042068,_bdn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.003,20.322
1778,PGC042160,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.312,0.749,-64.97,13.41,21.944,,,,,,,
1779,PGC042559,_dd,2,5,D,sersic,0.471,14.963,0.315,144.16,14.89,1.02,,,,,,,,,,,,,,,,,,
1779,PGC042559,_dd,2,5,D,expdisk,,,,,,,,,,,,0.529,14.825,0.393,-33.16,15.26,22.738,,,,,,,
1780,PGC042868,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.913,12.525,0.813,-27.11,35.12,22.248,,,,,,,
1780,PGC042868,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.085,22.981,0.467,-14.38,53.55,,
1780,PGC042868,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.003,18.854
1781,PGC043020,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,12.502,0.738,-40.09,37.0,22.339,,,,,,,
1782,PGC043236,_dd,2,5,D,sersic,0.07,17.247,0.609,114.68,4.01,1.369,,,,,,,,,,,,,,,,,,
1782,PGC043236,_dd,2,5,D,expdisk,,,,,,,,,,,,0.93,14.44,0.358,-41.34,12.29,21.882,,,,,,,
1783,PGC043341,_dn,2,5,D,expdisk,,,,,,,,,,,,0.994,14.316,0.364,-42.54,25.21,23.319,,,,,,,
1783,PGC043341,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.006,19.859
1784,PGC043345,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.981,12.405,0.794,69.2,33.47,22.023,,,,,,,
1784,PGC043345,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.019,22.511,0.184,-83.3,33.04,,
1785,PGC043458,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.942,12.939,0.424,-4.17,27.92,22.164,,,,,,,
1785,PGC043458,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.058,20.193,0.27,-0.89,13.14,,
1786,PGC043679,_z,1,4,Z,edgedisk,,,,,,,1.0,20.012,66.4,18.3,3.44,,,,,,,,,,,,,
1787,PGC043851,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.385,0.404,-39.6,31.27,23.857,,,,,,,
1788,PGC043970,_zbar,2,4,Z,edgedisk,,,,,,,0.885,21.438,35.1,16.43,4.85,,,,,,,,,,,,,
1788,PGC043970,_zbar,2,4,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.115,21.148,0.185,35.44,16.07,,
1789,PGC044157,_d,1,5,D,sersic,1.0,14.631,0.228,77.73,25.11,1.551,,,,,,,,,,,,,,,,,,
1791,PGC044358,_z,1,5,Z,edgedisk,,,,,,,1.0,19.031,-62.26,17.23,3.36,,,,,,,,,,,,,
1792,PGC044506,_zn,2,5,Z,edgedisk,,,,,,,0.99,21.377,-80.25,21.28,4.85,,,,,,,,,,,,,
1792,PGC044506,_zn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.01,19.369
1793,PGC044532,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.218,0.405,22.87,37.51,23.084,,,,,,,
1794,PGC044735,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.806,0.507,-75.89,16.02,21.824,,,,,,,
1795,PGC044906,_d,1,3,D,expdisk,,,,,,,,,,,,1.0,14.719,0.585,-9.78,15.46,22.66,,,,,,,
1796,PGC044952,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.419,0.581,-14.08,9.8,20.372,,,,,,,
1797,PGC044954,_bd,2,5,B,sersic,0.149,16.208,0.696,1.09,5.29,0.649,,,,,,,,,,,,,,,,,,
1797,PGC044954,_bd,2,5,D,expdisk,,,,,,,,,,,,0.851,14.315,0.381,37.51,10.0,21.312,,,,,,,
1798,PGC044982,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.682,0.61,32.2,16.92,22.819,,,,,,,
1799,PGC045084,_z,1,4,Z,edgedisk,,,,,,,1.0,22.524,-62.66,35.15,17.67,,,,,,,,,,,,,
1800,PGC045195,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.975,12.827,0.666,39.57,44.93,23.086,,,,,,,
1800,PGC045195,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.025,23.548,0.337,-89.03,36.64,,
1801,PGC045257,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.719,0.467,-51.69,13.86,22.424,,,,,,,
1802,PGC045359,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.022,0.65,-67.93,22.04,23.734,,,,,,,
1803,PGC045650,_nd,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.168,14.02
1803,PGC045650,_nd,2,5,D,expdisk,,,,,,,,,,,,0.832,12.283,0.298,89.99,10.15,19.312,,,,,,,
1805,PGC045824,_dd,2,5,D,sersic,0.153,16.535,0.266,66.44,20.5,0.693,,,,,,,,,,,,,,,,,,
1805,PGC045824,_dd,2,5,D,expdisk,,,,,,,,,,,,0.847,14.522,0.645,74.06,21.96,23.226,,,,,,,
1806,PGC045877,_bd,2,5,B,sersic,0.09,13.894,0.395,117.15,5.0,0.841,,,,,,,,,,,,,,,,,,
1806,PGC045877,_bd,2,5,D,expdisk,,,,,,,,,,,,0.91,11.373,0.405,-53.27,14.92,19.238,,,,,,,
1808,PGC046261,_zn,2,4,Z,edgedisk,,,,,,,0.991,19.356,-8.99,16.27,2.92,,,,,,,,,,,,,
1808,PGC046261,_zn,2,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.009,18.259
1809,PGC046382,_dn,2,5,D,expdisk,,,,,,,,,,,,0.999,13.708,0.933,-59.32,20.38,22.25,,,,,,,
1809,PGC046382,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.001,21.085
1810,PGC047721,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.85,11.954,0.576,-58.97,18.37,20.27,,,,,,,
1810,PGC047721,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.101,18.447,0.539,-59.88,9.1,,
1810,PGC047721,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.049,15.059
1811,PGC047846,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.124,0.89,-19.86,20.7,22.699,,,,,,,
1812,PGC048087,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.969,13.509,0.949,-54.79,17.8,21.756,,,,,,,
1812,PGC048087,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.027,21.683,0.586,32.41,9.07,,
1812,PGC048087,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.005,19.272
1813,PGC048179,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.974,12.218,0.926,68.94,22.71,20.994,,,,,,,
1813,PGC048179,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.026,21.763,0.294,-3.1,24.0,,
1814,PGC049521,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.858,0.476,-27.91,14.29,22.628,,,,,,,
1815,PGC050229,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.465,13.946,0.642,-27.48,4.07,18.991,,,,,,,
1815,PGC050229,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.517,13.795,0.642,-27.48,24.39,22.726,,,,,,,
1815,PGC050229,_ddn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.018,17.478
1816,PGC051291,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.779,14.925,0.466,-67.06,13.26,22.534,,,,,,,
1816,PGC051291,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.198,21.471,0.176,-78.33,23.7,,
1816,PGC051291,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.023,18.77
1817,PGC051523,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.041,0.583,-78.31,8.98,20.803,,,,,,,
1819,PGC052460,_bd,2,5,B,sersic,0.112,15.806,0.725,37.54,5.8,1.461,,,,,,,,,,,,,,,,,,
1819,PGC052460,_bd,2,5,D,expdisk,,,,,,,,,,,,0.888,13.557,0.692,-24.71,8.85,20.287,,,,,,,
1820,PGC052809,_zz,2,4,Z,edgedisk,,,,,,,0.817,19.718,-10.32,27.08,5.77,,,,,,,,,,,,,
1820,PGC052809,_zz,2,4,Z,edgedisk,,,,,,,0.183,16.835,-9.04,5.73,0.57,,,,,,,,,,,,,
1821,PGC052853,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,12.915,0.731,-58.28,17.62,21.14,,,,,,,
1824,PGC053093,_dbarfn,3,5,D,expdisk,,,,,,,,,,,,0.878,12.768,0.577,-76.63,6.62,18.868,,,,,,,
1824,PGC053093,_dbarfn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.109,17.914,0.241,53.48,7.5,,
1824,PGC053093,_dbarfn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.013,17.382
1825,PGC053134,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.896,13.359,0.759,56.48,24.95,22.34,,,,,,,
1825,PGC053134,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.104,20.662,0.303,-50.55,17.34,,
1826,PGC053415,_dd,2,5,D,expdisk,,,,,,,,,,,,0.813,13.122,0.402,49.59,4.2,18.235,,,,,,,
1826,PGC053415,_dd,2,5,D,expdisk,,,,,,,,,,,,0.187,14.653,0.526,47.25,24.63,23.606,,,,,,,
1827,PGC053568,_dd,2,5,D,sersic,0.059,17.902,0.454,85.96,8.88,0.408,,,,,,,,,,,,,,,,,,
1827,PGC053568,_dd,2,5,D,expdisk,,,,,,,,,,,,0.941,14.846,0.451,79.23,18.64,23.195,,,,,,,
1828,PGC053634,_bd,2,5,B,sersic,0.121,16.669,0.478,114.93,7.63,0.864,,,,,,,,,,,,,,,,,,
1828,PGC053634,_bd,2,5,D,expdisk,,,,,,,,,,,,0.879,14.506,0.257,-51.64,23.02,23.312,,,,,,,
1829,PGC053724,_bd,2,5,B,sersic,0.733,12.463,0.248,149.57,12.85,10.315,,,,,,,,,,,,,,,,,,
1829,PGC053724,_bd,2,5,D,expdisk,,,,,,,,,,,,0.267,13.654,0.38,-29.98,5.47,19.341,,,,,,,
1830,PGC053764,_z,1,5,Z,edgedisk,,,,,,,1.0,20.843,23.83,11.59,3.5,,,,,,,,,,,,,
1831,PGC053779,_ddbar,3,5,D,expdisk,,,,,,,,,,,,0.643,13.37,0.667,-81.92,21.78,22.056,,,,,,,
1831,PGC053779,_ddbar,3,5,D,ferrer2,,,,,,,,,,,,,,,,,,0.34,21.222,0.59,78.72,34.38,,
1831,PGC053779,_ddbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.017,20.904,0.338,68.83,8.72,,
1832,PGC053796,_zbar,2,4,Z,edgedisk,,,,,,,0.903,21.587,-14.36,18.87,5.39,,,,,,,,,,,,,
1832,PGC053796,_zbar,2,4,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.097,20.579,0.401,-26.13,7.99,,
1834,PGC054944,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.968,12.523,0.689,20.72,11.89,19.895,,,,,,,
1834,PGC054944,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.032,17.344,0.016,36.67,12.75,,
1835,PGC065367,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.4,0.745,79.6,36.26,24.192,,,,,,,
1836,PGC066242,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.946,13.94,0.463,41.06,17.08,22.097,,,,,,,
1836,PGC066242,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.054,21.856,0.215,17.57,19.3,,
1837,PGC066559,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.928,14.201,0.73,39.12,17.24,22.378,,,,,,,
1837,PGC066559,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.072,21.949,0.336,-24.36,16.5,,
1838,PGC066738,_zz,2,4,Z,edgedisk,,,,,,,0.852,21.492,31.2,14.32,3.93,,,,,,,,,,,,,
1838,PGC066738,_zz,2,4,Z,edgedisk,,,,,,,0.148,16.616,24.33,9.89,0.01,,,,,,,,,,,,,
1839,PGC067871,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.898,14.17,0.656,-32.82,24.39,23.102,,,,,,,
1839,PGC067871,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.102,21.871,0.376,48.92,16.97,,
1840,PGC068030,_z,1,4,Z,edgedisk,,,,,,,1.0,19.79,-59.44,7.25,2.06,,,,,,,,,,,,,
1842,PGC068771,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.94,13.801,0.855,47.84,20.25,22.328,,,,,,,
1842,PGC068771,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.06,21.47,0.35,29.49,14.23,,
1843,PGC069114,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.289,0.302,-48.16,11.63,22.613,,,,,,,
1844,PGC069224,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.698,0.452,-81.23,23.09,23.511,,,,,,,
1845,PGC069293,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,12.98,0.899,-39.13,24.82,21.95,,,,,,,
1846,PGC069339,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.767,0.91,-53.43,15.32,22.69,,,,,,,
1848,PGC069415,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.54,0.579,73.0,16.88,23.672,,,,,,,
