Seq,Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,PA1,Re,n,f2,mu02,PA2,hr2,hz2,f3,mag3,q3,PA3,hr3,mu03,f4,mu04,q4,PA4,Rbar,f5,mag5
359,IC1954,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.97,11.19,0.56,61.02,23.73,20.062,,,,,,,
359,IC1954,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.03,18.427,0.264,-88.48,9.3,,
360,IC1959,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.118,0.281,-31.57,24.88,22.093,,,,,,,
361,IC1962,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.865,14.417,0.254,0.74,28.0,23.648,,,,,,,
361,IC1962,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.135,22.338,0.351,11.72,24.35,,
362,IC1970,_z,1,4,Z,edgedisk,,,,,,,1.0,18.024,75.07,14.54,4.24,,,,,,,,,,,,,
363,IC1986,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.066,0.649,-65.88,14.08,22.803,,,,,,,
364,IC1993,_bd,2,5,B,sersic,0.025,15.334,0.867,161.91,4.09,1.071,,,,,,,,,,,,,,,,,,
364,IC1993,_bd,2,5,D,expdisk,,,,,,,,,,,,0.975,11.337,0.932,-6.5,25.92,20.401,,,,,,,
365,IC2000,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.985,12.043,0.164,82.37,39.88,22.043,,,,,,,
365,IC2000,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.015,19.946,0.159,84.64,11.48,,
366,IC2006,_b,1,5,B,sersic,1.0,10.896,0.884,38.18,26.89,3.543,,,,,,,,,,,,,,,,,,
367,IC2007,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.846,13.001,0.636,51.97,10.86,20.176,,,,,,,
367,IC2007,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.154,19.147,0.187,12.37,16.31,,
368,IC2032,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.804,0.717,72.12,15.71,22.78,,,,,,,
369,IC2035,_dbarn,3,5,D,expdisk,,,,,,,,,,,,0.696,11.909,0.853,85.78,5.07,17.428,,,,,,,
369,IC2035,_dbarn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.157,17.071,0.542,40.63,6.78,,
369,IC2035,_dbarn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.147,13.6
370,IC2040,_dd,2,5,D,expdisk,,,,,,,,,,,,0.798,13.261,0.719,60.05,6.66,19.374,,,,,,,
370,IC2040,_dd,2,5,D,expdisk,,,,,,,,,,,,0.202,14.722,0.719,60.05,22.86,23.512,,,,,,,
371,IC2051,_bdbarf,3,5,B,sersic,0.069,13.493,0.575,69.38,2.76,1.245,,,,,,,,,,,,,,,,,,
371,IC2051,_bdbarf,3,5,D,expdisk,,,,,,,,,,,,0.904,10.693,0.599,72.02,25.22,19.697,,,,,,,
371,IC2051,_bdbarf,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.028,19.931,0.529,16.27,16.5,,
372,IC2056,_ddn,3,5,D,sersic,0.474,12.322,0.891,29.51,12.03,0.422,,,,,,,,,,,,,,,,,,
372,IC2056,_ddn,3,5,D,expdisk,,,,,,,,,,,,0.509,12.244,0.883,16.01,10.91,19.428,,,,,,,
372,IC2056,_ddn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.017,15.946
373,IC2058,_zz,2,4,Z,edgedisk,,,,,,,0.343,20.235,18.27,17.84,2.22,,,,,,,,,,,,,
373,IC2058,_zz,2,4,Z,edgedisk,,,,,,,0.657,21.364,13.93,38.05,7.56,,,,,,,,,,,,,
374,IC2085,_bz,2,4,B,sersic,0.506,13.7,0.225,114.13,12.7,1.132,,,,,,,,,,,,,,,,,,
374,IC2085,_bz,2,4,Z,edgedisk,,,,,,,0.494,21.308,-66.32,20.08,8.56,,,,,,,,,,,,,
375,IC2135,_zz,2,4,Z,edgedisk,,,,,,,0.153,18.522,-71.43,8.55,1.33,,,,,,,,,,,,,
375,IC2135,_zz,2,4,Z,edgedisk,,,,,,,0.847,19.677,-53.64,38.8,6.32,,,,,,,,,,,,,
376,IC2233,_zz,2,4,Z,edgedisk,,,,,,,0.839,21.673,-7.28,44.53,9.01,,,,,,,,,,,,,
376,IC2233,_zz,2,4,Z,edgedisk,,,,,,,0.161,20.816,-5.46,16.77,2.77,,,,,,,,,,,,,
377,IC2361,_dn,2,5,D,expdisk,,,,,,,,,,,,0.966,13.538,0.361,76.16,8.72,20.236,,,,,,,
377,IC2361,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.034,17.185
378,IC2389,_dd,2,5,D,expdisk,,,,,,,,,,,,0.051,17.003,0.305,-52.6,0.84,18.62,,,,,,,
378,IC2389,_dd,2,5,D,expdisk,,,,,,,,,,,,0.949,13.824,0.305,-52.6,10.01,20.822,,,,,,,
379,IC2461,_nzz,3,4,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.09,14.949
379,IC2461,_nzz,3,4,Z,edgedisk,,,,,,,0.65,17.24,-37.38,8.0,1.2,,,,,,,,,,,,,
379,IC2461,_nzz,3,4,Z,edgedisk,,,,,,,0.26,20.943,-27.81,19.22,8.04,,,,,,,,,,,,,
380,IC2574,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,10.731,0.25,44.58,204.44,24.279,,,,,,,
381,IC2604,_dn,2,5,D,expdisk,,,,,,,,,,,,0.995,14.275,0.744,33.86,9.44,21.146,,,,,,,
381,IC2604,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.005,20.064
382,IC2627,_bd,2,5,B,sersic,0.061,14.422,0.938,2.72,2.15,1.177,,,,,,,,,,,,,,,,,,
382,IC2627,_bd,2,5,D,expdisk,,,,,,,,,,,,0.939,11.453,0.954,82.57,18.08,19.735,,,,,,,
383,IC2763,_z,1,4,Z,edgedisk,,,,,,,1.0,20.463,-82.42,10.42,2.74,,,,,,,,,,,,,
384,IC2764,_bd,2,5,B,sersic,0.307,12.962,0.841,177.0,9.12,4.372,,,,,,,,,,,,,,,,,,
384,IC2764,_bd,2,5,D,expdisk,,,,,,,,,,,,0.693,12.083,0.854,1.9,16.56,20.174,,,,,,,
385,IC2828,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.871,0.606,56.69,4.73,20.242,,,,,,,
386,IC2963,_z,1,4,Z,edgedisk,,,,,,,1.0,19.328,-79.66,9.22,3.39,,,,,,,,,,,,,
387,IC2969,_dn,2,5,D,expdisk,,,,,,,,,,,,0.989,13.293,0.67,-86.77,10.69,20.434,,,,,,,
387,IC2969,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.011,18.21
388,IC2995,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.954,12.194,0.229,-63.0,31.31,21.668,,,,,,,
388,IC2995,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.046,20.375,0.876,84.77,9.87,,
389,IC2996,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.413,0.281,24.36,9.91,20.39,,,,,,,
390,IC3005,_zz,2,4,Z,edgedisk,,,,,,,0.481,17.713,-16.91,6.74,1.71,,,,,,,,,,,,,
390,IC3005,_zz,2,4,Z,edgedisk,,,,,,,0.519,20.013,-14.42,24.96,5.54,,,,,,,,,,,,,
391,IC3021,_dbarfn,3,5,D,expdisk,,,,,,,,,,,,0.982,14.948,0.77,9.45,11.95,22.331,,,,,,,
391,IC3021,_dbarfn,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.011,22.361,0.122,38.57,9.0,,
391,IC3021,_dbarfn,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.007,20.382
392,IC3023,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,16.004,0.622,-33.79,11.7,23.34,,,,,,,
393,IC3033,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,15.018,0.613,-6.81,9.52,21.907,,,,,,,
394,IC3044,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.839,14.174,0.3,68.49,27.61,23.374,,,,,,,
394,IC3044,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.161,22.104,0.752,-35.62,18.98,,
395,IC3059,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.286,0.713,1.01,22.58,23.05,,,,,,,
396,IC3061,_bz,2,4,B,sersic,0.837,13.258,0.196,119.78,28.11,1.472,,,,,,,,,,,,,,,,,,
396,IC3061,_bz,2,4,Z,edgedisk,,,,,,,0.163,21.085,-58.41,13.01,3.21,,,,,,,,,,,,,
397,IC3099,_zz,2,4,Z1,sersic,0.583,14.545,0.213,176.36,34.63,2.761,,,,,,,,,,,,,,,,,,
397,IC3099,_zz,2,4,Z2,edgedisk,,,,,,,0.417,21.119,-7.39,15.11,3.06,,,,,,,,,,,,,
398,IC3102,_bd,2,5,B,sersic,0.165,13.561,1.0,155.62,3.14,3.101,,,,,,,,,,,,,,,,,,
398,IC3102,_bd,2,5,D,expdisk,,,,,,,,,,,,0.835,11.795,0.619,-62.14,19.24,20.212,,,,,,,
399,IC3105,_zz,2,4,Z,sersic,0.536,15.692,0.403,26.33,48.89,0.426,,,,,,,,,,,,,,,,,,
399,IC3105,_zz,2,4,Z,edgedisk,,,,,,,0.464,22.261,28.85,13.91,4.21,,,,,,,,,,,,,
400,IC3115,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.972,13.276,0.773,4.37,21.86,21.97,,,,,,,
400,IC3115,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.028,21.859,0.301,-26.66,15.62,,
402,IC3215,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,14.566,0.285,-89.13,21.99,23.273,,,,,,,
403,IC3229,_dd,2,5,D,sersic,0.5,15.481,0.289,39.92,17.56,0.928,,,,,,,,,,,,,,,,,,
403,IC3229,_dd,2,5,D,expdisk,,,,,,,,,,,,0.5,15.483,0.399,50.2,12.82,23.018,,,,,,,
404,IC3247,_zz,2,4,Z,edgedisk,,,,,,,0.551,22.463,-5.46,22.92,7.11,,,,,,,,,,,,,
404,IC3247,_zz,2,4,Z,edgedisk,,,,,,,0.449,20.817,-4.8,17.65,2.17,,,,,,,,,,,,,
405,IC3258,_d,1,5,D,expdisk,,,,,,,,,,,,1.0,13.67,0.694,-78.1,18.3,21.978,,,,,,,
406,IC3259,_dbar,2,5,BAR,sersic,0.057,16.357,0.332,63.46,8.85,0.632,,,,,,,,,,,,,,,,,,
406,IC3259,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.943,13.308,0.525,17.42,16.42,21.381,,,,,,,
407,IC3267,_bd,2,5,B,sersic,0.03,17.01,0.957,58.85,1.66,0.867,,,,,,,,,,,,,,,,,,
