galaxy,profile,zone,radius_min_arcsec,radius_max_arcsec,real,imag,amplitude,phase_rad
NGC7496,stellar_m2,4,51.132048441312584,83.91493169556972,0.09572259528589037,0.2664859995836666,0.2831564995234478,1.2259464024920605
NGC7496,co_m1,0,0.1467037567947435,18.53323470885813,-0.09306708902161788,-0.029144203311673316,0.0975236773590388,-2.838113332640298
NGC7496,co_m1,1,18.53323470885813,34.19133182881502,0.15944010058930547,-0.0638562392388957,0.1717520450115891,-0.38093992599620236
NGC7496,co_m1,2,34.19133182881502,41.82045132063463,0.04105335600956493,-0.1298559007688114,0.13619079632679837,-1.2645937653533879
NGC7496,co_m1,3,41.82045132063463,51.132048441312584,-0.26592325878662115,-0.38528821092786514,0.4681476103150494,-2.174910100550562
NGC7496,co_m1,4,51.132048441312584,83.91493169556972,-0.3690678206649785,-0.4594077101801423,0.58929322109062,-2.247580104677772
NGC7496,co_m2,0,0.1467037567947435,18.53323470885813,-0.21293919225899538,0.31631004387953565,0.3813071510724486,2.16330679232155
NGC7496,co_m2,1,18.53323470885813,34.19133182881502,-0.13150471583395829,0.5128798901659484,0.5294707470892093,1.8217936195186277
NGC7496,co_m2,2,34.19133182881502,41.82045132063463,-0.14691558171155253,0.5467697317045279,0.5661636933413209,1.833293630842417
NGC7496,co_m2,3,41.82045132063463,51.132048441312584,0.08317971160677368,0.5667769549134748,0.572848130872378,1.4250773987272893
NGC7496,co_m2,4,51.132048441312584,83.91493169556972,0.2762233943911013,0.6242722247622082,0.6826530408769149,1.1542197397915652
