galaxy,split,formula_family,sparc_hi_ready,sparc_mhi_1e9_msun,sparc_rhi_kpc,s4g_scale_ready,s4g_bar_ready,s4g_compact_component_ready,dustpedia_any_match,dustpedia_hi_match,dustpedia_physical_match,dustpedia_dust_profile_match,phangs_sample_match,phangs_muse_ready,phangs_alma_ready,q_tail_candidate,q_expdisk_scale_candidate,q_bar_candidate,q_compact_candidate,q_memory_candidate,l4_velocity_field_candidate,source_expansion_status,accepted_label_output_allowed,endpoint_scores_computed,claim_boundary
UGC05764,train,K_scale_tail_spiral,True,0.163,3.51,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05829,holdout,K_scale_tail_spiral,True,1.023,7.87,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05918,train,K_scale_tail_spiral,True,0.297,5.9,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05986,holdout,K_scale_tail_spiral,True,2.667,16.53,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC05999,train,K_scale_tail_spiral,True,2.022,15.26,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06399,train,K_scale_tail_spiral,True,0.674,8.8,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06446,train,K_scale_tail_spiral,True,1.379,10.33,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06614,train,K_compact_finite,True,21.888,60.63,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06628,train,K_scale_tail_spiral,True,1.5,10.47,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06667,train,K_scale_tail_spiral,True,0.809,8.59,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06786,train,K_compact_finite,True,5.03,20.31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06787,train,K_compact_finite,True,5.03,26.44,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06818,holdout,K_scale_tail_spiral,True,1.079,6.96,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06917,holdout,K_scale_tail_spiral,True,2.023,12.67,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06923,train,K_scale_tail_spiral,True,0.809,6.75,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06930,train,K_exponential_disk,True,3.237,16.76,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06973,train,K_compact_finite,True,1.753,11.57,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC06983,holdout,K_scale_tail_spiral,True,2.967,16.07,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07089,train,K_exponential_disk,True,1.214,9.29,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07125,train,K_scale_tail_spiral,True,4.629,23.04,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07151,holdout,K_exponential_disk,True,0.616,6.39,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07232,train,K_scale_tail_spiral,True,0.046,1.54,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07261,holdout,K_exponential_disk,True,1.388,10.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07323,train,K_exponential_disk,True,0.722,7.14,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07399,train,K_exponential_disk,True,0.745,7.85,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07524,train,K_scale_tail_spiral,True,1.779,12.11,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07559,train,K_scale_tail_spiral,True,0.169,3.76,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07577,holdout,K_scale_tail_spiral,True,0.044,2.07,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07603,holdout,K_exponential_disk,True,0.258,4.37,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07608,train,K_scale_tail_spiral,True,0.535,6.73,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07690,train,K_scale_tail_spiral,True,0.39,5.5,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC07866,train,K_scale_tail_spiral,True,0.118,3.3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC08286,train,K_exponential_disk,True,0.642,8.07,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC08490,train,K_scale_tail_spiral,True,0.72,7.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC08550,train,K_scale_tail_spiral,True,0.288,5.59,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC08699,holdout,K_compact_finite,True,3.738,19.05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC08837,train,K_scale_tail_spiral,True,0.32,4.75,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC09037,train,K_exponential_disk,True,19.078,39.72,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC09133,train,K_compact_finite,True,33.428,60.35,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC09992,train,K_scale_tail_spiral,True,0.318,5.45,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC10310,train,K_scale_tail_spiral,True,1.196,9.58,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC11455,train,K_exponential_disk,True,13.335,43.44,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC11557,train,K_exponential_disk,True,2.605,16.66,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC11820,train,K_scale_tail_spiral,True,1.977,12.99,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC11914,holdout,K_compact_finite,True,0.888,9.26,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC12506,holdout,K_exponential_disk,True,35.556,59.01,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC12632,train,K_scale_tail_spiral,True,1.744,12.6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGC12732,train,K_scale_tail_spiral,True,3.66,17.41,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGCA281,train,K_scale_tail_spiral,True,0.062,1.83,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGCA442,train,K_scale_tail_spiral,True,0.263,4.37,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
UGCA444,holdout,K_scale_tail_spiral,True,0.067,2.08,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
