baryonic_sensitivity,radius_kpc,radius_over_bar,inside_source_support,q_required,q_morph_prefrozen,q_response_fraction,q_post_open_scaled_diagnostic
vbar_alpha5.50_h0.1_km_s,4.559668387753618,1.2595769026943695,True,0.44106250104142375,0.1962237128995601,0.4448886777639052,0.832894008639873
vbar_alpha5.50_h0.1_km_s,4.7996509344774925,1.32587042388881,True,0.5750520745146752,0.1964935564348643,0.3416969786617991,0.8340393904110359
vbar_alpha5.50_h0.1_km_s,5.039633481201367,1.3921639450832506,True,0.7619326958196615,0.1966917549579629,0.2581484638172254,0.8348806667275971
vbar_alpha5.50_h0.1_km_s,5.2796160279252415,1.458457466277691,True,1.0070479001968193,0.1968591148216046,0.1954813815540751,0.8355910448243835
vbar_alpha5.50_h0.1_km_s,5.519598574649116,1.5247509874721314,True,0.8363065968271657,0.1970327443410862,0.23559869680402118,0.8363280351929903
vbar_alpha5.50_h0.1_km_s,5.7595811213729915,1.591044508666572,True,0.677204561878848,0.1972218516845706,0.291229360796677,0.8371307229571271
vbar_alpha5.50_h0.1_km_s,5.999563668096866,1.6573380298610128,True,0.9553664630967624,0.1974109590280551,0.20663375432727613,0.8379334107212643
vbar_alpha5.50_h0.1_km_s,6.239546214820741,1.7236315510554532,True,1.1173393098281283,0.1977450905615264,0.17697854968688428,0.8393516702588786
vbar_alpha5.50_h0.1_km_s,6.479528761544615,1.7899250722498936,True,1.0239333664642793,0.1981078530270057,0.19347729013957946,0.8408914570644203
vbar_alpha5.50_h0.1_km_s,6.71951130826849,1.856218593444334,False,0.9648522599208018,0.1983492473126655,0.20557473465310291,0.8419160827392431
vbar_alpha5.50_h0.1_km_s,6.959493854992364,1.9225121146387745,False,1.136177385232946,0.1983492473126655,0.17457595080718732,0.8419160827392431
vbar_alpha5.50_h0.1_km_s,7.199476401716239,1.9888056358332151,False,1.0017384627913923,0.1983492473126655,0.19800502294776204,0.8419160827392431
vbar_alpha5.50_h0.1_km_s,7.439458948440113,2.0550991570276556,False,1.0160979552416771,0.1983492473126655,0.195206816714328,0.8419160827392431
vbar_alpha5.50_h0.1_km_s,7.679441495163988,2.121392678222096,False,0.7297545361310964,0.1983492473126655,0.27180269185340583,0.8419160827392431
vbar_alpha5.50_h0.1_km_s,7.919424041887862,2.1876861994165364,False,0.8374472307625977,0.1983492473126655,0.2368498456100265,0.8419160827392431
vbar_alpha5.50_h0.1_km_s,8.159406588611738,2.2539797206109773,False,0.8814507514096634,0.1983492473126655,0.2250258984922921,0.8419160827392431
vbar_alpha5.50_h0.1_km_s,8.399389135335612,2.3202732418054177,False,1.080272051295081,0.1983492473126655,0.18361045911988105,0.8419160827392431
vbar_alpha5.50_h0.3_km_s,3.839720747581994,1.060696339111048,True,0.38628807971152357,0.1948407983258244,0.504392469142019,0.8232950905825239
vbar_alpha5.50_h0.3_km_s,4.079703294305869,1.1269898603054886,True,0.5801222446043546,0.1954079802767588,0.336839316358275,0.8256917042265023
vbar_alpha5.50_h0.3_km_s,4.319685841029743,1.193283381499929,True,0.6094676539895376,0.1959538693642558,0.3215164382909476,0.8279983453899576
vbar_alpha5.50_h0.3_km_s,4.559668387753618,1.2595769026943695,True,0.577695050862951,0.1962237128995601,0.33966659850459935,0.8291385627353514
vbar_alpha5.50_h0.3_km_s,4.7996509344774925,1.32587042388881,True,0.625183483774139,0.1964935564348643,0.31429742073264977,0.8302787800807446
vbar_alpha5.50_h0.3_km_s,5.039633481201367,1.3921639450832506,True,0.7546963214748053,0.1966917549579629,0.26062370964468684,0.8311162631563114
