geometry_variant,geometry_variant_class,stellar_psf_scenario,h2_conversion_factor,radial_index,radius_lo_arcsec,radius_hi_arcsec,n_pixels_total,delta_uv,q_shape_proxy
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1.3,3,35,45,82,0.97237791524,-0.0133774998881
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1.3,4,45,55,103,0.985772942658,-0.0473296341237
s4g_global_pa_plus_1sigma,photometric_control,psf_2arcsec_control,1.3,5,55,65,112,0.999071355631,-0.0660206020847
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,0.7,0,5,15,20,0.762510753441,-0.0298126120217
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,0.7,1,15,25,41,0.758453972709,-0.0369364161646
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,0.7,2,25,35,59,0.985159470307,-0.000545378525001
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,0.7,3,35,45,82,0.972007427697,-0.0113151653474
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,0.7,4,45,55,103,0.985386241379,-0.0391283918103
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,0.7,5,55,65,112,0.999220857769,-0.0500455928436
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1,0,5,15,20,0.762510753441,-0.0272029066451
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1,1,15,25,41,0.758453972709,-0.0358753360039
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1,2,25,35,59,0.985159470307,-0.00473382281415
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1,3,35,45,82,0.972007427697,-0.0126030808644
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1,4,45,55,103,0.985386241379,-0.0449754634258
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1,5,55,65,112,0.999220857769,-0.0588543370082
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1.3,0,5,15,20,0.762510753441,-0.025730111023
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1.3,1,15,25,41,0.758453972709,-0.0364783016592
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1.3,2,25,35,59,0.985159470307,-0.00571761933947
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1.3,3,35,45,82,0.972007427697,-0.0133678445526
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1.3,4,45,55,103,0.985386241379,-0.0485397993099
s4g_global_pa_plus_1sigma,photometric_control,psf_4arcsec_control,1.3,5,55,65,112,0.999220857769,-0.0664744692414
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,0,5,15,18,0.754744712676,-0.0637366927079
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,1,15,25,43,0.734007819921,-0.0508549038378
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,2,25,35,60,0.899872667386,0.0368835996909
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,3,35,45,80,0.98316080287,0.0211108416685
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,4,45,55,105,0.998457110385,-0.0473291935299
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,5,55,65,122,0.976220211395,-0.0528914101508
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1,0,5,15,18,0.754744712676,-0.063185760782
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1,1,15,25,43,0.734007819921,-0.0503819303158
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1,2,25,35,60,0.899872667386,0.0347732698871
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1,3,35,45,80,0.98316080287,0.0203399829129
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1,4,45,55,105,0.998457110385,-0.0516538315876
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1,5,55,65,122,0.976220211395,-0.0658138481796
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,0,5,15,18,0.754744712676,-0.0628754377062
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,1,15,25,43,0.734007819921,-0.0494580992289
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,2,25,35,60,0.899872667386,0.033129242648
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,3,35,45,80,0.98316080287,0.0198958775831
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,4,45,55,105,0.998457110385,-0.0539868832929
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,5,55,65,122,0.976220211395,-0.0712020159192
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,0,5,15,18,0.754953656064,-0.0637156202242
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,1,15,25,43,0.733389284956,-0.0508172967391
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,2,25,35,60,0.899788923581,0.036887227451
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,3,35,45,80,0.983157426005,0.0211380487987
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,4,45,55,105,0.99842186227,-0.0475040830288
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,5,55,65,122,0.976171218892,-0.0526158863797
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1,0,5,15,18,0.754953656064,-0.0631640064099
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1,1,15,25,43,0.733389284956,-0.0503352937619
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1,2,25,35,60,0.899788923581,0.0347737096282
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1,3,35,45,80,0.983157426005,0.020365273934
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1,4,45,55,105,0.99842186227,-0.0518322573106
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1,5,55,65,122,0.976171218892,-0.0655257345534
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,0,5,15,18,0.754953656064,-0.0628532997119
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,1,15,25,43,0.733389284956,-0.0494079432177
s4g_global_ellipticity_minus_1sigma,photometric_control,psf_2arcsec_control,1.3,2,25,35,60,0.899788923581,0.0331278818728
