galaxy,normalized_sparc_name,match_status,ungc_name,theta1,ungc_distance_mpc,main_disturber,sparc_distance_mpc,source_catalog,source_paper,source_url,residual_blind,velocity_endpoint_used,claim_boundary
NGC0247,NGC247,UNIQUE_NAME_MATCH,NGC0247,1.2000000476837158,3.6500000953674316,,3.7,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC0289,NGC289,NO_MATCH,,,,,20.8,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC0300,NGC300,UNIQUE_NAME_MATCH,NGC0300,0.10000000149011612,2.1500000953674316,,2.08,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC0801,NGC801,NO_MATCH,,,,,80.7,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC0891,NGC891,UNIQUE_NAME_MATCH,NGC0891,-0.8999999761581421,9.770000457763672,,9.91,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC1003,NGC1003,NO_MATCH,,,,,11.4,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC1090,NGC1090,NO_MATCH,,,,,37.0,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC1705,NGC1705,UNIQUE_NAME_MATCH,NGC1705,-1.7999999523162842,5.110000133514404,,5.73,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC2366,NGC2366,UNIQUE_NAME_MATCH,NGC2366,1.0,3.190000057220459,,3.27,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
NGC2403,NGC2403,UNIQUE_NAME_MATCH,NGC2403,0.20000000298023224,3.180000066757202,,3.16,J/AJ/145/101/catalog,Karachentsev_Makarov_Kaisina_2013_AJ_145_101,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101,True,False,source_only_tidal_environment_crossmatch_not_endpoint
