channel,s4g_name,normalized_name,asymmetry,asymmetry_error
3.6um,IC2963,IC2963,0.13,0.02
3.6um,IC2969,IC2969,0.11,0.03
3.6um,IC2995,IC2995,0.71,0.01
3.6um,IC2996,IC2996,0.46,0.12
3.6um,IC3005,IC3005,0.34,0.1
3.6um,IC3021,IC3021,0.3,0.01
3.6um,IC3023,IC3023,0.15,0.02
3.6um,IC3033,IC3033,0.19,0.03
3.6um,IC3044,IC3044,0.15,0.04
3.6um,IC3059,IC3059,0.14,0.01
3.6um,IC3061,IC3061,0.14,0.04
3.6um,IC3099,IC3099,0.24,0.02
3.6um,IC3102,IC3102,0.18,0.03
3.6um,IC3105,IC3105,0.16,0.03
3.6um,IC3115,IC3115,0.16,0.01
3.6um,IC3155,IC3155,0.54,0.05
3.6um,IC3215,IC3215,0.17,0.04
3.6um,IC3229,IC3229,0.15,0.04
3.6um,IC3247,IC3247,0.13,0.02
3.6um,IC3258,IC3258,0.13,0.02
3.6um,IC3259,IC3259,0.15,0.02
3.6um,IC3267,IC3267,0.12,0.03
3.6um,IC3268,IC3268,0.24,0.04
3.6um,IC3298,IC3298,0.14,0.05
3.6um,IC3311,IC3311,0.17,0.02
3.6um,IC3322,IC3322,0.21,0.03
3.6um,IC3322A,IC3322A,0.32,0.05
3.6um,IC0335,IC335,0.63,0.02
3.6um,IC3355,IC3355,0.14,0.03
3.6um,IC3356,IC3356,0.19,0.02
3.6um,IC3371,IC3371,0.14,0.02
3.6um,IC3391,IC3391,0.15,0.02
3.6um,IC3392,IC3392,0.2,0.03
3.6um,IC3473,IC3473,0.15,0.04
3.6um,IC3474,IC3474,0.24,0.02
3.6um,IC3475,IC3475,0.14,0.01
3.6um,IC3476,IC3476,0.18,0.01
3.6um,IC3517,IC3517,0.18,0.01
3.6um,IC3521,IC3521,0.14,0.03
3.6um,IC3522,IC3522,0.14,0.03
3.6um,IC3576,IC3576,0.16,0.02
3.6um,IC3583,IC3583,0.2,0.05
3.6um,IC3611,IC3611,0.13,0.03
3.6um,IC3631,IC3631,0.16,0.03
3.6um,IC3687,IC3687,0.72,0.02
3.6um,IC3718,IC3718,0.27,0.01
3.6um,IC3727,IC3727,0.17,0.03
3.6um,IC3742,IC3742,0.19,0.05
3.6um,IC3806,IC3806,0.17,0.04
3.6um,IC3881,IC3881,1.0,0.0
3.6um,IC3908,IC3908,0.29,0.15
3.6um,IC4182,IC4182,0.65,0.01
3.6um,IC4213,IC4213,0.21,0.02
3.6um,IC4214,IC4214,0.91,0.01
3.6um,IC4216,IC4216,0.28,0.02
3.6um,IC4221,IC4221,0.14,0.03
3.6um,IC4231,IC4231,0.23,0.02
3.6um,IC4237,IC4237,0.13,0.02
3.6um,IC4247,IC4247,0.17,0.02
3.6um,IC4263,IC4263,0.34,0.03
3.6um,IC4316,IC4316,0.18,0.02
3.6um,IC4351,IC4351,1.0,0.0
3.6um,IC4407,IC4407,0.16,0.02
3.6um,IC4468,IC4468,0.2,0.05
3.6um,IC4536,IC4536,0.13,0.01
3.6um,IC4582,IC4582,0.23,0.2
3.6um,IC4660,IC4660,0.27,0.13
3.6um,IC4901,IC4901,0.25,0.01
3.6um,IC4951,IC4951,0.46,0.02
3.6um,IC4986,IC4986,0.4,0.02
3.6um,IC5007,IC5007,0.19,0.03
3.6um,IC5026,IC5026,0.62,0.06
3.6um,IC5039,IC5039,0.18,0.04
3.6um,IC5052,IC5052,0.93,0.02
3.6um,IC5069,IC5069,0.64,0.02
3.6um,IC5078,IC5078,0.22,0.02
3.6um,IC0051,IC51,0.18,0.05
3.6um,IC5105B,IC5105B,0.32,0.07
3.6um,IC5152,IC5152,0.32,0.01
3.6um,IC5156,IC5156,0.22,0.1
3.6um,IC5170,IC5170,0.28,0.07
3.6um,IC5176,IC5176,0.42,0.06
3.6um,IC5201,IC5201,0.7,0.01
3.6um,IC5240,IC5240,0.26,0.06
3.6um,IC5249,IC5249,0.59,0.01
3.6um,IC5264,IC5264,0.37,0.09
3.6um,IC5267,IC5267,0.23,0.03
3.6um,IC5269,IC5269,0.26,0.11
