ungc_name,ungc_distance_mpc,theta1,simbad_name,ned_name
HIPASS J1133-32,6.7,0.7,HIPASS J1132-32,HIPASS J1132-32
UGC06541,3.89,-0.6,UGC06541,UGC06541
NGC3738,4.9,-0.8,NGC3738,NGC3738
NGC3741,3.03,-0.7,NGC3741,NGC3741
ESO320-014,6.08,-0.7,ESO320-014,ESO320-014
UGC06757,2.73,-0.3,UGC06757,UGC06757
KK109,4.51,-0.3,[KK98a] 109,[KK98a] 109
DDO097,13.74,-1.3,DDO097,DDO097
KKH73,9.0,-0.5,[KKH2001] 73,[KKH2001] 73
DDO099,2.64,-0.8,DDO099,DDO099
ESO379-007,5.22,-1.0,ESO379-007,ESO379-007
UGC06881,16.4,-0.3,UGC06881,UGC06881
MCG +05-28-046,7.45,-0.9,MCG +05-28-046,MCG +05-28-046
KDG082,16.6,-1.1,KDG082,KDG082
NGC3990,10.3,-0.7,NGC3990,NGC3990
LV J1157+5638,7.03,-0.6,[KMK2013] LV J1157+5638,[KMK2013] LV J1157+5638
LV J1158+1535,6.27,-1.6,[KMK2013] LV J1158+1535,[KMK2013] LV J1158+1535
BTS76,5.57,-1.1,BTS76,BTS76
ESO572-034,8.5,-0.6,ESO572-034,ESO572-034
KUG 1157+315,23.2,-2.1,KUG 1157+315,KUG 1157+315
LV J1203+4739,7.49,0.9,[KMK2013] LV J1203+4739,[KMK2013] LV J1203+4739
LV J1203+3257,7.55,-0.6,[KMK2013] LV J1203+3257,[KMK2013] LV J1203+3257
NGC4068,4.31,-0.5,NGC4068,NGC4068
NGC4080,15.0,-0.5,NGC4080,NGC4080
ESO379-024,4.88,-0.7,ESO379-024,ESO379-024
IC2992,12.7,0.1,IC2992,IC2992
KUG 1202+286,6.69,0.1,KUG 1202+286,KUG 1202+286
LV J1205+2813,6.74,0.5,[KMK2013] LV J1205+2813,[KMK2013] LV J1205+2813
MAPS1206+31,7.43,-0.4,RASSCALS NRGb181.010,RASSCALS NRGb181.010
LV J1207+3133,7.37,0.2,[KMK2013] LV J1207+3133,[KMK2013] LV J1207+3133
UGC07131,16.8,-0.7,UGC07131,UGC07131
NGC4136,7.9,-0.6,NGC4136,NGC4136
MCG +06-27-017,4.83,0.0,MCG +06-27-017,MCG +06-27-017
NGC4144,7.24,0.6,NGC4144,NGC4144
IC3023,7.7,-1.3,IC3023,IC3023
NGC4150,13.74,0.0,NGC4150,NGC4150
NGC4163,2.94,2.3,NGC4163,NGC4163
KK127,17.3,-0.6,[KK98a] 127,[KK98a] 127
NGC4190,2.82,0.8,NGC4190,NGC4190
LV J1213+2957,2.68,-0.8,[KMK2013] LV J1213+2957,[KMK2013] LV J1213+2957
ESO321-014,3.18,-0.1,ESO321-014,ESO321-014
UGC07242,5.42,-0.4,UGC07242,UGC07242
VCC0114,8.2,-1.1,VCC0114,VCC0114
KDG090,2.86,1.3,KDG090,KDG090
UGC7257,8.8,-0.8,UGC7257,UGC7257
NGC4204,8.0,-1.1,NGC4204,NGC4204
UGC07267,12.9,0.5,UGC07267,UGC07267
UGC07271,18.6,-1.9,UGC07271,UGC07271
NGC4214,2.94,1.2,NGC4214,NGC4214
MCG +09-20-131,4.59,-0.4,MCG +09-20-131,MCG +09-20-131
VCC0169,9.4,-0.3,VCC0169,VCC0169
IC3077,9.1,-0.3,IC3077,IC3077
UGC07298,4.21,-0.4,UGC07298,UGC07298
NGC4236,4.45,-0.3,NGC4236,NGC4236
LV J1217+4703,7.8,3.6,[KMK2013] LV J1217+4703,[KMK2013] LV J1217+4703
UGC07320,9.2,-0.4,UGC07320,UGC07320
NGC4244,4.49,0.3,NGC4244,NGC4244
NGC4242,7.9,1.8,NGC4242,NGC4242
LV J1217+3231,5.93,-1.0,[KMK2013] LV J1217+3231,[KMK2013] LV J1217+3231
UGC7321,17.2,-0.4,UGC7321,UGC7321
KKH78,4.7,0.8,[KKH2001] 78,[KKH2001] 78
NGC4248,7.4,1.1,NGC4248,NGC4248
LV J1218+4655,6.54,-0.4,[KMK2013] LV J1218+4655,[KMK2013] LV J1218+4655
AGC229053,17.9,0.1,AGC229053,AGC229053
KDG098,9.0,-0.3,KDG098,KDG098
IC3104,2.27,-1.2,IC3104,IC3104
NGC4258,7.83,1.1,NGC4258,NGC4258
KK132,7.8,3.5,[KK98a] 132,[KK98a] 132
KDG101,7.24,0.7,KDG101,KDG101
KK133,8.23,0.5,[KK98a] 133,[KK98a] 133
KK134,7.8,4.1,[KK98a] 134,[KK98a] 134
d1219+4705,7.8,4.0,,
IC 779,16.67,-0.2,IC 779,IC 779
VCC0381,4.71,-0.9,VCC0381,VCC0381
[KKH2011]S11,7.8,3.7,,
NGC4288,8.05,1.7,NGC4288,NGC4288
KK136,7.8,3.5,[KK98a] 136,[KK98a] 136
CVnHI,6.5,-0.4,,
KUG 1218+387,8.03,-0.3,KUG 1218+387,KUG 1218+387
d1220+4649,7.8,3.2,,
DDO120,7.06,0.3,DDO120,DDO120
KDG104,9.4,0.3,KDG104,KDG104
KDG105,7.6,-0.3,KDG105,KDG105
UGC7427,9.7,0.1,UGC7427,UGC7427
NGC4308,14.0,0.2,NGC4308,NGC4308
KK138,6.3,-0.8,[KK98a] 138,[KK98a] 138
GR34,8.9,-0.5,GRDG 34,GRDG 34
VCC0565,9.6,-0.3,VCC0565,VCC0565
KK141,7.78,0.0,[KK98a] 141,[KK98a] 141
IC3247,24.4,-2.1,IC3247,IC3247
BTS132,7.8,2.7,BTS132,BTS132
IC3308,12.8,0.1,IC3308,IC3308
KK144,6.15,-0.9,[KK98a] 144,[KK98a] 144
UGC07512,10.6,0.4,UGC07512,UGC07512
AGC749236,19.5,-0.8,AGC749236,AGC749236
VCC0841,7.9,-1.4,VCC0841,VCC0841
NGC4395,4.61,0.1,NGC4395,NGC4395
DDO123,10.5,-1.3,DDO123,DDO123
UGCA281,5.68,-0.6,UGCA281,UGCA281
IC3341,14.0,0.3,IC3341,IC3341
SBS 1224+533,5.35,-0.7,SBSG 1224+533,SBSG 1224+533
ComaI,0.04,3.7,COMA DWARF GALAXY,COMA DWARF GALAXY
DDO126,4.88,0.4,DDO126,DDO126
DDO125,2.74,-0.8,DDO125,DDO125
UGC07584,9.2,-1.0,UGC07584,UGC07584
KKH80,7.43,-0.9,[KKH2001] 80,[KKH2001] 80
NGC4449,4.21,0.3,NGC4449,NGC4449
DDO127,6.89,-0.3,DDO127,DDO127
UGC07596,4.6,-0.7,UGC07596,UGC07596
UGC07605,4.43,0.4,UGC07605,UGC07605
NGC4455,8.4,-0.6,NGC4455,NGC4455
DDO129,8.9,-0.3,DDO129,DDO129
LV J1228+4358,4.07,1.3,[KMK2013] LV J1228+4358,[KMK2013] LV J1228+4358
NGC4460,9.59,-0.6,NGC4460,NGC4460
KK149,8.9,0.2,[KK98a] 149,[KK98a] 149
UGC07639,7.14,0.4,UGC07639,UGC07639
UGC07636,5.2,-1.0,UGC07636,UGC07636
KK151,6.56,-0.5,[KK98a] 151,[KK98a] 151
NGC4485,5.8,5.6,NGC4485,NGC4485
NGC4490,5.8,4.3,NGC4490,NGC4490
CGCG 014-054,9.6,1.0,MCG+00-32-016,MCG+00-32-016
MAPS1231+42,5.8,2.9,SDSS J123109.09+420533.9,SDSS J123109.09+420533.9
DDO131,8.1,0.8,DDO131,DDO131
UGC7678,6.9,-0.4,UGC7678,UGC7678
UGC07690,11.2,-0.5,UGC07690,UGC07690
NGC4517,9.7,-0.5,NGC4517,NGC4517
UGC07699,14.5,-0.4,UGC07699,UGC07699
DDO133,4.85,0.0,DDO133,DDO133
NGC4509,10.1,0.5,NGC4509,NGC4509
BTS142,10.0,-0.8,BTS142,BTS142
KDG155,8.11,-0.6,KDG155,KDG155
KK152,6.9,0.3,[KK98a] 152,[KK98a] 152
UGC7719,9.2,-0.4,UGC7719,UGC7719
NGC4534,9.8,-0.1,NGC4534,NGC4534
UGC7751,7.9,1.0,UGC7751,UGC7751
LV J1235-1104,10.0,0.8,[KMK2013] LV J1235-1104,[KMK2013] LV J1235-1104
NGC4559,8.1,-0.4,NGC4559,NGC4559
UGC07774,22.6,-2.3,UGC07774,UGC07774
VCC1675,7.5,-1.3,VCC1675,VCC1675
IC3583,7.6,-1.5,IC3583,IC3583
MAPS1236+33,11.7,-0.7,NGP9 F268-1529654,NGP9 F268-1529654
IC3591,9.8,-0.4,IC3591,IC3591
KKSG29,7.7,-0.3,[KKS2000] 29,[KKS2000] 29
Arp211,6.61,-0.6,Arp211,Arp211
VCC1713,7.2,-0.1,VCC1713,VCC1713
KKSG30,9.1,1.2,[KKS2000] 30,[KKS2000] 30
VCC1725,8.5,-1.1,VCC1725,VCC1725
KKSG31,9.3,2.5,[KKS2000] 31,[KKS2000] 31
UGCA292,3.61,-0.6,UGCA292,UGCA292
UGC07827,8.5,0.1,UGC07827,UGC07827
KKSG32,9.3,5.4,[KKS2000] 32,[KKS2000] 32
KDG177,8.2,-1.2,KDG177,KDG177
NGC4594,9.3,2.5,NGC4594,NGC4594
NGC4605,5.47,-1.1,NGC4605,NGC4605
AGC749241,9.2,-0.6,AGC749241,AGC749241
BTS146,8.5,-0.3,BTS146,BTS146
SUCD1,9.3,6.5,NAME SOMBRERO UCD 1,NAME SOMBRERO UCD 1
KKSG33,9.3,3.1,[KKS2000] 33,[KKS2000] 33
VCC1822,8.1,-1.1,VCC1822,VCC1822
NGC4597,10.1,0.0,NGC4597,NGC4597
NGC4600,7.35,-1.0,NGC4600,NGC4600
KKSG34,9.3,3.8,[KKS2000] 34,[KKS2000] 34
NGC4618,7.9,3.4,NGC4618,NGC4618
LV J1241+3251,7.3,2.8,[KMK2013] LV J1241+3251,[KMK2013] LV J1241+3251
NGC4625,7.9,3.8,NGC4625,NGC4625
NGC4627,7.3,2.8,NGC4627,NGC4627
NGC4631,7.38,1.8,NGC4631,NGC4631
IC3687,4.57,1.4,IC3687,IC3687
BTS151,7.3,2.7,BTS151,BTS151
LV J1243+3232,7.3,2.7,[KMK2013] LV J1243+3232,[KMK2013] LV J1243+3232
KDG192,7.45,-0.1,KDG192,KDG192
LV J1243+4127,6.09,0.2,[KMK2013] LV J1243+4127,[KMK2013] LV J1243+4127
KK160,4.31,0.8,[KK98a] 160,[KK98a] 160
NGC4656,5.4,-0.5,NGC4656,NGC4656
[KK2000] 51,3.6,0.8,[KK2000] 51,[KK2000] 51
DDO143,9.1,-0.5,DDO143,DDO143
UGCA294,9.9,-0.2,UGCA294,UGCA294
ESO381-018,5.32,-0.3,ESO381-018,ESO381-018
IC3718,6.8,-1.5,IC3718,IC3718
ESO381-020,5.45,-0.3,ESO381-020,ESO381-020
VCC2033,9.8,-0.7,VCC2033,VCC2033
VCC2037,7.4,-1.4,VCC2037,VCC2037
UGCA298,11.0,-0.8,UGCA298,UGCA298
UGC07950,8.9,-0.4,UGC07950,UGC07950
DDO147,5.4,-0.1,DDO147,DDO147
FGC1497,23.4,-2.2,FGC1497,FGC1497
HIPASS J1247-77,3.16,-0.8,HIPASS J1247-77,HIPASS J1247-77
NGC4707,5.8,-0.8,NGC4707,NGC4707
DDO148,9.0,0.2,DDO148,DDO148
KK165,5.4,1.6,[KK98a] 165,[KK98a] 165
NGC4700,7.3,-0.6,NGC4700,NGC4700
KK166,4.74,0.7,[KK98a] 166,[KK98a] 166
MAPS1249+44,7.84,0.2,,
UGC07983,9.4,-0.1,UGC07983,UGC07983
UGC07990,20.4,-1.5,UGC07990,UGC07990
NGC4736,4.66,-0.6,NGC4736,NGC4736
BTS157,8.83,0.0,BTS157,BTS157
KK167,9.2,-0.8,[KK98a] 167,[KK98a] 167
IC3840,5.5,-0.7,IC3840,IC3840
NGC4765,9.7,-0.5,NGC4765,NGC4765
KKSG38,10.4,-0.3,[KKS2000] 38,[KKS2000] 38
DDO153,8.0,-0.1,DDO153,DDO153
DDO154,4.04,0.4,DDO154,DDO154
UGC08030,15.3,0.2,UGC08030,UGC08030
ESO443-009,5.78,-0.4,ESO443-009,ESO443-009
KDG215,5.5,-0.7,KDG215,KDG215
ESO219-010,4.29,0.7,ESO219-010,ESO219-010
KDG216,6.0,-1.2,KDG216,KDG216
UGC08061,6.49,-1.6,UGC08061,UGC08061
NGC4826,4.37,-0.8,NGC4826,NGC4826
CVnII,0.16,2.0,CVN II DWARF GALAXY,CVN II DWARF GALAXY
MCG-02-33-075,8.7,0.4,MCG-02-33-075,MCG-02-33-075
GR8,2.13,-1.4,GRDG 8,GRDG 8
HIPASS J1258-04,6.5,-1.1,HIPASS J1258-04,HIPASS J1258-04
NGC4861,7.3,0.3,NGC4861,NGC4861
KK176,6.9,-1.0,[KK98a] 176,[KK98a] 176
UGCA319,7.3,2.2,UGCA319,UGCA319
KK177,4.4,2.3,[KK98a] 177,[KK98a] 177
DDO161,7.3,1.5,DDO161,DDO161
ESO269-037,3.48,1.1,ESO269-037,ESO269-037
KK180,4.4,0.9,[KK98a] 180,[KK98a] 180
KK182,5.78,-0.6,[KK98a] 182,[KK98a] 182
NGC4945,3.8,0.9,NGC4945,NGC4945
KDG218,5.0,-1.0,KDG218,KDG218
IC4182,4.7,0.9,IC4182,IC4182
DDO165,4.57,-0.2,DDO165,DDO165
MCG -03-34-002,7.9,-0.5,MCG -03-34-002,MCG -03-34-002
UGC08215,4.55,0.5,UGC08215,UGC08215
UGC08245,1.99,-0.8,UGC08245,UGC08245
MCG -04-31-038,7.8,-1.1,MCG -04-31-038,MCG -04-31-038
ESO269-058,3.8,2.1,ESO269-058,ESO269-058
[KK2000] 53,3.6,1.3,[KK2000] 53,[KK2000] 53
NGC5023,6.61,-0.6,NGC5023,NGC5023
KK189,4.21,0.9,[KK98a] 189,[KK98a] 189
CGCG 217-018,8.33,0.5,MCG+07-27-045,MCG+07-27-045
KKH82,8.06,0.1,[KKH2001] 82,[KKH2001] 82
ESO269-066,3.82,2.0,ESO269-066,ESO269-066
NGC5011C,3.6,2.0,NGC5011C,NGC5011C
DDO167,4.19,0.1,DDO167,DDO167
KK191,6.0,-0.8,[KK98a] 191,[KK98a] 191
DDO168,4.33,0.3,DDO168,DDO168
DDO169NW,4.2,0.0,,
DDO169,4.41,0.2,DDO169,DDO169
KK193,8.9,2.7,[KK98a] 193,[KK98a] 193
NGC5055,8.99,-0.1,NGC5055,NGC5055
CGCG 189-050,5.04,0.2,MCG+06-29-075,MCG+06-29-075
KK194,10.0,-0.1,[KK98a] 194,[KK98a] 194
NGC5068,5.45,-0.1,NGC5068,NGC5068
AGC732602,7.2,-1.0,AGC732602,AGC732602
KK195,5.22,0.9,[KK98a] 195,[KK98a] 195
[KK2000] 54,4.6,0.9,[KK2000] 54,[KK2000] 54
KK196,3.98,1.6,[KK98a] 196,[KK98a] 196
NGC5102,3.4,0.8,NGC5102,NGC5102
KK197,3.87,2.6,[KK98a] 197,[KK98a] 197
[KK2000] 55,3.94,2.0,[KK2000] 55,[KK2000] 55
KK198,4.6,0.8,[KK98a] 198,[KK98a] 198
AM1320-230,4.6,0.4,AM1320-230,AM1320-230
KK200,4.63,1.2,[KK98a] 200,[KK98a] 200
NGC5128,3.75,0.7,NGC5128,NGC5128
IC4247,4.97,2.0,IC4247,IC4247
KK203,3.6,2.0,[KK98a] 203,[KK98a] 203
ESO324-024,3.73,2.9,ESO324-024,ESO324-024
CVnI,0.22,1.5,CVn DWARF GALAXY,CVn DWARF GALAXY
LV J1328+4937,8.02,0.9,[KMK2013] LV J1328+4937,[KMK2013] LV J1328+4937
PGC170257,6.5,-0.9,PGC170257,PGC170257
NGC5204,4.66,-0.9,NGC5204,NGC5204
NGC5194,8.4,0.0,NGC5194,NGC5194
NGC5195,7.66,0.4,NGC5195,NGC5195
UGC08508,2.69,-0.8,UGC08508,UGC08508
AGC238890,6.8,-1.2,AGC238890,AGC238890
UGCA361,8.0,0.8,UGCA361,UGCA361
NGC5206,3.47,1.0,NGC5206,NGC5206
NGC5229,8.0,1.1,NGC5229,NGC5229
NGC5238,4.51,-0.4,NGC5238,NGC5238
ESO270-017,3.6,1.8,ESO270-017,ESO270-017
UGCA365,5.25,1.3,UGCA365,UGCA365
KK208,4.68,1.7,[KK98a] 208,[KK98a] 208
MCG +08-25-028,7.74,0.8,MCG +08-25-028,MCG +08-25-028
NGC5236,4.92,-0.5,NGC5236,NGC5236
HIDEEP J1337-33,4.37,0.5,HIDEEP J1337-3320,HIDEEP J1337-3320
ESO444-084,4.61,1.3,ESO444-084,ESO444-084
HIPASS J1337-39,4.83,0.1,HIPASS J1337-39,HIPASS J1337-39
NGC5237,3.4,1.2,NGC5237,NGC5237
UGC08638,4.27,-0.2,UGC08638,UGC08638
DDO181,3.01,-1.1,DDO181,DDO181
NGC5253,3.56,0.3,NGC5253,NGC5253
IC4316,4.41,0.7,IC4316,IC4316
NGC5264,4.53,1.1,NGC5264,NGC5264
[KK2000] 57,3.93,1.7,[KK2000] 57,[KK2000] 57
KK211,3.58,1.6,[KK98a] 211,[KK98a] 211
LV J1342+4840,7.44,0.8,[KMK2013] LV J1342+4840,[KMK2013] LV J1342+4840
DDO182,8.9,0.2,DDO182,DDO182
KK213,3.63,1.8,[KK98a] 213,[KK98a] 213
ESO325-011,3.4,1.1,ESO325-011,ESO325-011
[KK2000] 58,3.6,0.8,[KK2000] 58,[KK2000] 58
KK217,3.84,1.4,[KK98a] 217,[KK98a] 217
KK218,4.6,1.2,[KK98a] 218,[KK98a] 218
ESO174-001,3.6,0.6,ESO174-001,ESO174-001
CenN,3.66,1.1,Cen N,Cen N
HIPASS J1348-37,5.75,-0.3,HIPASS J1348-37,HIPASS J1348-37
KK221,3.98,1.0,[KK98a] 221,[KK98a] 221
ESO383-087,3.45,0.6,ESO383-087,ESO383-087
DDO183,3.22,-1.0,DDO183,DDO183
HIPASS J1351-47,5.73,-0.9,HIPASS J1351-47,HIPASS J1351-47
KDG229,8.0,-0.1,KDG229,KDG229
KKH86,2.59,-1.4,[KKH2001] 86,[KKH2001] 86
HolmIV,7.21,1.8,Holmberg IV,Holmberg IV
UGC08833,3.08,-1.1,UGC08833,UGC08833
GBT 1355+5439,7.41,2.2,,
KK227,10.0,-0.6,[KK98a] 227,[KK98a] 227
ESO384-016,4.53,0.4,ESO384-016,ESO384-016
BootesIII,0.05,3.6,Bootes III,Bootes III
UGC08882,8.32,0.0,UGC08882,UGC08882
BootesII,0.04,3.8,Bootes II,Bootes II
BootesI,0.07,3.2,Bootes I,Bootes I
NGC5398,8.1,-1.6,NGC5398,NGC5398
MESSIER101,7.38,0.4,MESSIER101,MESSIER101
NGC5408,4.81,-0.2,NGC5408,NGC5408
NGC5474,7.2,2.0,NGC5474,NGC5474
NGC5477,7.7,1.4,NGC5477,NGC5477
KK230,2.14,-1.3,[KK98a] 230,[KK98a] 230
CIRCINUS,4.2,-0.6,CIRCINUS GALAXY,CIRCINUS GALAXY
KKH87,7.2,0.9,[KKH2001] 87,[KKH2001] 87
DDO187,2.2,-1.4,DDO187,DDO187
KKR08,8.0,-1.6,[KKR99] 8,[KKR99] 8
NGC5585,5.7,-0.8,NGC5585,NGC5585
DDO190,2.74,-1.2,DDO190,DDO190
PGC051659,3.58,0.3,PGC051659,PGC051659
Centaurus A-dE5,9.0,-1.8,[JBF2000] Cen A-dE5,[JBF2000] Cen A-dE5
ESO222-010,5.8,-1.2,ESO222-010,ESO222-010
DDO194,8.02,-0.1,DDO194,DDO194
MRK0475,9.2,-1.2,MRK0475,MRK0475
HIPASS J1441-62,6.02,-1.2,HIPASS J1441-62,HIPASS J1441-62
ESO272-025,5.88,-1.1,ESO272-025,ESO272-025
ESO273-014,9.9,-2.0,ESO273-014,ESO273-014
ESO223-009,6.49,-1.5,ESO223-009,ESO223-009
UGC09660,7.4,-0.8,UGC09660,UGC09660
UMin,0.06,3.2,UMI GALAXY,UMI GALAXY
ESO274-001,3.09,-0.4,ESO274-001,ESO274-001
HIPASS J1526-51,5.68,-1.3,HIPASS J1526-51,HIPASS J1526-51
UGC09992,7.3,-1.2,UGC09992,UGC09992
KKR25,1.86,-1.0,[KKR99] 25,[KKR99] 25
ESO137-018,6.4,-1.6,ESO137-018,ESO137-018
Hercules,0.15,2.1,HERCULES DWARF GALAXY,HERCULES DWARF GALAXY
KDG235,10.6,-1.0,KDG235,KDG235
Draco,0.08,2.9,DRACO DWARF SPHEROIDAL GALAXY,DRACO DWARF SPHEROIDAL GALAXY
Milky Way,0.01,2.8,,
IC4662,2.44,-1.3,IC4662,IC4662
NGC6503,5.27,-1.1,NGC6503,NGC6503
IC4710,7.94,0.1,IC4710,IC4710
NGC6684,8.7,0.6,NGC6684,NGC6684
Sag dSph,0.02,5.3,NAME Sgr dSph,NAME Sgr dSph
ESO104-022,6.7,-0.8,ESO104-022,ESO104-022
[KK2000] 70,8.3,3.8,[KK2000] 70,[KK2000] 70
UGC11411,4.73,-0.8,UGC11411,UGC11411
[KK2000] 71,8.3,4.7,[KK2000] 71,[KK2000] 71
NGC6744,8.3,2.0,NGC6744,NGC6744
ESO104-044,8.3,3.5,ESO104-044,ESO104-044
[KK2000] 72,8.3,4.0,[KK2000] 72,[KK2000] 72
NGC6789,3.63,-1.3,NGC6789,NGC6789
Sag dIr,1.04,-0.5,SAG DIG,SAG DIG
IC4870,7.3,-0.3,IC4870,IC4870
NGC6822,0.5,0.5,NGC6822,NGC6822
LV J1952+1428,7.13,-2.4,[KMK2013] LV J1952+1428,[KMK2013] LV J1952+1428
KK246,7.83,-2.2,[KK98a] 246,[KK98a] 246
IC4951,9.8,-1.0,IC4951,IC4951
UGC11583,5.89,3.3,UGC11583,UGC11583
KK251,5.89,3.5,[KK98a] 251,[KK98a] 251
KK252,5.89,3.1,[KK98a] 252,[KK98a] 252
NGC6946,5.89,0.6,NGC6946,NGC6946
KKR55,5.89,2.4,[KKR99] 55,[KKR99] 55
DDO210,0.94,-0.3,DDO210,DDO210
KKR56,5.89,1.7,[KKR99] 56,[KKR99] 56
Cepheus1,6.0,0.9,Cepheus1,Cepheus1
IC5052,6.03,-1.5,IC5052,IC5052
KKR59,5.89,1.7,[KKR99] 59,[KKR99] 59
KKR60,5.9,2.5,[KKR99] 60,[KKR99] 60
Segue 3,0.02,5.0,NAME Segue 3,NAME Segue 3
NGC7090,6.7,-1.6,NGC7090,NGC7090
IC5152,1.97,-1.3,IC5152,IC5152
IC5201,8.8,0.0,IC5201,IC5201
ESO238-005,7.8,-1.0,ESO238-005,ESO238-005
AM2220-460,8.8,2.4,AM2220-460,AM2220-460
And XXVIII,0.65,1.1,And XXVIII,And XXVIII
KK258,2.0,-1.1,[KK98a] 258,[KK98a] 258
Tucana,0.88,-0.2,TUC GALAXY,TUC GALAXY
PiscesII,0.18,1.8,PISCES II,PISCES II
NGC7462,10.1,-1.9,NGC7462,NGC7462
ApplesI,8.32,-1.5,NAME APPLES 1,NAME APPLES 1
NGC7640,7.9,0.9,NGC7640,NGC7640
UGC12588,7.9,1.8,UGC12588,UGC12588
UGCA438,2.18,-0.4,UGCA438,UGCA438
Cas dSph,0.79,1.7,Cas dSph,Cas dSph
ESO347-017,7.6,0.1,ESO347-017,ESO347-017
Pegasus,0.76,0.9,PEG GALAXY,PEG GALAXY
DDO217,9.7,-2.0,DDO217,DDO217
IC5332,7.8,0.2,IC5332,IC5332
LV J2335-3713,7.8,1.4,[KMK2013] LV J2335-3713,[KMK2013] LV J2335-3713
NGC7713,7.8,0.4,NGC7713,NGC7713
UGC12713,12.2,-1.7,UGC12713,UGC12713
UGCA442,4.27,-0.1,UGCA442,UGCA442
KKH98,2.45,-0.9,[KKH2001] 98,[KKH2001] 98
ESO348-009,11.5,-2.4,ESO348-009,ESO348-009
Peg dSph,0.82,1.4,Peg dSph,Peg dSph
ESO149-003,5.9,-1.4,ESO149-003,ESO149-003
And XXI,0.86,2.2,And XXI,And XXI
NGC7793,3.91,0.2,NGC7793,NGC7793
And XXIX,0.73,2.0,And XXIX,And XXIX
